# time(us)	tip(nm)	Fts(nN)	Xb(nm)
1.630437173592529507e+04	2.234440085834506462e+01	-8.410748666405048883e-05	-4.041775511809996857e+01
1.630439347505572005e+04	2.242710549945135057e+01	-8.389282809373246343e-05	-4.041540899879764481e+01
1.630441521418614684e+04	2.250849216887236537e+01	-8.368246947109104713e-05	-4.041306682249530269e+01
1.630443695331657364e+04	2.258853990428801595e+01	-8.347642226334910890e-05	-4.041072857104698102e+01
1.630445869244700043e+04	2.266722551046998291e+01	-8.327470410478416405e-05	-4.040839422641469980e+01
1.630448043157742541e+04	2.274452365841369428e+01	-8.307733846475854396e-05	-4.040606377066751520e+01
1.630450217070785220e+04	2.282040701716666220e+01	-8.288435424257674757e-05	-4.040373718598078767e+01
1.630452390983827900e+04	2.289484641696044775e+01	-8.269578529435305740e-05	-4.040141445463526537e+01
1.630454564896870579e+04	2.296781104186304745e+01	-8.251166989781351434e-05	-4.039909555901634519e+01
1.630456738809913077e+04	2.303926864979579392e+01	-8.233205016162452566e-05	-4.039678048161312063e+01
1.630458912722955756e+04	2.310918581741677258e+01	-8.215697138641224310e-05	-4.039446920501776361e+01
1.630461086635998436e+04	2.317752820705788608e+01	-8.198648138512328889e-05	-4.039216171192456528e+01
1.630463260549041115e+04	2.324426085262315311e+01	-8.182062977075995453e-05	-4.038985798512923253e+01
1.630465434462083795e+04	2.330934846111277992e+01	-8.165946721981559651e-05	-4.038755800752809222e+01
1.630467608375126292e+04	2.337275572623753561e+01	-8.150304471991739400e-05	-4.038526176211736640e+01
1.630469782288168972e+04	2.343444765042730893e+01	-8.135141281027562850e-05	-4.038296923199231259e+01
1.630471956201211651e+04	2.349438987142610102e+01	-8.120462082352426585e-05	-4.038068040034659845e+01
1.630474130114254331e+04	2.355254898959649168e+01	-8.106271613743677696e-05	-4.037839525047146338e+01
1.630476304027296828e+04	2.360889289203766594e+01	-8.092574344480151817e-05	-4.037611376575506483e+01
1.630478477940339508e+04	2.366339106964865024e+01	-8.079374404945960126e-05	-4.037383592968165402e+01
1.630480651853382187e+04	2.371601492334109196e+01	-8.066675519614807872e-05	-4.037156172583101466e+01
1.630482825766424867e+04	2.376673805572857745e+01	-8.054480944135322532e-05	-4.036929113787758183e+01
1.630484999679467364e+04	2.381553654478372906e+01	-8.042793407187297076e-05	-4.036702414958988072e+01
1.630487173592510044e+04	2.386238919616297949e+01	-8.031615057722642291e-05	-4.036476074482973075e+01
1.630489347505552723e+04	2.390727777114680208e+01	-8.020947418142659066e-05	-4.036250090755167008e+01
1.630491521418595403e+04	2.395018718742873531e+01	-8.010791343897311198e-05	-4.036024462180216688e+01
1.630493695331637900e+04	2.399110569030650808e+01	-8.001146989921109815e-05	-4.035799187171907221e+01
1.630495869244680580e+04	2.403002499217678434e+01	-7.992013784247264583e-05	-4.035574264153082424e+01
1.630498043157723259e+04	2.406694037860961188e+01	-7.983390409065320556e-05	-4.035349691555587981e+01
1.630500217070765939e+04	2.410185077967564027e+01	-7.975274789409393672e-05	-4.035125467820209622e+01
1.630502390983808436e+04	2.413475880560870124e+01	-7.967664089585404748e-05	-4.034901591396599230e+01
1.630504564896851116e+04	2.416567074631200995e+01	-7.960554717365277643e-05	-4.034678060743215866e+01
1.630506738809893795e+04	2.419459653464258508e+01	-7.953942335897083076e-05	-4.034454874327272478e+01
1.630508912722936475e+04	2.422154967384087598e+01	-7.947821883200526481e-05	-4.034232030624652765e+01
1.630511086635978972e+04	2.424654712989567784e+01	-7.942187599039888190e-05	-4.034009528119877075e+01
1.630513260549021652e+04	2.426960919005151140e+01	-7.937033058890712750e-05	-4.033787365306017847e+01
1.630515434462064331e+04	2.429075928906718218e+01	-7.932351214642865901e-05	-4.033565540684647033e+01
1.630517608375107011e+04	2.431002380521421813e+01	-7.928134441613160304e-05	-4.033344052765788490e+01
1.630519782288149690e+04	2.432743182836293272e+01	-7.924374591373910053e-05	-4.033122900067837691e+01
1.630521956201192188e+04	2.434301490283145597e+01	-7.921063049842123590e-05	-4.032902081117526194e+01
1.630524130114234868e+04	2.435680674797083967e+01	-7.918190800016899000e-05	-4.032681594449846330e+01
1.630526304027277547e+04	2.436884295971792014e+01	-7.915748488701709537e-05	-4.032461438608001458e+01
1.630528477940320226e+04	2.437916069657029183e+01	-7.913726496502669703e-05	-4.032241612143352683e+01
1.630530651853362724e+04	2.438779835361580695e+01	-7.912115010356204339e-05	-4.032022113615351344e+01
1.630532825766405404e+04	2.439479522838404790e+01	-7.910904097808414378e-05	-4.031802941591498524e+01
1.630534999679448083e+04	2.440019118237709250e+01	-7.910083782245598257e-05	-4.031584094647285355e+01
1.630537173592490763e+04	2.440402630217888458e+01	-7.909644118260810884e-05	-4.031365571366126943e+01
1.630539347505533260e+04	2.440634056403795782e+01	-7.909575266335334227e-05	-4.031147370339325420e+01
1.630541521418575940e+04	2.440717350576589695e+01	-7.909867566017596838e-05	-4.030929490166010964e+01
1.630543695331618619e+04	2.440656390969567013e+01	-7.910511606793978732e-05	-4.030711929453082831e+01
1.630545869244661299e+04	2.440454950030063586e+01	-7.911498295867993452e-05	-4.030494686815163163e+01
1.630548043157703796e+04	2.440116665988733757e+01	-7.912818922095221261e-05	-4.030277760874550808e+01
1.630550217070746476e+04	2.439645016554559831e+01	-7.914465215362087352e-05	-4.030061150261155944e+01
1.630552390983789155e+04	2.439043295027388680e+01	-7.916429400745136295e-05	-4.029844853612461009e+01
1.630554564896831835e+04	2.438314589089593909e+01	-7.918704246845111830e-05	-4.029628869573468108e+01
1.630556738809874332e+04	2.437461762505003904e+01	-7.921283107755803621e-05	-4.029413196796641472e+01
