# time(us)	tip(nm)	Fts(nN)	Xb(nm)
1.630437173592529507e+04	2.629347512909249645e+02	-4.112452893864575126e-06	-2.168380862994931491e+01
1.630439347505572005e+04	2.641092339035578220e+02	-4.078771631113255003e-06	-2.168208766564087853e+01
1.630441521418614684e+04	2.652806021694091214e+02	-4.045589974721181761e-06	-2.168037130080572084e+01
1.630443695331657364e+04	2.664488039324568263e+02	-4.012899484227506672e-06	-2.167865950594449842e+01
1.630445869244700043e+04	2.676137820123149140e+02	-3.980692034617968522e-06	-2.167695225186405139e+01
1.630448043157742541e+04	2.687754742937644892e+02	-3.948959801678314133e-06	-2.167524950967248998e+01
1.630450217070785220e+04	2.699338138827895932e+02	-3.917695246289604484e-06	-2.167355125077448008e+01
1.630452390983827900e+04	2.710887293272924694e+02	-3.886891097822858840e-06	-2.167185744686658566e+01
1.630454564896870579e+04	2.722401448998610931e+02	-3.856540336798320126e-06	-2.167016806993267153e+01
1.630456738809913077e+04	2.733879809392025777e+02	-3.826636176980073730e-06	-2.166848309223939495e+01
1.630458912722955756e+04	2.745321542461279591e+02	-3.797172047080347608e-06	-2.166680248633191752e+01
1.630461086635998436e+04	2.756725785293044737e+02	-3.768141572249109852e-06	-2.166512622502946428e+01
1.630463260549041115e+04	2.768091648953724189e+02	-3.739538555524007337e-06	-2.166345428142113860e+01
1.630465434462083795e+04	2.779418223774812873e+02	-3.711356959412797260e-06	-2.166178662886182948e+01
1.630467608375126292e+04	2.790704584958203895e+02	-3.683590887776023059e-06	-2.166012324096811525e+01
1.630469782288168972e+04	2.801949798433219598e+02	-3.656234568171147948e-06	-2.165846409161424901e+01
1.630471956201211651e+04	2.813152926894020425e+02	-3.629282334811332838e-06	-2.165680915492828262e+01
1.630474130114254331e+04	2.824313035943794148e+02	-3.602728612282364219e-06	-2.165515840528825464e+01
1.630476304027296828e+04	2.835429200270739898e+02	-3.576567900150303253e-06	-2.165351181731833918e+01
1.630478477940339508e+04	2.846500509780419748e+02	-3.550794758580131802e-06	-2.165186936588530031e+01
1.630480651853382187e+04	2.857526075609524128e+02	-3.525403795072457374e-06	-2.165023102609476879e+01
1.630482825766424867e+04	2.868505035947511601e+02	-3.500389652411208371e-06	-2.164859677328770715e+01
1.630484999679467364e+04	2.879436561594820887e+02	-3.475746997900338574e-06	-2.164696658303697774e+01
1.630487173592510044e+04	2.890319861189556150e+02	-3.451470513952438981e-06	-2.164534043114389661e+01
1.630489347505552723e+04	2.901154186038517651e+02	-3.427554890076288089e-06	-2.164371829363488686e+01
1.630491521418595403e+04	2.911938834493224704e+02	-3.403994816294792641e-06	-2.164210014675821725e+01
1.630493695331637900e+04	2.922673155817090560e+02	-3.380784978008824628e-06	-2.164048596698074789e+01
1.630495869244680580e+04	2.933356553496045649e+02	-3.357920052307040515e-06	-2.163887573098481454e+01
1.630498043157723259e+04	2.943988487951646107e+02	-3.335394705706475908e-06	-2.163726941566507023e+01
1.630500217070765939e+04	2.954568478622967973e+02	-3.313203593293979413e-06	-2.163566699812550809e+01
1.630502390983808436e+04	2.965096105391207857e+02	-3.291341359224444186e-06	-2.163406845567642733e+01
1.630504564896851116e+04	2.975571009328891137e+02	-3.269802638518514664e-06	-2.163247376583152004e+01
1.630506738809893795e+04	2.985992892763787268e+02	-3.248582060089872999e-06	-2.163088290630503963e+01
1.630508912722936475e+04	2.996361518655916143e+02	-3.227674250920849759e-06	-2.162929585500886631e+01
1.630511086635978972e+04	3.006676709294395664e+02	-3.207073841294604035e-06	-2.162771259004990299e+01
1.630513260549021652e+04	3.016938344329070674e+02	-3.186775470982920627e-06	-2.162613308972721171e+01
1.630515434462064331e+04	3.027146358160024420e+02	-3.166773796280553544e-06	-2.162455733252944512e+01
1.630517608375107011e+04	3.037300736715729386e+02	-3.147063497770468313e-06	-2.162298529713217476e+01
1.630519782288149690e+04	3.047401513658100498e+02	-3.127639288698762931e-06	-2.162141696239539712e+01
1.630521956201192188e+04	3.057448766059628156e+02	-3.108495923834073875e-06	-2.161985230736089036e+01
1.630524130114234868e+04	3.067442609604107702e+02	-3.089628208683624486e-06	-2.161829131124988024e+01
1.630526304027277547e+04	3.077383193368335697e+02	-3.071031008936745325e-06	-2.161673395346052118e+01
1.630528477940320226e+04	3.087270694247108622e+02	-3.052699260006847283e-06	-2.161518021356556218e+01
1.630530651853362724e+04	3.097105311088241706e+02	-3.034627976544321556e-06	-2.161363007130994518e+01
1.630532825766405404e+04	3.106887258607715694e+02	-3.016812261795652321e-06	-2.161208350660860944e+01
1.630534999679448083e+04	3.116616761157823134e+02	-2.999247316688169507e-06	-2.161054049954414324e+01
1.630537173592490763e+04	3.126294046422796100e+02	-2.981928448525185894e-06	-2.160900103036461672e+01
1.630539347505533260e+04	3.135919339117318714e+02	-2.964851079182881480e-06	-2.160746507948139339e+01
1.630541521418575940e+04	3.145492854763235755e+02	-2.948010752707862490e-06	-2.160593262746702692e+01
1.630543695331618619e+04	3.155014793618721001e+02	-2.931403142223015060e-06	-2.160440365505311178e+01
1.630545869244661299e+04	3.164485334832344847e+02	-2.915024056058744337e-06	-2.160287814312826882e+01
1.630548043157703796e+04	3.173904630891615852e+02	-2.898869443037099310e-06	-2.160135607273612024e+01
1.630550217070746476e+04	3.183272802432002777e+02	-2.882935396847229493e-06	-2.159983742507328230e+01
1.630552390983789155e+04	3.192589933467980359e+02	-2.867218159462119749e-06	-2.159832218148743976e+01
1.630554564896831835e+04	3.201856067102462475e+02	-2.851714123558605772e-06	-2.159681032347543095e+01
1.630556738809874332e+04	3.211071201765143428e+02	-2.836419833914740857e-06	-2.159530183268135417e+01
1.630558912722917012e+04	3.220235288023760631e+02	-2.821331987771000815e-06	-2.159379669089470255e+01
1.630561086635959691e+04	3.229348226005300262e+02	-2.806447434154140776e-06	-2.159229488004863029e+01
1.630563260549002371e+04	3.238409863456716948e+02	-2.791763172174602208e-06	-2.159079638221806619e+01
1.630565434462044868e+04	3.247419994466899311e+02	-2.777276348320250702e-06	-2.158930117961802964e+01
1.630567608375087548e+04	3.256378358863556173e+02	-2.762984252780720115e-06	-2.158780925460190048e+01
1.630569782288130227e+04	3.265284642290474721e+02	-2.748884314847319364e-06	-2.158632058965970657e+01
1.630571956201172907e+04	3.274138476962274353e+02	-2.734974097443813948e-06	-2.158483516741650021e+01
1.630574130114215404e+04	3.282939443085550124e+02	-2.721251290852643918e-06	-2.158335297063068126e+01
1.630576304027258084e+04	3.291687070927134755e+02	-2.707713705709727197e-06	-2.158187398219243391e+01
1.630578477940300763e+04	3.300380843502417747e+02	-2.694359265348354503e-06	-2.158039818512213870e+01
1.630580651853343443e+04	3.309020199849016421e+02	-2.681185997579311006e-06	-2.157892556256879857e+01
1.630582825766386122e+04	3.317604538844063313e+02	-2.668192025999528000e-06	-2.157745609780856100e+01
1.630584999679428620e+04	3.326133223516739008e+02	-2.655375560925833573e-06	-2.157598977424319386e+01
1.630587173592471299e+04	3.334605585801662642e+02	-2.642734890053389180e-06	-2.157452657539861463e+01
1.630589347505513979e+04	3.343020931673447080e+02	-2.630268368940103303e-06	-2.157306648492345147e+01
1.630591521418556658e+04	3.351378546598122057e+02	-2.617974411418975738e-06	-2.157160948658763644e+01
1.630593695331599156e+04	3.359677701233289895e+02	-2.605851480039696702e-06	-2.157015556428098790e+01
1.630595869244641835e+04	3.367917657305910097e+02	-2.593898076639163930e-06	-2.156870470201186407e+01
1.630598043157684515e+04	3.376097673594543380e+02	-2.582112733137593877e-06	-2.156725688390574192e+01
1.630600217070727194e+04	3.384217011941624378e+02	-2.570494002653104591e-06	-2.156581209420400924e+01
1.630602390983769692e+04	3.392274943221051444e+02	-2.559040451022776576e-06	-2.156437031726252940e+01
1.630604564896812371e+04	3.400270753187018613e+02	-2.547750648812255152e-06	-2.156293153755048309e+01
1.630606738809855051e+04	3.408203748131506927e+02	-2.536623163889484807e-06	-2.156149573964898281e+01
1.630608912722897730e+04	3.416073260280318777e+02	-2.525656554630668511e-06	-2.156006290824992888e+01
1.630611086635940228e+04	3.423878652860727243e+02	-2.514849363818580755e-06	-2.155863302815474114e+01
1.630613260548982907e+04	3.431619324778004625e+02	-2.504200113284813959e-06	-2.155720608427316520e+01
1.630615434462025587e+04	3.439294714842844769e+02	-2.493707299338488610e-06	-2.155578206162211075e+01
1.630617608375068266e+04	3.446904305497341170e+02	-2.483369389014720204e-06	-2.155436094532444002e+01
1.630619782288110764e+04	3.454447625993365705e+02	-2.473184817166443005e-06	-2.155294272060790206e+01
1.630621956201153444e+04	3.461924254983914579e+02	-2.463151984413690336e-06	-2.155152737280392117e+01
1.630624130114196123e+04	3.469333822495312916e+02	-2.453269255954587333e-06	-2.155011488734655245e+01
1.630626304027238803e+04	3.476676011255752883e+02	-2.443534961232815966e-06	-2.154870524977136625e+01
1.630628477940281300e+04	3.483950557363616554e+02	-2.433947394446838126e-06	-2.154729844571440012e+01
1.630630651853323980e+04	3.491157250287143938e+02	-2.424504815877097993e-06	-2.154589446091107163e+01
1.630632825766366659e+04	3.498295932195286468e+02	-2.415205453998569639e-06	-2.154449328119514462e+01
1.630634999679409339e+04	3.505366496627790411e+02	-2.406047508337883019e-06	-2.154309489249774145e+01
1.630637173592452018e+04	3.512368886520730484e+02	-2.397029153026327758e-06	-2.154169928084631991e+01
1.630639347505494516e+04	3.519303091611645300e+02	-2.388148540993053756e-06	-2.154030643236364995e+01
1.630641521418537195e+04	3.526169145256085926e+02	-2.379403808736226090e-06	-2.153891633326690069e+01
1.630643695331579875e+04	3.532967120694609662e+02	-2.370793081604277985e-06	-2.153752896986663856e+01
1.630645869244622554e+04	3.539697126816101900e+02	-2.362314479514429715e-06	-2.153614432856589644e+01
1.630648043157665052e+04	3.546359303469425868e+02	-2.353966123031615789e-06	-2.153476239585923580e+01
1.630650217070707731e+04	3.552953816381102001e+02	-2.345746139727777929e-06	-2.153338315833184780e+01
1.630652390983750411e+04	3.559480851741465131e+02	-2.337652670739181217e-06	-2.153200660265864386e+01
1.630654564896793090e+04	3.565940610525965440e+02	-2.329683877438116538e-06	-2.153063271560336744e+01
1.630656738809835588e+04	3.572333302621506164e+02	-2.321837948134882756e-06	-2.152926148401771300e+01
1.630658912722878267e+04	3.578659140830188790e+02	-2.314113104726509156e-06	-2.152789289484046975e+01
1.630661086635920947e+04	3.584918334824338899e+02	-2.306507609210143614e-06	-2.152652693509671167e+01
1.630663260548963626e+04	3.591111085127415095e+02	-2.299019769981367249e-06	-2.152516359189688089e+01
1.630665434462006124e+04	3.597237577195055565e+02	-2.291647947840959060e-06	-2.152380285243604519e+01
1.630667608375048803e+04	3.603297975669419202e+02	-2.284390561637699402e-06	-2.152244470399302756e+01
1.630669782288091483e+04	3.609292418877844852e+02	-2.277246093479732146e-06	-2.152108913392968148e+01
1.630671956201134162e+04	3.615221013643987362e+02	-2.270213093452519564e-06	-2.151973612969000271e+01
1.630674130114176660e+04	3.621083830475781724e+02	-2.263290183787772472e-06	-2.151838567879943298e+01
1.630676304027219339e+04	3.626880899190012428e+02	-2.256476062434592808e-06	-2.151703776886408903e+01
1.630678477940262019e+04	3.632612205028059407e+02	-2.249769505991424813e-06	-2.151569238756997038e+01
1.630680651853304698e+04	3.638277685311350069e+02	-2.243169371965202868e-06	-2.151434952268226652e+01
1.630682825766347196e+04	3.643877226678573038e+02	-2.236674600332252367e-06	-2.151300916204456470e+01
1.630684999679389875e+04	3.649410662939602048e+02	-2.230284214383837397e-06	-2.151167129357819974e+01
1.630687173592432555e+04	3.654877773573631430e+02	-2.223997320847749778e-06	-2.151033590528148665e+01
1.630689347505475234e+04	3.660278282891183039e+02	-2.217813109285875929e-06	-2.150900298522906695e+01
1.630691521418517732e+04	3.665611859871580691e+02	-2.211730850776112817e-06	-2.150767252157117326e+01
