# amp_ratio	peakF(nN)	maxdepth(nm)	phase(deg)	Ediss(aJ)	Ediss_Tamayo(aJ)	Vts(aJ)	Vts_lozano(aJ)
2.568539470125387296e-03	1.447474057761257527e+01	-1.181628986073806731e+00	5.522504381427163622e+01	1.515946968639674886e+01	1.514633846946433593e+01	1.562139426806578246e+00	-1.679109271631102684e+00
2.719818692970724355e-03	1.244413046974758785e+01	-1.250881685757312400e+00	5.522936661704365946e+01	1.603669267123924769e+01	1.603629180319212111e+01	-7.840205458552937934e-01	-1.777810545134544062e+00
2.901847397451067651e-03	1.053111131715119875e+01	-1.334274312319833067e+00	5.523477023321010648e+01	1.709385805177617712e+01	1.710686905824673687e+01	-1.824924321344505884e+00	-1.896536001840564367e+00
3.126690324357894388e-03	8.744830352690263098e+00	-1.437350126653647697e+00	5.524166250229988862e+01	1.840141557118032267e+01	1.842883676476986565e+01	-1.783750232845024986e+00	-2.043130546137314152e+00
1.690886552223396996e-02	3.508937916596867979e+01	-2.663799895360440484e+00	5.093652296190312967e+01	9.243096751909156694e+01	9.248949812639263257e+01	-1.113333716173231203e+01	-1.221314584821839411e+01
3.795327863579735228e-02	4.149814532727919669e+01	-2.846754421636113364e+00	2.802228657491754404e+01	1.173306170346351109e+02	1.180379405262472829e+02	-3.643277462313434256e+01	-3.840096483365928037e+01
7.089095574839260339e-02	5.222947432249387134e+01	-2.912895773763820362e+00	2.144985422131784603e+01	1.492499059460596129e+02	1.505011423801276464e+02	-7.308867003089324044e+01	-7.562511362992874808e+01
1.082374448342140888e-01	6.213750976593860997e+01	-3.023671362333429702e+00	2.004508497330601813e+01	1.896098903046943462e+02	1.828053063587172460e+02	-1.152742322735079483e+02	-1.165431056134643910e+02
1.473948434063586943e-01	7.121155421197590840e+01	-3.157880202848974527e+00	2.043391950908639743e+01	2.107148801061894687e+02	2.141335763825173899e+02	-1.533791625492529533e+02	-1.583086453148674195e+02
1.872625210117968564e-01	7.811034938106431014e+01	-3.278790347185290610e+00	2.142315189695107236e+01	2.301529018709223635e+02	2.400353544731509032e+02	-1.923537684742894953e+02	-1.998046277947379963e+02
