# time(us)	tip(nm)	Fts(nN)	Xb(nm)
2.608696032510011719e+04	-3.253333082344649796e+01	-5.139705696070050872e-02	-3.488077072357327069e+01
2.608696379226604404e+04	-3.252551631767679652e+01	-5.110840355058508117e-02	-3.488013281276144539e+01
2.608696725943197453e+04	-3.251775066542000303e+01	-5.082407090551696593e-02	-3.487949595018646676e+01
2.608697072659790501e+04	-3.251003424363891980e+01	-5.054399971469319963e-02	-3.487886013101276461e+01
2.608697419376383550e+04	-3.250236742653387978e+01	-5.026813179893137307e-02	-3.487822535044924166e+01
2.608697766092976235e+04	-3.249475058550599726e+01	-4.999641008809787429e-02	-3.487759160374875478e+01
2.608698112809569284e+04	-3.248718408912078104e+01	-4.972877859907690046e-02	-3.487695888620751106e+01
2.608698459526162333e+04	-3.247966830307214536e+01	-4.946518241426405005e-02	-3.487632719316430752e+01
2.608698806242755018e+04	-3.247220359014683311e+01	-4.920556766055905057e-02	-3.487569652000016873e+01
2.608699152959348066e+04	-3.246479031018923678e+01	-4.894988148886386670e-02	-3.487506686213757945e+01
2.608699499675941115e+04	-3.245742882006664587e+01	-4.869807205406178480e-02	-3.487443821503990904e+01
2.608699846392533800e+04	-3.245011947363489213e+01	-4.845008849545879431e-02	-3.487381057421102071e+01
2.608700193109126849e+04	-3.244286262170446378e+01	-4.820588091770045686e-02	-3.487318393519446857e+01
2.608700539825719898e+04	-3.243565861200705314e+01	-4.796540037211991653e-02	-3.487255829357317083e+01
2.608700886542312583e+04	-3.242850778916248800e+01	-4.772859883853513424e-02	-3.487193364496870629e+01
2.608701233258905631e+04	-3.242141049464623848e+01	-4.749542920746629288e-02	-3.487130998504081703e+01
2.608701579975498680e+04	-3.241436706675725077e+01	-4.726584526276730175e-02	-3.487068730948701045e+01
2.608701926692091365e+04	-3.240737784058637061e+01	-4.703980166466890933e-02	-3.487006561404185589e+01
2.608702273408684414e+04	-3.240044314798512204e+01	-4.681725393320785439e-02	-3.486944489447661510e+01
2.608702620125277463e+04	-3.239356331753511142e+01	-4.659815843205370595e-02	-3.486882514659862409e+01
2.608702966841870511e+04	-3.238673867451773702e+01	-4.638247235269730984e-02	-3.486820636625092362e+01
2.608703313558463196e+04	-3.237996954088458068e+01	-4.617015369901750210e-02	-3.486758854931176188e+01
2.608703660275056245e+04	-3.237325623522817608e+01	-4.596116127220681996e-02	-3.486697169169395494e+01
2.608704006991649294e+04	-3.236659907275333836e+01	-4.575545465603101519e-02	-3.486635578934472335e+01
2.608704353708241979e+04	-3.235999836524898399e+01	-4.555299420245660647e-02	-3.486574083824486081e+01
2.608704700424835028e+04	-3.235345442106049774e+01	-4.535374101758404136e-02	-3.486512683440860627e+01
2.608705047141428076e+04	-3.234696754506257577e+01	-4.515765694792471530e-02	-3.486451377388297601e+01
2.608705393858020761e+04	-3.234053803863266552e+01	-4.496470456698557078e-02	-3.486390165274748654e+01
2.608705740574613810e+04	-3.233416619962489591e+01	-4.477484716216965921e-02	-3.486329046711358615e+01
2.608706087291206859e+04	-3.232785232234455464e+01	-4.458804872197540126e-02	-3.486268021312434229e+01
