# time(us)	tip(nm)	Fts(nN)	Xb(nm)
5.200752721010105233e+03	4.235917538859461651e+00	-1.172028021158395654e-02	-9.007962664953176324e-01
5.200756188176042997e+03	4.273218798319690315e+00	-1.155844472238456988e-02	-9.007027747566657139e-01
5.200759655341981670e+03	4.310545911399665364e+00	-1.139982655462768758e-02	-9.006097605677960694e-01
5.200763122507919434e+03	4.347897372706507113e+00	-1.124434809149631349e-02	-9.005172185802591267e-01
5.200766589673857197e+03	4.385271675841120320e+00	-1.109193391733301164e-02	-9.004251435266400483e-01
5.200770056839795870e+03	4.422667313466543071e+00	-1.094251074645728738e-02	-9.003335302192301270e-01
5.200773524005733634e+03	4.460082777376353391e+00	-1.079600735456141478e-02	-9.002423735487226075e-01
5.200776991171671398e+03	4.497516558563120270e+00	-1.065235451258142799e-02	-9.001516684829260484e-01
5.200780458337609161e+03	4.534967147286894651e+00	-1.051148492294468398e-02	-9.000614100655037753e-01
5.200783925503547835e+03	4.572433033143734171e+00	-1.037333315809980429e-02	-8.999715934147306529e-01
5.200787392669485598e+03	4.609912705134272315e+00	-1.023783560123855615e-02	-8.998822137222738382e-01
5.200790859835423362e+03	4.647404651732290226e+00	-1.010493038912354917e-02	-8.997932662519896319e-01
5.200794327001362035e+03	4.684907360953331157e+00	-9.974557356938945629e-03	-8.997047463387463084e-01
5.200797794167299799e+03	4.722419320423316691e+00	-9.846657985085242523e-03	-8.996166493872601588e-01
5.200801261333237562e+03	4.759939017447166520e+00	-9.721175347842336834e-03	-8.995289708709568455e-01
5.200804728499175326e+03	4.797464939077440427e+00	-9.598054063828435553e-03	-8.994417063308463023e-01
5.200808195665113999e+03	4.834995572182956280e+00	-9.477240248185388530e-03	-8.993548513744216155e-01
5.200811662831051763e+03	4.872529403517417812e+00	-9.358681466423945244e-03	-8.992684016745708941e-01
5.200815129996989526e+03	4.910064919788024618e+00	-9.242326689865326683e-03	-8.991823529685132321e-01
5.200818597162928199e+03	4.947600607724051969e+00	-9.128126252618008404e-03	-8.990967010567464390e-01
5.200822064328865963e+03	4.985134954145428843e+00	-9.016031810031304924e-03	-8.990114418020174192e-01
5.200825531494803727e+03	5.022666446031266219e+00	-8.905996298569777633e-03	-8.989265711283057625e-01
5.200828998660742400e+03	5.060193570588364054e+00	-8.797973897054637768e-03	-8.988420850198266532e-01
5.200832465826680163e+03	5.097714815319672965e+00	-8.691919989220775813e-03	-8.987579795200489885e-01
5.200835932992617927e+03	5.135228668092707949e+00	-8.587791127540008937e-03	-8.986742507307323713e-01
5.200839400158555691e+03	5.172733617207921242e+00	-8.485544998263181565e-03	-8.985908948109756489e-01
5.200842867324494364e+03	5.210228151467005020e+00	-8.385140387635783843e-03	-8.985079079762851029e-01
5.200846334490432127e+03	5.247710760241146133e+00	-8.286537149243444061e-03	-8.984252864976584041e-01
5.200849801656369891e+03	5.285179933539203567e+00	-8.189696172445599248e-03	-8.983430267006796699e-01
5.200853268822308564e+03	5.322634162075821962e+00	-8.094579351857176391e-03	-8.982611249646350604e-01
5.200856735988246328e+03	5.360071937339463410e+00	-8.001149557839870585e-03	-8.981795777216372567e-01
5.200860203154184092e+03	5.397491751660356663e+00	-7.909370607965985484e-03	-8.980983814557710332e-01
5.200863670320122765e+03	5.434892098278353068e+00	-7.819207239419532704e-03	-8.980175327022463794e-01
5.200867137486060528e+03	5.472271471410703469e+00	-7.730625082300385774e-03	-8.979370280465714949e-01
5.200870604651998292e+03	5.509628366319723192e+00	-7.643590633798900968e-03	-8.978568641237348880e-01
5.200874071817936056e+03	5.546961279380359322e+00	-7.558071233209571853e-03	-8.977770376174049050e-01
5.200877538983874729e+03	5.584268708147646976e+00	-7.474035037753602728e-03	-8.976975452591398064e-01
5.200881006149812492e+03	5.621549151424054536e+00	-7.391450999181345231e-03	-8.976183838276119431e-01
5.200884473315750256e+03	5.658801109326703660e+00	-7.310288841126874604e-03	-8.975395501478453664e-01
5.200887940481688929e+03	5.696023083354477379e+00	-7.230519037187862520e-03	-8.974610410904654278e-01
