# amp_ratio	peakF(nN)	maxdepth(nm)	phase1(deg)	phase2(deg)	Ediss(aJ)	Ediss_Tamayo(aJ)	Vts(aJ)	Vts_lozano(aJ)
5.794554234789872811e-03	2.036991429164628897e+01	-1.321322062970605504e+00	5.613042959350406136e+01	1.179278269429006656e+02	2.213002751991145090e+01	1.631138013192542502e+01	-2.539368009261158576e+00	-6.291759982210434199e-01
5.604916523569115731e-03	1.829479472112932825e+01	-1.395564214621990429e+00	5.613427890744231519e+01	1.168691627843872993e+02	2.339165354837729893e+01	1.703169430686347852e+01	-3.393418864158682435e+00	-8.401139679595602816e-01
5.602585208958549452e-03	1.685347297053346338e+01	-1.648453277433391095e+00	5.633911581260481682e+01	1.150535042200537106e+02	2.646294898873751578e+01	1.874239452643708148e+01	-3.192673785429283484e+00	-1.146631219188671391e+00
7.168121404611978859e-03	2.830134116055576499e+01	-2.112962009158115162e+00	6.664618161760884618e+01	1.109697022691172492e+02	4.676013419869418186e+01	3.122886463491480313e+01	-4.064350101994610220e+00	-1.469707127296811855e+00
1.485948621004088213e-02	5.117353179412389608e+01	-2.671346287388004281e+00	5.341168264804282018e+01	9.773499858830230380e+01	1.016380187724195707e+02	7.104755156500890223e+01	-1.175913167483348687e+01	-8.094582259775341626e+00
2.931241101207561137e-02	6.442297770014729963e+01	-3.319735308746901481e+00	3.225900427733702713e+01	8.254146509826011879e+01	1.443010016035531180e+02	9.880391691775781737e+01	-2.469469749327309316e+01	-2.601674383481493535e+01
5.744626146267375194e-02	7.793743486701090717e+01	-3.640902274694274965e+00	2.172756787085599939e+01	7.476750999644102080e+01	1.801250193108838573e+02	1.270500386044528511e+02	-5.742248639787835174e+01	-5.936411759516946773e+01
9.253125482332352769e-02	8.987458319554569641e+01	-3.804330446563808366e+00	1.931306958285231801e+01	6.446136831977761972e+01	2.150450737745881611e+02	1.588852753882884485e+02	-9.628013683492241626e+01	-9.947159402237346626e+01
1.301604856703804936e-01	1.008476865943374889e+02	-4.054153414010617240e+00	1.905449754880359592e+01	5.480252882774673395e+01	2.450956938682647035e+02	1.852350529505478107e+02	-1.370159345161420958e+02	-1.415230401232631152e+02
1.692214705494665405e-01	1.095521436718871371e+02	-4.412205661132491130e+00	1.992660160709933237e+01	4.642923922214242083e+01	2.726841071453640666e+02	2.106175340321248370e+02	-1.780540032239232175e+02	-1.839387189558551654e+02
2.089806537094376637e-01	1.160820317332947695e+02	-4.579260652386338393e+00	2.135054135300151756e+01	3.915939036207504387e+01	2.978602268262470716e+02	2.346378162823883144e+02	-2.135061852773320368e+02	-2.257264096491885539e+02
2.490694312240384345e-01	1.258621660646908822e+02	-4.713819305305988472e+00	2.294833100289486083e+01	3.376199551934264775e+01	3.185904299412713385e+02	2.531362530927190164e+02	-2.529166548194241955e+02	-2.664939738312257305e+02
2.892943395457941436e-01	1.333373540523268730e+02	-4.930732877629359301e+00	2.472248165131851749e+01	2.943472272818229385e+01	3.369042507015888646e+02	2.679781474310163958e+02	-2.918790651940175849e+02	-3.057586541254374879e+02
