Series 1: 	
0.000269928	1113672.426
0.000457638	1461434.823
0.000669217	1455876.669
0.001049304	1476343.482
0.001708614	1641317.751
0.002868836	1632811.43
0.003930317	1818417.067
0.005395008	2140457.897
0.008492026	2424828.133
0.012066459	2853275.521
0.016541795	3236828.967
0.027846308	3466868.875
0.032347366	4826918.764
0.041437652	5685701.627
0.054948453	6694955.555
0.075670053	8642786.046
0.111588645	10945620
0.133835745	14149731.53
0.165838697	17300149.92
0.227935499	21130034.52
0.313283887	25807773.98
0.361811142	30430980.72
0.480711754	37873488.18
0.637036392	43780464.43
0.668012928	63314242.34
0.76354658	55560944.86
1.01315686	66642584.36
1.131821938	81565184.74
1.448950327	94319247.01
2.0588374	110984690
2.376211548	128472418.9
2.837079084	145944492.9
4.039080143	181512351.9
5.174146079	213806182.6
6.169690442	234078174.1
7.872898199	246810452.8
12.81967924	274390331.4
26.56853702	298746199.4
41.63140788	297403886.2
72.40485983	301271560.5
92.09474516	289646237.6
134.3249789	268002427.5
183.076305	257482429.3
248.8766736	229764098.5
326.8376931	205100719.3
509.4938999	176141964.9
743.604047	166016879.9
1047.077283	150853347.4
1474.401385	137074810.9
1809.327151	127051765.2
2143.549577	115647332.2
2726.469639	111184788.3
3578.226134	97434287.29
4705.192298	90247249.76
6388.042271	77612450.94
9305.250319	69209400.18
13554.65099	61716142.39
17185.07156	54102290.75
23407.00656	51027694.82
34096.21384	45502958.72
46261.07646	38416560.96
69665.61483	33003848.12
91488.48106	29461143.12
