# time(us)	tip(nm)	Fts(nN)	Xb(nm)
1.630437173592529507e+04	-1.433068282006506600e+01	4.041836009472079922e+02	-1.433068489497020082e+01
1.630439347505572005e+04	-1.433066483826950233e+01	4.041841770276976149e+02	-1.433066641002480957e+01
1.630441521418614684e+04	-1.433065188838827808e+01	4.041851473089008664e+02	-1.433065295692116159e+01
1.630443695331657364e+04	-1.433064397103587950e+01	4.041865117533191665e+02	-1.433064453629399360e+01
1.630445869244700043e+04	-1.433064108662419578e+01	4.041882703077961310e+02	-1.433064114857548255e+01
1.630448043157742541e+04	-1.433064323536230766e+01	4.041904229034976765e+02	-1.433064279399499164e+01
1.630450217070785220e+04	-1.433065041725640931e+01	4.041929694559104860e+02	-1.433064947257899213e+01
1.630452390983827900e+04	-1.433066263210985625e+01	4.041959098648510462e+02	-1.433066118415114154e+01
1.630454564896870579e+04	-1.433067987952312805e+01	4.041992440144615557e+02	-1.433067792833218235e+01
1.630456738809913077e+04	-1.433070215889384258e+01	4.042029717732206109e+02	-1.433069970454004505e+01
1.630458912722955756e+04	-1.433072946941681458e+01	4.042070929939444000e+02	-1.433072651198980196e+01
1.630461086635998436e+04	-1.433076181008441452e+01	4.042116075138196152e+02	-1.433075834969404383e+01
1.630463260549041115e+04	-1.433079917968624351e+01	4.042165151543939601e+02	-1.433079521646271282e+01
1.630465434462083795e+04	-1.433084157680892901e+01	4.042218157215424981e+02	-1.433083711090268686e+01
1.630467608375126292e+04	-1.433088899983673592e+01	4.042275090055293276e+02	-1.433088403141846001e+01
1.630469782288168972e+04	-1.433094144695123617e+01	4.042335947809883692e+02	-1.433093597621189552e+01
1.630471956201211651e+04	-1.433099891613143662e+01	4.042400728069280262e+02	-1.433099294328223472e+01
1.630474130114254331e+04	-1.433106140515403659e+01	4.042469428267587546e+02	-1.433105493042640965e+01
1.630476304027296828e+04	-1.433112891159368196e+01	4.042542045683142646e+02	-1.433112193523925626e+01
1.630478477940339508e+04	-1.433120143282276437e+01	4.042618577438429952e+02	-1.433119395511338645e+01
1.630480651853382187e+04	-1.433127896601161844e+01	4.042699020500256779e+02	-1.433127098723936932e+01
1.630482825766424867e+04	-1.433136150812838494e+01	4.042783371679612969e+02	-1.433135302860554638e+01
1.630484999679467364e+04	-1.433144905593917784e+01	4.042871627631845399e+02	-1.433144007599819858e+01
1.630487173592510044e+04	-1.433154160600868821e+01	4.042963784857183782e+02	-1.433153212600216975e+01
1.630489347505552723e+04	-1.433163915469998351e+01	4.043059839700635507e+02	-1.433162917500068367e+01
1.630491521418595403e+04	-1.433174169817477939e+01	4.043159788352191413e+02	-1.433173121917560522e+01
