# amp_ratio	peakF(nN)	maxdepth(nm)	phase(deg)	Ediss(aJ)	Ediss_Tamayo(aJ)	Vts(aJ)	Vts_lozano(aJ)
5.292346015146463150e-04	4.794986686848619684e+02	-2.630958052783730072e-01	1.916205080952485540e+00	1.167080866842697295e+00	1.254254103085952754e-01	3.488021614454819064e+04	-6.062518525458918672e-01
5.513447093756978839e-04	4.241107170313753727e+02	-2.715879095502667373e-01	1.879434524267486362e+00	9.790994296467299129e-01	1.280308108752039320e-01	2.713605496430810672e+04	-6.315929807521605266e-01
5.775887723440093586e-04	3.690417843163451153e+02	-2.819433721566562134e-01	1.843507457863345245e+00	8.105721247255103235e-01	1.314090754032461172e-01	2.039895882519931911e+04	-6.616703535425372262e-01
6.094363914403746725e-04	3.143286378870838007e+02	-2.947547643981000554e-01	1.808237748184618798e+00	6.613577717039315074e-01	1.358147365473791612e-01	1.465597715179237821e+04	-6.981678402139392947e-01
6.494098320047066554e-04	2.600621123051575978e+02	-3.112371083412460160e-01	1.774035631734479646e+00	5.327712584751542746e-01	1.417456034258423314e-01	9.895552786625277804e+03	-7.439751381792786278e-01
7.018335538660657640e-04	2.063413693339809640e+02	-3.333512418513038811e-01	1.741045615346425546e+00	4.266974511813769744e-01	1.500142532139027984e-01	6.100833710022513515e+03	-8.040468663582004405e-01
7.754414535938415013e-04	1.533398779900248030e+02	-3.650380216810267253e-01	1.709943274306031658e+00	3.462239978319829881e-01	1.623065534652944064e-01	3.251946458884835920e+03	-8.883893671042155660e-01
8.916294207372888782e-04	1.013793751045129312e+02	-4.160708742573184238e-01	1.682490114627768651e+00	2.982194792448518705e-01	1.828043058225321538e-01	1.321984709737272169e+03	-1.021515335022463500e+00
1.125954037101150034e-03	5.111104114168923473e+01	-5.209109664649141935e-01	1.664418024984423150e+00	3.029583307765315592e-01	2.263896076962003401e-01	2.680952534582046383e+02	-1.289986498598887810e+00
1.136515617009578420e-02	3.576667676115241790e+01	-1.874317241773551190e+00	2.160242296514074845e+00	2.624801975882286253e+00	2.154971730645211636e+00	-1.131761498783597375e+01	-1.301710549985464560e+01
5.694731530544144132e-02	4.944798899121916946e+01	-2.303825238144763254e+00	3.546051260914818037e+00	5.473788582273900083e+00	2.010956945845649102e+00	-5.789165960765268437e+01	-6.514614703802263307e+01
1.017249534664832339e-01	6.064939562365902503e+01	-2.624433891905807226e+00	5.965790934154702185e+00	6.616385525258474232e+00	1.618783170740458743e+00	-1.081369270973648611e+02	-1.159622939953459735e+02
1.461417948492861052e-01	6.943095252808365103e+01	-2.852105426286533518e+00	8.454015488636272835e+00	4.181688401124695531e+00	9.196355608781527913e-01	-1.588488155703907694e+02	-1.656827969754873493e+02
1.903324556796747724e-01	7.608352851727578070e+01	-3.029779790446324839e+00	1.096769759646454645e+01	6.467079806458507996e+00	-1.054277595188198025e-01	-2.081283840794904165e+02	-2.141680701758355951e+02
2.343743387495368091e-01	8.090868474834597635e+01	-3.158474253812446175e+00	1.350637229350448010e+01	1.526350435676735451e+01	-1.385453220640449512e+00	-2.528854979037810438e+02	-2.612027533784952311e+02
2.783100048017524974e-01	8.520018136804003461e+01	-3.252344325831293848e+00	1.607575532923539541e+01	1.052528546053464531e+01	-2.809846501383160167e+00	-3.005350339774621489e+02	-3.065160111596703700e+02
3.221611589608328052e-01	8.962511326141635948e+01	-3.367261763248953432e+00	1.868038580373283963e+01	8.794962614974426884e+00	-4.344207371956627206e+00	-3.452461227498808967e+02	-3.497982636214949821e+02
3.659397808844512823e-01	9.265459846513013531e+01	-3.448095353846645228e+00	2.132709533476725383e+01	1.325033525712266247e+01	-5.924230670883892103e+00	-3.842004286983112138e+02	-3.907052744142036431e+02
4.096528689895921893e-01	9.406279323654320024e+01	-3.490408047227520072e+00	2.402295575210439438e+01	1.053938310055619887e+01	-7.523592752280261919e+00	-4.249990250108460828e+02	-4.288608726923392283e+02
4.533039444552696140e-01	9.616888543333182326e+01	-3.523027797334861599e+00	2.677635751408994835e+01	1.226036808005098067e+01	-9.123497505292622378e+00	-4.594900995531268677e+02	-4.638501827414754644e+02
4.968937927587000480e-01	9.860528394880974190e+01	-3.588630474725618580e+00	2.959719773186754210e+01	2.370862256831221515e+01	-1.071540708181820456e+01	-4.844055688697571895e+02	-4.952112075488064420e+02
5.404220808099343687e-01	9.970215153477010972e+01	-3.622843961204490704e+00	3.249830274096967031e+01	9.446674189485731787e+00	-1.224955843609325967e+01	-5.210038556565459658e+02	-5.224181377597628853e+02
5.838858295552916688e-01	9.949366655612058707e+01	-3.626588637006091353e+00	3.549410800818180434e+01	1.292008099523967779e+01	-1.373570739959374087e+01	-5.407728877797837868e+02	-5.448708761809482439e+02
6.272812408223624736e-01	9.815424102895623548e+01	-3.603636204011682498e+00	3.860378900780045797e+01	2.180313354916298607e+01	-1.513317150708185643e+01	-5.516851398049902855e+02	-5.618592102757357907e+02
6.706006843624652269e-01	9.597893315876723364e+01	-3.560360680518648291e+00	4.185153443213171442e+01	1.515556717765446670e+01	-1.641009206470174675e+01	-5.681243058176871727e+02	-5.725268485830664531e+02
7.138335736634584539e-01	9.333901513733930244e+01	-3.504870037267082239e+00	4.526933272313639378e+01	8.814729055527632084e+00	-1.753342933879922327e+01	-5.761907465415814613e+02	-5.758092176840493721e+02
7.569645014444076336e-01	9.057902084040777879e+01	-3.444757040312768304e+00	4.890110313766687966e+01	6.996794389408138137e+00	-1.847160225440130787e+01	-5.697416570710097403e+02	-5.703310921118114720e+02
7.999689033826706819e-01	8.778838056783311572e+01	-3.381612749392011619e+00	5.281059417715042059e+01	1.253872255927954482e+00	-1.916816411655678465e+01	-5.490030671497124786e+02	-5.542204815818956831e+02
