# time(us)	tip(nm)	Fts(nN)	Xb(nm)
1.630437173592529507e+04	1.585265437191317517e+02	-1.317724141735532060e-05	-3.411456729683144951e-01
1.630439347505572005e+04	1.587260085830992580e+02	-1.314421647278864518e-05	-3.411002774889538847e-01
1.630441521418614684e+04	1.589228667224984690e+02	-1.311174381178197486e-05	-3.410550267677927572e-01
1.630443695331657364e+04	1.591170930480070922e+02	-1.307982215161925149e-05	-3.410099199860127106e-01
1.630445869244700043e+04	1.593086611633334257e+02	-1.304845047772319452e-05	-3.409649563311871190e-01
1.630448043157742541e+04	1.594975434044137614e+02	-1.301762803436685626e-05	-3.409201349972108552e-01
1.630450217070785220e+04	1.596837108897369149e+02	-1.298735431392890898e-05	-3.408754551842326785e-01
1.630452390983827900e+04	1.598671335814983081e+02	-1.295762904477179370e-05	-3.408309160985869557e-01
1.630454564896870579e+04	1.600477803571630773e+02	-1.292845217783771858e-05	-3.407865169527271032e-01
1.630456738809913077e+04	1.602256190908961742e+02	-1.289982387207236872e-05	-3.407422569651614719e-01
1.630458912722955756e+04	1.604006167442057347e+02	-1.287174447879886782e-05	-3.406981353603873441e-01
1.630461086635998436e+04	1.605727394650402573e+02	-1.284421452517676630e-05	-3.406541513688284284e-01
1.630463260549041115e+04	1.607419526944829897e+02	-1.281723469689045476e-05	-3.406103042267717429e-01
1.630465434462083795e+04	1.609082212801010030e+02	-1.279080582021983463e-05	-3.405665931763062759e-01
1.630467608375126292e+04	1.610715095949300917e+02	-1.276492884365264405e-05	-3.405230174652619235e-01
1.630469782288168972e+04	1.612317816610121781e+02	-1.273960481920234662e-05	-3.404795763471498704e-01
1.630471956201211651e+04	1.613890012763510242e+02	-1.271483488359860434e-05	-3.404362690811034153e-01
1.630474130114254331e+04	1.615431321441156740e+02	-1.269062023951772891e-05	-3.403930949318197396e-01
1.630476304027296828e+04	1.616941380028927995e+02	-1.266696213701986482e-05	-3.403500531695032860e-01
1.630478477940339508e+04	1.618419827567831817e+02	-1.264386185535678678e-05	-3.403071430698074162e-01
1.630480651853382187e+04	1.619866306041397479e+02	-1.262132068530897236e-05	-3.402643639137812870e-01
1.630482825766424867e+04	1.621280461637622068e+02	-1.259933991220499865e-05	-3.402217149878130620e-01
1.630484999679467364e+04	1.622661945973945024e+02	-1.257792079976782272e-05	-3.401791955835757886e-01
1.630487173592510044e+04	1.624010417274203348e+02	-1.255706457492260358e-05	-3.401368049979755503e-01
