# time(us)	tip(nm)	Fts(nN)	Xb(nm)
8.321201719796881662e+03	-9.452618288108727285e+00	2.379864129236306098e+02	-9.452619975444971345e+00
8.321205186962828520e+03	-9.452603086924760589e+00	2.379863043916499521e+02	-9.452604470219270638e+00
8.321208654128775379e+03	-9.452590926475265221e+00	2.379863966289906045e+02	-9.452592005672187270e+00
8.321212121294722238e+03	-9.452581807252794732e+00	2.379866896317316503e+02	-9.452582582308261649e+00
8.321215588460669096e+03	-9.452575729630025236e+00	2.379871833881369980e+02	-9.452576200512174509e+00
8.321219055626615955e+03	-9.452572693859698560e+00	2.379878778786519433e+02	-9.452572860548650979e+00
8.321222522792562813e+03	-9.452572700074586720e+00	2.379887730759038220e+02	-9.452572562562460590e+00
8.321225989958509672e+03	-9.452575748287506130e+00	2.379898689447034030e+02	-9.452575306578408387e+00
8.321229457124456530e+03	-9.452581838391351354e+00	2.379911654420511127e+02	-9.452581092501413096e+00
8.321232924290403389e+03	-9.452590970158956551e+00	2.379926625171225112e+02	-9.452589920116272637e+00
8.321236391456348429e+03	-9.452603143243454298e+00	2.379943601113008356e+02	-9.452601789088109996e+00
8.321239858622295287e+03	-9.452618357177916764e+00	2.379962581581521306e+02	-9.452616698962007291e+00
8.321243325788242146e+03	-9.452636611375371700e+00	2.379983565834270394e+02	-9.452634649163000446e+00
8.321246792954189004e+03	-9.452657905128987181e+00	2.380006553050706941e+02	-9.452655638996207088e+00
8.321250260120135863e+03	-9.452682237612295424e+00	2.380031542332468746e+02	-9.452679667647169381e+00
8.321253727286082722e+03	-9.452709607878844622e+00	2.380058532703092169e+02	-9.452706734181399284e+00
8.321257194452029580e+03	-9.452740014862362372e+00	2.380087523108170728e+02	-9.452736837544611248e+00
8.321260661617976439e+03	-9.452773457376929755e+00	2.380118512415454575e+02	-9.452769976562846566e+00
8.321264128783923297e+03	-9.452809934116881863e+00	2.380151499414841112e+02	-9.452806149942427183e+00
8.321267595949870156e+03	-9.452849443656855755e+00	2.380186482818363061e+02	-9.452845356269948596e+00
8.321271063115817014e+03	-9.452891984451989416e+00	2.380223461260360125e+02	-9.452887594012494787e+00
8.321274530281763873e+03	-9.452937554837834710e+00	2.380262433297437212e+02	-9.452932861517570728e+00
8.321277997447708913e+03	-9.452986153030515482e+00	2.380303397408576132e+02	-9.452981157013251590e+00
8.321281464613655771e+03	-9.453037777126709784e+00	2.380346351995121381e+02	-9.453032478608141886e+00
8.321284931779602630e+03	-9.453092425103774232e+00	2.380391295380889574e+02	-9.453086824291537127e+00
8.321288398945549488e+03	-9.453150094819861238e+00	2.380438225812250437e+02	-9.453144191933505525e+00
8.321291866111496347e+03	-9.453210784013895918e+00	2.380487141458119424e+02	-9.453204579284887998e+00
8.321295333277443206e+03	-9.453274490305775046e+00	2.380538040410096414e+02	-9.453267983977472255e+00
8.321298800443390064e+03	-9.453341211196446991e+00	2.380590920682551257e+02	-9.453334403524113583e+00
8.321302267609336923e+03	-9.453410944067954347e+00	2.380645780212628324e+02	-9.453403835318733073e+00
8.321305734775283781e+03	-9.453483686183570711e+00	2.380702616860366163e+02	-9.453476276636473941e+00
8.321309201941230640e+03	-9.453559434687914376e+00	2.380761428408776794e+02	-9.453551724633813436e+00
8.321312669107177499e+03	-9.453638186607005167e+00	2.380822212563909659e+02	-9.453630176348639225e+00
8.321316136273124357e+03	-9.453719938848438531e+00	2.380884966954930064e+02	-9.453711628700366632e+00
8.321319603439069397e+03	-9.453804688201522310e+00	2.380949689134270955e+02	-9.453796078490139365e+00
8.321323070605016255e+03	-9.453892431337317603e+00	2.381016376577639733e+02	-9.453883522400833073e+00
8.321326537770963114e+03	-9.453983164808898110e+00	2.381085026684185948e+02	-9.453973956997305805e+00
8.321330004936909972e+03	-9.454076885051362567e+00	2.381155636776563824e+02	-9.454067378726460191e+00
8.321333472102856831e+03	-9.454173588382040805e+00	2.381228204101025767e+02	-9.454163783917390873e+00
8.321336939268803690e+03	-9.454273271000612766e+00	2.381302725827536619e+02	-9.454263168781537274e+00
8.321340406434750548e+03	-9.454375928989261268e+00	2.381379199049876263e+02	-9.454365529412827485e+00
8.321343873600697407e+03	-9.454481558312831879e+00	2.381457620785747338e+02	-9.454470861787831026e+00
8.321347340766644265e+03	-9.454590154818966141e+00	2.381537987976876707e+02	-9.454579161765897410e+00
8.321350807932591124e+03	-9.454701714238339605e+00	2.381620297489178597e+02	-9.454690425089399497e+00
8.321354275098537983e+03	-9.454816232184771962e+00	2.381704546112827359e+02	-9.454804647383829419e+00
8.321357742264484841e+03	-9.454933704155386920e+00	2.381790730562384510e+02	-9.454921824157979771e+00
8.321361209430429881e+03	-9.455054125530828912e+00	2.381878847476926069e+02	-9.455041950804119466e+00
8.321364676596376739e+03	-9.455177491575437188e+00	2.381968893420195172e+02	-9.455165022598231772e+00
8.321368143762323598e+03	-9.455303797437359492e+00	2.382060864880644715e+02	-9.455291034700058717e+00
8.321371610928270456e+03	-9.455433038148857605e+00	2.382154758271669834e+02	-9.455419982153447478e+00
8.321375078094217315e+03	-9.455565208626444118e+00	2.382250569931709094e+02	-9.455551859886480059e+00
8.321378545260164174e+03	-9.455700303671020990e+00	2.382348296124316960e+02	-9.455686662711606516e+00
8.321382012426111032e+03	-9.455838317968209950e+00	2.382447933038399981e+02	-9.455824385325964698e+00
8.321385479592057891e+03	-9.455979246088489276e+00	2.382549476788320533e+02	-9.455965022311536572e+00
8.321388946758004749e+03	-9.456123082487428277e+00	2.382652923414050576e+02	-9.456108568135382697e+00
8.321392413923951608e+03	-9.456269821505841833e+00	2.382758268881266872e+02	-9.456255017149773678e+00
8.321395881089898467e+03	-9.456419457370124348e+00	2.382865509081594269e+02	-9.456404363592541884e+00
8.321399348255845325e+03	-9.456571984192391866e+00	2.382974639832686989e+02	-9.456556601587214672e+00
8.321402815421790365e+03	-9.456727395970778716e+00	2.383085656878443785e+02	-9.456711725143319924e+00
8.321406282587737223e+03	-9.456885686589568962e+00	2.383198555889090642e+02	-9.456869728156513943e+00
8.321409749753684082e+03	-9.457046849819532142e+00	2.383313332461402183e+02	-9.457030604408904750e+00
8.321413216919630941e+03	-9.457210879318155961e+00	2.383429982118869646e+02	-9.457194347569304327e+00
8.321416684085577799e+03	-9.457377768629823933e+00	2.383548500311808027e+02	-9.457360951193383158e+00
8.321420151251524658e+03	-9.457547511186202627e+00	2.383668882417628083e+02	-9.457530408724075244e+00
8.321423618417471516e+03	-9.457720100306369559e+00	2.383791123740923297e+02	-9.457702713491709545e+00
8.321427085583418375e+03	-9.457895529197109852e+00	2.383915219513650925e+02	-9.457877858714281771e+00
8.321430552749365233e+03	-9.458073790953198667e+00	2.384041164895344025e+02	-9.458055837497756357e+00
8.321434019915312092e+03	-9.458254878557736944e+00	2.384168954973315806e+02	-9.458236642836389763e+00
8.321437487081258951e+03	-9.458438784882261530e+00	2.384298584762760527e+02	-9.458420267612870802e+00
8.321440954247205809e+03	-9.458625502687141307e+00	2.384430049206980300e+02	-9.458606704598658155e+00
8.321444421413150849e+03	-9.458815024621893386e+00	2.384563343177624688e+02	-9.458795946454348069e+00
8.321447888579097707e+03	-9.459007343225502851e+00	2.384698461474894771e+02	-9.458987985729962134e+00
8.321451355745044566e+03	-9.459202450926552430e+00	2.384835398827644894e+02	-9.459182814865121358e+00
8.321454822910991425e+03	-9.459400340043593758e+00	2.384974149893598963e+02	-9.459380426189360591e+00
8.321458290076938283e+03	-9.459601002785467116e+00	2.385114709259580081e+02	-9.459580811922471355e+00
8.321461757242885142e+03	-9.459804431251622958e+00	2.385257071441734240e+02	-9.459783964174841131e+00
8.321465224408832000e+03	-9.460010617432422109e+00	2.385401230885695725e+02	-9.459989874947707378e+00
8.321468691574778859e+03	-9.460219553209409327e+00	2.385547181966826429e+02	-9.460198536133503922e+00
8.321472158740725718e+03	-9.460431230355682786e+00	2.385694918990388658e+02	-9.460409939516139843e+00
8.321475625906672576e+03	-9.460645640536185397e+00	2.385844436191800071e+02	-9.460624076771368962e+00
8.321479093072619435e+03	-9.460862775308079620e+00	2.385995727736853667e+02	-9.460840939467125565e+00
8.321482560238566293e+03	-9.461082626120989048e+00	2.386148787721864153e+02	-9.461060519063753560e+00
8.321486027404511333e+03	-9.461305184317419403e+00	2.386303610173972629e+02	-9.461282806914464771e+00
8.321489494570458191e+03	-9.461530441133092495e+00	2.386460189051358043e+02	-9.461507794265640925e+00
8.321492961736405050e+03	-9.461758387697276618e+00	2.386618518243449500e+02	-9.461735472257183588e+00
8.321496428902351909e+03	-9.461989015033063666e+00	2.386778591571120955e+02	-9.461965831922789505e+00
8.321499896068298767e+03	-9.462222314057814998e+00	2.386940402786963489e+02	-9.462198864190368042e+00
8.321503363234245626e+03	-9.462458275583509604e+00	2.387103945575540820e+02	-9.462434559882439089e+00
8.321506830400192484e+03	-9.462696890317078058e+00	2.387269213553563816e+02	-9.462672909716379976e+00
8.321510297566139343e+03	-9.462938148860740029e+00	2.387436200270211373e+02	-9.462913904304917523e+00
8.321513764732086202e+03	-9.463182041712249415e+00	2.387604899207162532e+02	-9.463157534156207973e+00
8.321517231898033060e+03	-9.463428559265567586e+00	2.387775303779111766e+02	-9.463403789674565303e+00
8.321520699063979919e+03	-9.463677691811239967e+00	2.387947407334010279e+02	-9.463652661160866231e+00
8.321524166229926777e+03	-9.463929429536747762e+00	2.388121203153309580e+02	-9.463904138812896605e+00
8.321527633395871817e+03	-9.464183762526490185e+00	2.388296684451925671e+02	-9.464158212725326536e+00
8.321531100561818675e+03	-9.464440680762599811e+00	2.388473844378783326e+02	-9.464414872890522190e+00
8.321534567727765534e+03	-9.464700174125120213e+00	2.388652676016913290e+02	-9.464674109198700336e+00
8.321538034893712393e+03	-9.464962232392542418e+00	2.388833172383823751e+02	-9.464935911438484339e+00
8.321541502059659251e+03	-9.465226845242128206e+00	2.389015326431726010e+02	-9.465200269297250557e+00
8.321544969225606110e+03	-9.465494002250364858e+00	2.389199131047798517e+02	-9.465467172361547554e+00
8.321548436391552968e+03	-9.465763692893359504e+00	2.389384579054463700e+02	-9.465736610117495786e+00
8.321551903557499827e+03	-9.466035906547183743e+00	2.389571663209615906e+02	-9.466008571951153527e+00
8.321555370723446686e+03	-9.466310632488417198e+00	2.389760376206968715e+02	-9.466283047149033791e+00
8.321558837889393544e+03	-9.466587859894438850e+00	2.389950710676242807e+02	-9.466560024898404535e+00
8.321562305055340403e+03	-9.466867577843942172e+00	2.390142659183527201e+02	-9.466839494287825119e+00
8.321565772221287261e+03	-9.467149775317404092e+00	2.390336214231545853e+02	-9.467121444307567302e+00
8.321569239387232301e+03	-9.467434441197330131e+00	2.390531368259847227e+02	-9.467405863849908343e+00
8.321572706553179160e+03	-9.467721564268915202e+00	2.390728113645235169e+02	-9.467692741709763382e+00
8.321576173719126018e+03	-9.468011133220374020e+00	2.390926442701961605e+02	-9.467982066585017620e+00
8.321579640885072877e+03	-9.468303136643321238e+00	2.391126347682010760e+02	-9.468273827076936655e+00
8.321583108051019735e+03	-9.468597563033393172e+00	2.391327820775455280e+02	-9.468568011690713604e+00
8.321586575216966594e+03	-9.468894400790603072e+00	2.391530854110752955e+02	-9.468864608835929175e+00
8.321590042382913452e+03	-9.469193638219781661e+00	2.391735439754972674e+02	-9.469163606826899837e+00
