# time(us)	tip(nm)	Fts(nN)	Xb(nm)
8.321201719796881662e+03	5.846904420437803118e+00	-8.619775906519961187e-03	-1.745372068078818728e-01
8.321205186962828520e+03	5.875452525390713276e+00	-8.541246969576043319e-03	-1.745024994305284238e-01
8.321208654128775379e+03	5.903916854736021236e+00	-8.464011266230133876e-03	-1.744679836938529127e-01
8.321212121294722238e+03	5.932295575726103998e+00	-8.388045296873458331e-03	-1.744336578907257074e-01
8.321215588460669096e+03	5.960586854783035626e+00	-8.313326088295347818e-03	-1.743995203339545885e-01
8.321219055626615955e+03	5.988788857778935437e+00	-8.239831180270095271e-03	-1.743655693559751363e-01
8.321222522792562813e+03	6.016899750317548978e+00	-8.167538612538809834e-03	-1.743318033085464736e-01
8.321225989958509672e+03	6.044917698017061802e+00	-8.096426912173023197e-03	-1.742982205624543923e-01
8.321229457124456530e+03	6.072840866793962178e+00	-8.026475081307641105e-03	-1.742648195072204476e-01
8.321232924290403389e+03	6.100667423147998925e+00	-7.957662585230887084e-03	-1.742315985508173792e-01
8.321236391456348429e+03	6.128395534448037196e+00	-7.889969340819683388e-03	-1.741985561193905019e-01
8.321239858622295287e+03	6.156023369218851293e+00	-7.823375705309047745e-03	-1.741656906569848950e-01
8.321243325788242146e+03	6.183549097428662655e+00	-7.757862465384770569e-03	-1.741330006252782003e-01
8.321246792954189004e+03	6.210970890777432807e+00	-7.693410826588828119e-03	-1.741004845033190807e-01
8.321250260120135863e+03	6.238286922985801120e+00	-7.630002403027410368e-03	-1.740681407872711750e-01
8.321253727286082722e+03	6.265495370084578575e+00	-7.567619207371906360e-03	-1.740359679901615497e-01
8.321257194452029580e+03	6.292594410704718477e+00	-7.506243641143431865e-03	-1.740039646416354224e-01
8.321260661617976439e+03	6.319582226367694844e+00	-7.445858485271914309e-03	-1.739721292877151604e-01
8.321264128783923297e+03	6.346457001776215634e+00	-7.386446890920870569e-03	-1.739404604905634144e-01
8.321267595949870156e+03	6.373216925105191777e+00	-7.327992370569603835e-03	-1.739089568282526088e-01
8.321271063115817014e+03	6.399860188292860741e+00	-7.270478789344608263e-03	-1.738776168945376510e-01
8.321274530281763873e+03	6.426384987331990040e+00	-7.213890356592524318e-03	-1.738464392986333873e-01
8.321277997447708913e+03	6.452789522561107383e+00	-7.158211617686830765e-03	-1.738154226649971379e-01
8.321281464613655771e+03	6.479071998955640233e+00	-7.103427446061249401e-03	-1.737845656331140354e-01
8.321284931779602630e+03	6.505230626418918582e+00	-7.049523035462626139e-03	-1.737538668572877198e-01
8.321288398945549488e+03	6.531263620072925491e+00	-6.996483892416661791e-03	-1.737233250064350587e-01
8.321291866111496347e+03	6.557169200548774057e+00	-6.944295828899734076e-03	-1.736929387638835587e-01
8.321295333277443206e+03	6.582945594276742085e+00	-6.892944955210782675e-03	-1.736627068271737462e-01
8.321298800443390064e+03	6.608591033775876866e+00	-6.842417673036839745e-03	-1.736326279078649337e-01
8.321302267609336923e+03	6.634103757943023538e+00	-6.792700668706495165e-03	-1.736027007313444837e-01
8.321305734775283781e+03	6.659482012341231716e+00	-6.743780906625574528e-03	-1.735729240366407911e-01
8.321309201941230640e+03	6.684724049487440922e+00	-6.695645622889457964e-03	-1.735432965762393753e-01
8.321312669107177499e+03	6.709828129139399522e+00	-6.648282319066760142e-03	-1.735138171159025799e-01
8.321316136273124357e+03	6.734792518581687482e+00	-6.601678756149258372e-03	-1.734844844344929082e-01
8.321319603439069397e+03	6.759615492910811874e+00	-6.555822948663068452e-03	-1.734552973237984408e-01
8.321323070605016255e+03	6.784295335319270315e+00	-6.510703158936264820e-03	-1.734262545883626661e-01
8.321326537770963114e+03	6.808830337378505959e+00	-6.466307891518343655e-03	-1.733973550453166701e-01
8.321330004936909972e+03	6.833218799320669667e+00	-6.422625887747048998e-03	-1.733685975242140187e-01
8.321333472102856831e+03	6.857459030319135174e+00	-6.379646120458160909e-03	-1.733399808668693032e-01
8.321336939268803690e+03	6.881549348767686425e+00	-6.337357788834098796e-03	-1.733115039271989344e-01
8.321340406434750548e+03	6.905488082558252749e+00	-6.295750313387334443e-03	-1.732831655710650176e-01
8.321343873600697407e+03	6.929273569357197182e+00	-6.254813331074571964e-03	-1.732549646761212814e-01
8.321347340766644265e+03	6.952904156880021169e+00	-6.214536690538019666e-03	-1.732269001316627255e-01
8.321350807932591124e+03	6.976378203164403047e+00	-6.174910447470045860e-03	-1.731989708384770732e-01
8.321354275098537983e+03	6.999694076841534773e+00	-6.135924860097686714e-03	-1.731711757086985548e-01
8.321357742264484841e+03	7.022850157405668092e+00	-6.097570384783496805e-03	-1.731435136656647722e-01
8.321361209430429881e+03	7.045844835481780422e+00	-6.059837671739555683e-03	-1.731159836437755617e-01
8.321364676596376739e+03	7.068676513091324054e+00	-6.022717560851235594e-03	-1.730885845883543550e-01
8.321368143762323598e+03	7.091343603915924554e+00	-5.986201077607828172e-03	-1.730613154555117605e-01
8.321371610928270456e+03	7.113844533559015915e+00	-5.950279429136837335e-03	-1.730341752120111987e-01
8.321375078094217315e+03	7.136177739805293463e+00	-5.914944000339151554e-03	-1.730071628351372570e-01
8.321378545260164174e+03	7.158341672877938322e+00	-5.880186350122188974e-03	-1.729802773125653226e-01
8.321382012426111032e+03	7.180334795693587679e+00	-5.845998207728269301e-03	-1.729535176422342668e-01
8.321385479592057891e+03	7.202155584114853681e+00	-5.812371469155665042e-03	-1.729268828322204077e-01
8.321388946758004749e+03	7.223802527200453127e+00	-5.779298193669712633e-03	-1.729003719006140805e-01
8.321392413923951608e+03	7.245274127452802304e+00	-5.746770600401417822e-03	-1.728739838753973468e-01
8.321395881089898467e+03	7.266568901063036989e+00	-5.714781065031352206e-03	-1.728477177943246457e-01
8.321399348255845325e+03	7.287685378153391902e+00	-5.683322116556253564e-03	-1.728215727048043604e-01
8.321402815421790365e+03	7.308622103016863214e+00	-5.652386434136289113e-03	-1.727955476637829113e-01
8.321406282587737223e+03	7.329377634354094617e+00	-5.621966844020661463e-03	-1.727696417376301530e-01
8.321409749753684082e+03	7.349950545507375033e+00	-5.592056316549572775e-03	-1.727438540020271029e-01
8.321413216919630941e+03	7.370339424691807473e+00	-5.562647963230273745e-03	-1.727181835418544198e-01
8.321416684085577799e+03	7.390542875223442110e+00	-5.533735033885444493e-03	-1.726926294510837123e-01
8.321420151251524658e+03	7.410559515744388648e+00	-5.505310913871802256e-03	-1.726671908326696814e-01
8.321423618417471516e+03	7.430387980444852936e+00	-5.477369121367181223e-03	-1.726418667984441768e-01
8.321427085583418375e+03	7.450026919281992122e+00	-5.449903304724168507e-03	-1.726166564690116145e-01
8.321430552749365233e+03	7.469474998195535065e+00	-5.422907239888667338e-03	-1.725915589736465583e-01
8.321434019915312092e+03	7.488730899320191980e+00	-5.396374827881510530e-03	-1.725665734501918014e-01
8.321437487081258951e+03	7.507793321194667691e+00	-5.370300092341612382e-03	-1.725416990449588073e-01
8.321440954247205809e+03	7.526660978967290028e+00	-5.344677177129024924e-03	-1.725169349126294271e-01
8.321444421413150849e+03	7.545332604598236514e+00	-5.319500343986275671e-03	-1.724922802161585056e-01
8.321447888579097707e+03	7.563806947058222541e+00	-5.294763970256533177e-03	-1.724677341266789010e-01
8.321451355745044566e+03	7.582082772523611069e+00	-5.270462546657190064e-03	-1.724432958234064783e-01
8.321454822910991425e+03	7.600158864567961636e+00	-5.246590675107308359e-03	-1.724189644935478216e-01
8.321458290076938283e+03	7.618034024349879196e+00	-5.223143066607666835e-03	-1.723947393322084742e-01
8.321461757242885142e+03	7.635707070797189466e+00	-5.200114539172002656e-03	-1.723706195423025112e-01
8.321465224408832000e+03	7.653176840787303981e+00	-5.177500015808222597e-03	-1.723466043344641929e-01
8.321468691574778859e+03	7.670442189323837034e+00	-5.155294522548181310e-03	-1.723226929269590646e-01
8.321472158740725718e+03	7.687501989709318195e+00	-5.133493186525005768e-03	-1.722988845455986628e-01
8.321475625906672576e+03	7.704355133714008375e+00	-5.112091234096652684e-03	-1.722751784236541406e-01
8.321479093072619435e+03	7.721000531740778605e+00	-5.091083989014540123e-03	-1.722515738017728337e-01
8.321482560238566293e+03	7.737437112985956489e+00	-5.070466870636227211e-03	-1.722280699278948835e-01
8.321486027404511333e+03	7.753663825596195380e+00	-5.050235392180956254e-03	-1.722046660571711352e-01
8.321489494570458191e+03	7.769679636821234858e+00	-5.030385159027058080e-03	-1.721813614518833135e-01
8.321492961736405050e+03	7.785483533162561365e+00	-5.010911867050153734e-03	-1.721581553813628374e-01
8.321496428902351909e+03	7.801074520517865096e+00	-4.991811301001300785e-03	-1.721350471219139366e-01
8.321499896068298767e+03	7.816451624321349101e+00	-4.973079332923926316e-03	-1.721120359567344937e-01
8.321503363234245626e+03	7.831613889679776896e+00	-4.954711920608737344e-03	-1.720891211758406036e-01
8.321506830400192484e+03	7.846560381504265713e+00	-4.936705106085683206e-03	-1.720663020759908013e-01
8.321510297566139343e+03	7.861290184637800493e+00	-4.919055014151996717e-03	-1.720435779606112325e-01
8.321513764732086202e+03	7.875802403978338972e+00	-4.901757850935654914e-03	-1.720209481397222684e-01
8.321517231898033060e+03	7.890096164597653505e+00	-4.884809902493191663e-03	-1.719984119298664238e-01
8.321520699063979919e+03	7.904170611855674267e+00	-4.868207533441250637e-03	-1.719759686540359711e-01
8.321524166229926777e+03	7.918024911510454622e+00	-4.851947185621000892e-03	-1.719536176416027462e-01
8.321527633395871817e+03	7.931658249823690277e+00	-4.836025376794639632e-03	-1.719313582282483155e-01
8.321531100561818675e+03	7.945069833661741576e+00	-4.820438699373283918e-03	-1.719091897558948923e-01
8.321534567727765534e+03	7.958258890592136758e+00	-4.805183819175540098e-03	-1.718871115726375021e-01
8.321538034893712393e+03	7.971224668975580130e+00	-4.790257474216023242e-03	-1.718651230326770363e-01
8.321541502059659251e+03	7.983966438053376358e+00	-4.775656473523150029e-03	-1.718432234962534721e-01
8.321544969225606110e+03	7.996483488030272646e+00	-4.761377695985606617e-03	-1.718214123295810358e-01
8.321548436391552968e+03	8.008775130152733013e+00	-4.747418089226758571e-03	-1.717996889047831433e-01
8.321551903557499827e+03	8.020840696782595813e+00	-4.733774668506459879e-03	-1.717780525998288954e-01
8.321555370723446686e+03	8.032679541466073658e+00	-4.720444515649623550e-03	-1.717565027984700732e-01
8.321558837889393544e+03	8.044291038998153454e+00	-4.707424778000963983e-03	-1.717350388901787706e-01
8.321562305055340403e+03	8.055674585482279326e+00	-4.694712667405404570e-03	-1.717136602700860271e-01
8.321565772221287261e+03	8.066829598385414357e+00	-4.682305459213487002e-03	-1.716923663389212373e-01
8.321569239387232301e+03	8.077755516588370099e+00	-4.670200491311381555e-03	-1.716711565029523379e-01
8.321572706553179160e+03	8.088451800431517569e+00	-4.658395163174827019e-03	-1.716500301739262990e-01
8.321576173719126018e+03	8.098917931755680755e+00	-4.646886934946677615e-03	-1.716289867690111159e-01
8.321579640885072877e+03	8.109153413938377852e+00	-4.635673326537423714e-03	-1.716080257107377438e-01
8.321583108051019735e+03	8.119157771925388900e+00	-4.624751916748227540e-03	-1.715871464269431712e-01
8.321586575216966594e+03	8.128930552257536135e+00	-4.614120342416082668e-03	-1.715663483507141873e-01
8.321590042382913452e+03	8.138471323092737464e+00	-4.603776297580615059e-03	-1.715456309203315377e-01
8.321593509548860311e+03	8.147779674223356139e+00	-4.593717532672082424e-03	-1.715249935792154401e-01
8.321596976714807170e+03	8.156855217088818222e+00	-4.583941853720153829e-03	-1.715044357758703231e-01
8.321600443880754028e+03	8.165697584783510266e+00	-4.574447121583031552e-03	-1.714839569638323402e-01
8.321603911046700887e+03	8.174306432059916361e+00	-4.565231251196604639e-03	-1.714635566016155521e-01
8.321607378212647745e+03	8.182681435327058495e+00	-4.556292210843206590e-03	-1.714432341526597181e-01
8.321610845378592785e+03	8.190822292644238445e+00	-4.547628021439499221e-03	-1.714229890852788096e-01
8.321614312544539644e+03	8.198728723710006605e+00	-4.539236755843350027e-03	-1.714028208726093294e-01
8.321617779710486502e+03	8.206400469846483858e+00	-4.531116538179132298e-03	-1.713827289925606845e-01
8.321621246876433361e+03	8.213837293978976106e+00	-4.523265543181228567e-03	-1.713627129277640049e-01
8.321624714042380219e+03	8.221038980610897440e+00	-4.515681995555367000e-03	-1.713427721655241265e-01
8.321628181208327078e+03	8.228005335793998398e+00	-4.508364169357522745e-03	-1.713229061977698531e-01
8.321631648374273936e+03	8.234736187093961490e+00	-4.501310387390034667e-03	-1.713031145210062167e-01
8.321635115540220795e+03	8.241231383551367529e+00	-4.494519020614580126e-03	-1.712833966362665716e-01
8.321638582706167654e+03	8.247490795637990146e+00	-4.487988487581882034e-03	-1.712637520490660481e-01
8.321642049872114512e+03	8.253514315208528629e+00	-4.481717253877691085e-03	-1.712441802693543402e-01
8.321645517038061371e+03	8.259301855447723995e+00	-4.475703831584894841e-03	-1.712246808114701868e-01
8.321648984204008229e+03	8.264853350812865429e+00	-4.469946778761490006e-03	-1.712052531940957412e-01
8.321652451369953269e+03	8.270168756971795432e+00	-4.464444698934090863e-03	-1.711858969402117736e-01
8.321655918535900128e+03	8.275248050736381700e+00	-4.459196240606752744e-03	-1.711666115770533458e-01
8.321659385701846986e+03	8.280091229991480617e+00	-4.454200096784962162e-03	-1.711473966360652910e-01
8.321662852867793845e+03	8.284698313619411891e+00	-4.449455004514432828e-03	-1.711282516528598030e-01
8.321666320033740703e+03	8.289069341419960324e+00	-4.444959744434640730e-03	-1.711091761671729161e-01
8.321669787199687562e+03	8.293204374025991754e+00	-4.440713140346773911e-03	-1.710901697228218998e-01
8.321673254365634421e+03	8.297103492814654757e+00	-4.436714058795917376e-03	-1.710712318676642363e-01
8.321676721531581279e+03	8.300766799814230268e+00	-4.432961408667317020e-03	-1.710523621535550431e-01
8.321680188697528138e+03	8.304194417606654000e+00	-4.429454140796483183e-03	-1.710335601363072444e-01
8.321683655863474996e+03	8.307386489225685011e+00	-4.426191247593089587e-03	-1.710148253756501313e-01
8.321687123029421855e+03	8.310343178050889179e+00	-4.423171762678264340e-03	-1.709961574351896163e-01
8.321690590195368713e+03	8.313064667697313226e+00	-4.420394760535347606e-03	-1.709775558823691533e-01
8.321694057361313753e+03	8.315551161901025168e+00	-4.417859356173820147e-03	-1.709590202884297139e-01
8.321697524527260612e+03	8.317802884400471441e+00	-4.415564704806280473e-03	-1.709405502283718459e-01
8.321700991693207470e+03	8.319820078813734199e+00	-4.413510001538349138e-03	-1.709221452809167041e-01
8.321704458859154329e+03	8.321603008511686994e+00	-4.411694481071372700e-03	-1.709038050284691357e-01
8.321707926025101187e+03	8.323151956487144787e+00	-4.410117417417767742e-03	-1.708855290570791829e-01
8.321711393191048046e+03	8.324467225220018918e+00	-4.408778123628879185e-03	-1.708673169564060013e-01
8.321714860356994905e+03	8.325549136538489492e+00	-4.407675951535329484e-03	-1.708491683196807498e-01
8.321718327522941763e+03	8.326398031476323069e+00	-4.406810291499613230e-03	-1.708310827436704260e-01
8.321721794688888622e+03	8.327014270126291251e+00	-4.406180572180942376e-03	-1.708130598286425605e-01
8.321725261854835480e+03	8.327398231489841152e+00	-4.405786260312181610e-03	-1.707950991783290795e-01
8.321728729020782339e+03	8.327550313322944930e+00	-4.405626860488840932e-03	-1.707772003998923316e-01
8.321732196186729198e+03	8.327470931978279367e+00	-4.405701914969997919e-03	-1.707593631038892834e-01
8.321735663352674237e+03	8.327160522243680418e+00	-4.406011003491147951e-03	-1.707415869042382683e-01
8.321739130518621096e+03	8.326619537177080588e+00	-4.406553743088785502e-03	-1.707238714181848194e-01
8.321742597684567954e+03	8.325848447937850949e+00	-4.407329787936773748e-03	-1.707062162662679738e-01
8.321746064850514813e+03	8.324847743614581574e+00	-4.408338829194409676e-03	-1.706886210722877717e-01
8.321749532016461671e+03	8.323617931049533070e+00	-4.409580594866097970e-03	-1.706710854632718100e-01
8.321752999182408530e+03	8.322159534659588687e+00	-4.411054849672648402e-03	-1.706536090694434626e-01
8.321756466348355389e+03	8.320473096253939715e+00	-4.412761394934102202e-03	-1.706361915241893235e-01
8.321759933514302247e+03	8.318559174848454418e+00	-4.414700068464114287e-03	-1.706188324640281473e-01
8.321763400680249106e+03	8.316418346476837087e+00	-4.416870744475828031e-03	-1.706015315285791534e-01
8.321766867846195964e+03	8.314051203998635842e+00	-4.419273333499227838e-03	-1.705842883605308558e-01
8.321770335012142823e+03	8.311458356904168454e+00	-4.421907782309958228e-03	-1.705671026056110873e-01
8.321773802178089682e+03	8.308640431116355529e+00	-4.424774073869603384e-03	-1.705499739125558301e-01
8.321777269344034721e+03	8.305598068789633359e+00	-4.427872227277468778e-03	-1.705329019330800722e-01
8.321780736509981580e+03	8.302331928105923353e+00	-4.431202297733782478e-03	-1.705158863218474985e-01
8.321784203675928438e+03	8.298842683067745085e+00	-4.434764376514421964e-03	-1.704989267364416805e-01
8.321787670841875297e+03	8.295131023288579541e+00	-4.438558590957103998e-03	-1.704820228373366275e-01
8.321791138007822155e+03	8.291197653780505661e+00	-4.442585104459114732e-03	-1.704651742878683929e-01
8.321794605173769014e+03	8.287043294739124377e+00	-4.446844116486619973e-03	-1.704483807542064855e-01
8.321798072339715873e+03	8.282668681325988658e+00	-4.451335862595532170e-03	-1.704316419053259202e-01
8.321801539505662731e+03	8.278074563448415191e+00	-4.456060614464074643e-03	-1.704149574129793787e-01
8.321805006671609590e+03	8.273261705536972599e+00	-4.461018679936931165e-03	-1.703983269516699262e-01
8.321808473837556448e+03	8.268230886320438344e+00	-4.466210403081269723e-03	-1.703817501986233940e-01
8.321811941003503307e+03	8.262982898598577819e+00	-4.471636164254461782e-03	-1.703652268337618736e-01
8.321815408169450166e+03	8.257518549012576869e+00	-4.477296380183784161e-03	-1.703487565396768766e-01
8.321818875335395205e+03	8.251838657813344469e+00	-4.483191504058021970e-03	-1.703323390016034389e-01
8.321822342501342064e+03	8.245944058627753037e+00	-4.489322025631107063e-03	-1.703159739073934753e-01
8.321825809667288922e+03	8.239835598222796875e+00	-4.495688471337896952e-03	-1.702996609474904388e-01
8.321829276833235781e+03	8.233514136267814365e+00	-4.502291404422213011e-03	-1.702833998149036743e-01
8.321832743999182640e+03	8.226980545094830788e+00	-4.509131425077181343e-03	-1.702671902051834663e-01
8.321836211165129498e+03	8.220235709457064388e+00	-4.516209170598054976e-03	-1.702510318163955871e-01
8.321839678331076357e+03	8.213280526285760885e+00	-4.523525315547534745e-03	-1.702349243490972330e-01
8.321843145497023215e+03	8.206115904445287157e+00	-4.531080571933894172e-03	-1.702188675063121548e-01
8.321846612662970074e+03	8.198742764486707912e+00	-4.538875689401809452e-03	-1.702028609935066772e-01
8.321850079828916932e+03	8.191162038399841805e+00	-4.546911455436215485e-03	-1.701869045185659401e-01
8.321853546994863791e+03	8.183374669363809417e+00	-4.555188695579333660e-03	-1.701709977917700845e-01
8.321857014160810650e+03	8.175381611496309375e+00	-4.563708273660877467e-03	-1.701551405257708816e-01
8.321860481326755689e+03	8.167183829601594169e+00	-4.572471092041773336e-03	-1.701393324355686132e-01
8.321863948492702548e+03	8.158782298917204301e+00	-4.581478091871439215e-03	-1.701235732384891453e-01
8.321867415658649406e+03	8.150178004859592207e+00	-4.590730253358928786e-03	-1.701078626541613903e-01
8.321870882824596265e+03	8.141371942768710568e+00	-4.600228596058002044e-03	-1.700922004044948255e-01
8.321874349990543124e+03	8.132365117651614739e+00	-4.609974179166414533e-03	-1.700765862136574824e-01
8.321877817156489982e+03	8.123158543925171671e+00	-4.619968101839566632e-03	-1.700610198080534374e-01
8.321881284322436841e+03	8.113753245157948157e+00	-4.630211503518806039e-03	-1.700455009163019116e-01
8.321884751488383699e+03	8.104150253811344129e+00	-4.640705564274567353e-03	-1.700300292692152604e-01
8.321888218654330558e+03	8.094350610980088234e+00	-4.651451505164543899e-03	-1.700146045997777688e-01
8.321891685820277416e+03	8.084355366132136567e+00	-4.662450588607220531e-03	-1.699992266431248622e-01
