# time(us)	tip(nm)	Fts(nN)	Xb(nm)
1.630437173592529507e+04	-1.169060261265139111e+01	2.944023272549977719e+02	-1.169060502599667650e+01
1.630439347505572005e+04	-1.169058154300567942e+01	2.944028640346349448e+02	-1.169058339927858370e+01
1.630441521418614684e+04	-1.169056604464671167e+01	2.944037950406994355e+02	-1.169056734374825801e+01
1.630443695331657364e+04	-1.169055611844079756e+01	2.944051202489316097e+02	-1.169055686029444807e+01
1.630445869244700043e+04	-1.169055176502957671e+01	2.944068396194570596e+02	-1.169055194958129995e+01
1.630448043157742541e+04	-1.169055298482974337e+01	2.944089530967613086e+02	-1.169055261204798057e+01
1.630450217070785220e+04	-1.169055977803338919e+01	2.944114606097217006e+02	-1.169055884790904365e+01
1.630452390983827900e+04	-1.169057214460757699e+01	2.944143620715834118e+02	-1.169057065715407084e+01
1.630454564896870579e+04	-1.169059008429437974e+01	2.944176573799609287e+02	-1.169058803954763803e+01
1.630456738809913077e+04	-1.169061359661079891e+01	2.944213464168355472e+02	-1.169061099462924069e+01
1.630458912722955756e+04	-1.169064268084874847e+01	2.944254290485613978e+02	-1.169063952171331522e+01
1.630461086635998436e+04	-1.169067733607510107e+01	2.944299051258669238e+02	-1.169067361988923714e+01
1.630463260549041115e+04	-1.169071756113148197e+01	2.944347744838476615e+02	-1.169071328802116128e+01
1.630465434462083795e+04	-1.169076335463441296e+01	2.944400369419745971e+02	-1.169075852474811050e+01
1.630467608375126292e+04	-1.169081471497515778e+01	2.944456923040917218e+02	-1.169080932848388699e+01
1.630469782288168972e+04	-1.169087164031981807e+01	2.944517403584189879e+02	-1.169086569741708104e+01
1.630471956201211651e+04	-1.169093412860957137e+01	2.944581808775790250e+02	-1.169092762951139619e+01
1.630474130114254331e+04	-1.169100217756040294e+01	2.944650136185770180e+02	-1.169099512250531880e+01
1.630476304027296828e+04	-1.169107578466320163e+01	2.944722383228099147e+02	-1.169106817391224240e+01
1.630478477940339508e+04	-1.169115494718391801e+01	2.944798547160814337e+02	-1.169114678102061156e+01
1.630480651853382187e+04	-1.169123966216344535e+01	2.944878625085970612e+02	-1.169123094089383130e+01
1.630482825766424867e+04	-1.169132992641776525e+01	2.944962613949738852e+02	-1.169132065037035773e+01
1.630484999679467364e+04	-1.169142573653805961e+01	2.945050510542537268e+02	-1.169141590606385783e+01
1.630487173592510044e+04	-1.169152708889083492e+01	2.945142311499123480e+02	-1.169151670436329304e+01
1.630489347505552723e+04	-1.169163397961786899e+01	2.945238013298613282e+02	-1.169162304143291919e+01
1.630491521418595403e+04	-1.169174640463646142e+01	2.945337612264634686e+02	-1.169173491321247482e+01
1.630493695331637900e+04	-1.169186435963959880e+01	2.945441104565500154e+02	-1.169185231541736769e+01
1.630495869244680580e+04	-1.169198784009587833e+01	2.945548486214179320e+02	-1.169197524353863749e+01
1.630498043157723259e+04	-1.169211684124956641e+01	2.945659753068340478e+02	-1.169210369284298068e+01
1.630500217070765939e+04	-1.169225135812113692e+01	2.945774900830722345e+02	-1.169223765837321771e+01
1.630502390983808436e+04	-1.169239138550704737e+01	2.945893925049095969e+02	-1.169237713494823616e+01
1.630504564896851116e+04	-1.169253691798005867e+01	2.946016821116390929e+02	-1.169252211716313461e+01
1.630506738809893795e+04	-1.169268794988949267e+01	2.946143584270973292e+02	-1.169267259938956727e+01
1.630508912722936475e+04	-1.169284447536133875e+01	2.946274209596733158e+02	-1.169282857577587009e+01
1.630511086635978972e+04	-1.169300648829851319e+01	2.946408692023246090e+02	-1.169299004024723132e+01
1.630513260549021652e+04	-1.169317398238085204e+01	2.946547026325854972e+02	-1.169315698650581581e+01
