# time(us)	tip(nm)	Fts(nN)	Xb(nm)
1.630437173592529507e+04	2.915080132306387100e+02	-3.915547254621832857e-06	-1.877065566427038867e-01
1.630439347505572005e+04	2.927465059015256656e+02	-3.882508774952499086e-06	-1.876653645530123315e-01
1.630441521418614684e+04	2.939815445446339481e+02	-3.849977029659305866e-06	-1.876243620906941911e-01
1.630443695331657364e+04	2.952131126108068884e+02	-3.817942095925843675e-06	-1.875835476665289880e-01
1.630445869244700043e+04	2.964411942281511188e+02	-3.786394277748164472e-06	-1.875429197115805469e-01
1.630448043157742541e+04	2.976657737054917447e+02	-3.755324112374545343e-06	-1.875024766768528806e-01
1.630450217070785220e+04	2.988868350378378409e+02	-3.724722375976205951e-06	-1.874622170329520721e-01
1.630452390983827900e+04	3.001043614200723368e+02	-3.694580088453864329e-06	-1.874221392697558164e-01
1.630454564896870579e+04	3.013183347749792915e+02	-3.664888517298158149e-06	-1.873822418960879033e-01
1.630456738809913077e+04	3.025287353015361873e+02	-3.635639180435982475e-06	-1.873425234394001104e-01
1.630458912722955756e+04	3.037355410491456951e+02	-3.606823848008911669e-06	-1.873029824454603143e-01
1.630461086635998436e+04	3.049387275231610488e+02	-3.578434543044329427e-06	-1.872636174780460405e-01
1.630463260549041115e+04	3.061382673266683696e+02	-3.550463540994512415e-06	-1.872244271186440656e-01
1.630465434462083795e+04	3.073341298430401025e+02	-3.522903368133379435e-06	-1.871854099661565407e-01
1.630467608375126292e+04	3.085262809632681069e+02	-3.495746798814859225e-06	-1.871465646366116398e-01
1.630469782288168972e+04	3.097146828615348682e+02	-3.468986851610682804e-06	-1.871078897628805915e-01
1.630471956201211651e+04	3.108992938218806330e+02	-3.442616784358816053e-06	-1.870693839944003456e-01
1.630474130114254331e+04	3.120800681181980281e+02	-3.416630088166309748e-06	-1.870310459969006245e-01
1.630476304027296828e+04	3.132569559491240625e+02	-3.391020480422307739e-06	-1.869928744521372754e-01
1.630478477940339508e+04	3.144299034287236623e+02	-3.365781896887861208e-06	-1.869548680576297583e-01
1.630480651853382187e+04	3.155988526331699404e+02	-3.340908482939156802e-06	-1.869170255264048786e-01
