# time(us)	tip(nm)	Fts(nN)	Xb(nm)
8.321201719796881662e+03	-3.575870879704632799e+00	4.736696913646197515e+01	-3.575874228007037470e+00
8.321205186962828520e+03	-3.575840077344862422e+00	4.736662569317734039e+01	-3.575842938235344715e+00
8.321208654128775379e+03	-3.575814149742773562e+00	4.736648022300203564e+01	-3.575816523108127143e+00
8.321212121294722238e+03	-3.575793097924896191e+00	4.736653273027399536e+01	-3.575794983671103378e+00
8.321215588460669096e+03	-3.575776922725825813e+00	4.736678321194865049e+01	-3.575778320778066011e+00
8.321219055626615955e+03	-3.575765624788224351e+00	4.736723165759990906e+01	-3.575766535090868281e+00
8.321222522792562813e+03	-3.575759204562776628e+00	4.736787804942098745e+01	-3.575759627079397429e+00
8.321225989958509672e+03	-3.575757662308197471e+00	4.736872236222475152e+01	-3.575757597021558709e+00
8.321229457124456530e+03	-3.575760998091197962e+00	4.736976456344545738e+01	-3.575760445003273613e+00
8.321232924290403389e+03	-3.575769211786483215e+00	4.737100461313821143e+01	-3.575768170918439459e+00
8.321236391456348429e+03	-3.575782303076747048e+00	4.737244246398125114e+01	-3.575780774468957368e+00
8.321239858622295287e+03	-3.575800271452724832e+00	4.737407806127798438e+01	-3.575798255164749140e+00
8.321243325788242146e+03	-3.575823116213204145e+00	4.737591134295978890e+01	-3.575820612323804326e+00
8.321246792954189004e+03	-3.575850836465046534e+00	4.737794223958679396e+01	-3.575847845072170017e+00
8.321250260120135863e+03	-3.575883431123180856e+00	4.738017067434937246e+01	-3.575879952343974377e+00
8.321253727286082722e+03	-3.575920898910653456e+00	4.738259656306978940e+01	-3.575916932881441301e+00
8.321257194452029580e+03	-3.575963238358720986e+00	4.738521981420767304e+01	-3.575958785235008985e+00
8.321260661617976439e+03	-3.576010447806897030e+00	4.738804032886190498e+01	-3.576005507763359237e+00
8.321264128783923297e+03	-3.576062525403002734e+00	4.739105800077386021e+01	-3.576057098633482756e+00
8.321267595949870156e+03	-3.576119469103254289e+00	4.739427271633050509e+01	-3.576113555820747525e+00
8.321271063115817014e+03	-3.576181276672347753e+00	4.739768435456927875e+01	-3.576174877109004946e+00
8.321274530281763873e+03	-3.576247945683476814e+00	4.740129278717835604e+01	-3.576241060090590729e+00
