# amp_ratio	peakF(nN)	maxdepth(nm)	phase(deg)	Ediss(aJ)	Ediss_Tamayo(aJ)	Vts(aJ)	Vts_lozano(aJ)
1.266645586830283943e-02	2.591139818812915223e+02	-1.584835904629838810e-01	2.087017929998675303e+00	1.205676097209842229e-01	2.898099931229090875e-02	1.242452439903690247e+05	-1.940736738582753973e-01
1.284656831253907019e-02	2.482022489177912234e+02	-1.604503515356375531e-01	2.093839172230909540e+00	1.149766043728437798e-01	2.931743601035314423e-02	1.141125244848564325e+05	-1.968324763099905950e-01
1.303684630323209345e-02	2.373107664882038534e+02	-1.625360756937581641e-01	2.101240669989086651e+00	1.095965300792607344e-01	2.967483308338355122e-02	1.044201439224251662e+05	-1.997469314699114595e-01
1.323896553039217820e-02	2.264461019978256218e+02	-1.647646013203601378e-01	2.109368685016919542e+00	1.044898152904163019e-01	3.005792882326438140e-02	9.516984600207548647e+04	-2.028426882112972784e-01
1.345426222491627986e-02	2.156098310955310353e+02	-1.671521144944191350e-01	2.118298225479188002e+00	9.965656531051048095e-02	3.046955475410750847e-02	8.657108253164034977e+04	-2.061402012429852937e-01
1.368277014054559634e-02	2.047918194227883646e+02	-1.696896056916324391e-01	2.127933479003180750e+00	9.499431762239569921e-02	3.090736269784244428e-02	7.818599030820252665e+04	-2.096399905735156222e-01
1.392762253086477116e-02	1.940054204153704234e+02	-1.724240220807238544e-01	2.138555025668444909e+00	9.062045833298881803e-02	3.138048278827453713e-02	7.024006003312412940e+04	-2.133900127020072757e-01
1.419131277734640532e-02	1.832552730483310768e+02	-1.753876525154465515e-01	2.150329931431933517e+00	8.656268759679812408e-02	3.189487212587974879e-02	6.273302253238856792e+04	-2.174284306908586262e-01
1.447415149917529072e-02	1.725286066305104384e+02	-1.785716464580856533e-01	2.163151376499851342e+00	8.270296052620307314e-02	3.244797539052629576e-02	5.565798133534523367e+04	-2.217600001956691602e-01
1.478020364379803095e-02	1.618364583523384965e+02	-1.820319215726460271e-01	2.177327764177365399e+00	7.912803043731572727e-02	3.305035069244659229e-02	4.901714538421817997e+04	-2.264469340855659596e-01
1.511244802515332442e-02	1.511784491333819460e+02	-1.858015165926933943e-01	2.193006961441312797e+00	7.582803222213109484e-02	3.370770130669045045e-02	4.280818287358590896e+04	-2.315348198857717921e-01
1.547532408357649505e-02	1.405589625722229812e+02	-1.899345694250878236e-01	2.210455856788474005e+00	7.282927216543860771e-02	3.442978006488477821e-02	3.703019532577102655e+04	-2.370915960297050040e-01
