# time(us)	tip(nm)	Fts(nN)	Xb(nm)
8.321201719796881662e+03	4.976092367310305242e+00	-1.182282727312905339e-02	-1.372966446169531229e-01
8.321205186962828520e+03	5.011914396782421122e+00	-1.166521396045279609e-02	-1.372252464829629981e-01
8.321208654128775379e+03	5.047731168074344410e+00	-1.151075132938940600e-02	-1.371543600859322642e-01
8.321212121294722238e+03	5.083541458412335956e+00	-1.135936098428081374e-02	-1.370839794886465068e-01
8.321215588460669096e+03	5.119344038605652791e+00	-1.121096690567661459e-02	-1.370140988553602834e-01
8.321219055626615955e+03	5.155137673034779766e+00	-1.106549536592690494e-02	-1.369447124493717305e-01
8.321222522792562813e+03	5.190921119642017523e+00	-1.092287484821347771e-02	-1.368758146306675028e-01
8.321225989958509672e+03	5.226693129924441905e+00	-1.078303596886175802e-02	-1.368073998536367686e-01
8.321229457124456530e+03	5.262452448929267668e+00	-1.064591140278359216e-02	-1.367394626648516243e-01
8.321232924290403389e+03	5.298197815251605824e+00	-1.051143581190881748e-02	-1.366719977009121234e-01
8.321236391456348429e+03	5.333927961034658161e+00	-1.037954577647067465e-02	-1.366049996863536176e-01
8.321239858622295287e+03	5.369641611972356010e+00	-1.025017972901678433e-02	-1.365384634316141876e-01
8.321243325788242146e+03	5.405337487314446854e+00	-1.012327789102394904e-02	-1.364723838310608894e-01
8.321246792954189004e+03	5.441014299874055382e+00	-9.998782212001155675e-03	-1.364067558610725650e-01
8.321250260120135863e+03	5.476670756037715471e+00	-9.876636310970512631e-03	-1.363415745781774158e-01
8.321253727286082722e+03	5.512305555777928134e+00	-9.756785420221725930e-03	-1.362768351172436998e-01
8.321257194452029580e+03	5.547917392668195724e+00	-9.639176331240542975e-03	-1.362125326897217770e-01
8.321260661617976439e+03	5.583504953900582102e+00	-9.523757342716548599e-03	-1.361486625819358920e-01
8.321264128783923297e+03	5.619066920305805013e+00	-9.410478210540168531e-03	-1.360852201534245853e-01
8.321267595949870156e+03	5.654601966375866873e+00	-9.299290099703254320e-03	-1.360222008353271506e-01
8.321271063115817014e+03	5.690108760289221301e+00	-9.190145538021530364e-03	-1.359596001288159717e-01
