# amp_ratio	peakF(nN)	maxdepth(nm)	phase1(deg)	phase2(deg)	Ediss(aJ)	Ediss_Tamayo(aJ)	Vts(aJ)	Vts_lozano(aJ)
9.840317709338968107e-04	5.067415763298564571e+02	-3.694121180943233385e-01	2.326207525695277223e+00	9.770426617364471156e+01	-2.748656055002741461e+00	4.299002027156784145e-01	3.826044349913799670e+04	-5.593619771502384985e-01
9.662826047426760229e-04	4.512269861434648988e+02	-3.826455839757384458e-01	2.289467927870952213e+00	9.390287923740186216e+01	-2.627505913660224124e+00	4.131414021439304696e-01	3.011153658563580029e+04	-6.036878326203021228e-01
9.531566697774720162e-04	3.959881513105793260e+02	-3.984369550611070454e-01	2.253726827219238338e+00	8.901272732311106495e+01	-2.490559460739816711e+00	3.964039608898408673e-01	2.297293064911268084e+04	-6.538528529880442974e-01
9.473052103707404244e-04	3.410668368292818400e+02	-4.176410871608290387e-01	2.220130204960339970e+00	8.261169045247795850e+01	-2.363056764397631238e+00	3.799423941293441631e-01	1.683390762160440499e+04	-7.117497596709873031e-01
9.530695546967928033e-04	2.869979402307595819e+02	-4.417035524082657538e-01	2.186626257136988105e+00	7.417006323075607099e+01	-1.945614760132139853e+00	3.638338464616887036e-01	1.168254412599854004e+04	-7.802054011895932506e-01
9.788396689352639631e-04	2.330532384800964394e+02	-4.723151535066200113e-01	2.149822783044140539e+00	6.311757350490879048e+01	-1.572458706456047572e+00	3.484472815135642998e-01	7.503693101156754892e+03	-8.648687592067548779e-01
1.038598156367083079e-03	1.796965742672814201e+02	-5.147201216747807617e-01	2.117380872258288527e+00	4.935866900797191903e+01	-1.234982949559661591e+00	3.354931955947750843e-01	4.279002188820861193e+03	-9.749246894590999357e-01
1.159564967675999741e-03	1.272742210917430725e+02	-5.785358033857782578e-01	2.088183035819403788e+00	3.391804266709529259e+01	-8.054157516477845613e-01	3.276298290207520503e-01	1.985558231865497646e+03	-1.131845311237096308e+00
1.409232846426620479e-03	7.627130759944004978e+01	-6.928443582713238458e-01	2.065106655591915974e+00	1.901806247785155080e+01	-2.265333703420901734e-01	3.339883180645337180e-01	5.880236975982438707e+02	-1.397871362625531910e+00
2.161019343115573414e-03	2.784824613833622564e+01	-1.028317226871555468e+00	2.085013036982807044e+00	6.919154114994205074e+00	7.885643838162751385e-01	4.171514222796443572e-01	2.401834201531139001e+01	-2.139623761793488566e+00
3.957050039746092679e-02	7.657884621802205061e+01	-3.024457145868439945e+00	8.513342040630907936e-01	6.655918205850119840e+00	5.857714397825383834e+00	-5.718891763432739417e+00	-3.644236632894720174e+01	-4.409230123680654856e+01
8.387577842757013014e-02	1.185812175640425750e+02	-4.033779478532325768e+00	2.699856260074190217e+00	1.643088863997394924e+02	7.683700518841304117e+00	-2.084630011708000907e+01	-9.393873140293311508e+01	-9.263303264250669145e+01
1.294755522048473828e-01	1.106101799036113107e+02	-3.856237840081439661e+00	7.572871865989037055e+00	1.712464499691290882e+02	8.422224528576860436e+00	3.819325582337101288e+00	-1.362846017783290620e+02	-1.416347510243413410e+02
1.734919972443183245e-01	1.216228366625501707e+02	-4.107461327703515686e+00	9.979823516008075046e+00	1.696299303944679195e+02	9.436507687663258537e+00	1.930310845180930990e+00	-1.828432107508636193e+02	-1.898686528942812970e+02
2.173509935735835896e-01	1.260115210322416317e+02	-4.205638010282866546e+00	1.267412125927618582e+01	1.686813150410684727e+02	1.031047656636083687e+01	5.663219419978748448e+00	-2.281801111564922451e+02	-2.366334621005040617e+02
2.609958304276230878e-01	1.368986829455287193e+02	-4.445767776122992565e+00	1.530536550339663826e+01	1.681524338498070392e+02	1.105498105458688762e+01	8.085514262819636144e+00	-2.710301312079408831e+02	-2.817877618468260152e+02
3.045366334485469229e-01	1.446236521314581580e+02	-4.611652003376418563e+00	1.794143776161779158e+01	1.676989076351631240e+02	1.188822271362616334e+01	9.980522277245992058e+00	-3.139806549298648974e+02	-3.251254339467574823e+02
3.479792389120077156e-01	1.507152412589977644e+02	-4.739088902585850249e+00	2.059321744627969153e+01	1.672713491396864924e+02	1.248183362854143930e+01	1.119005444089615686e+01	-3.570604028463383202e+02	-3.662735431829386243e+02
3.913130352350700503e-01	1.557860942106761399e+02	-4.847441111319305662e+00	2.326988637121028702e+01	1.668871106941810467e+02	1.348067555356298719e+01	1.155331027393323495e+01	-4.002038607127575460e+02	-4.048665168195295223e+02
4.345458601516562491e-01	1.604489047339147589e+02	-4.945410988067429514e+00	2.598982614298209626e+01	1.666316289383128435e+02	1.401386490713919386e+01	1.135539085844700047e+01	-4.434587714095857223e+02	-4.404790284322145340e+02
4.776746496168985945e-01	1.652363177027327481e+02	-5.049821061087944152e+00	2.876881020217882323e+01	1.665767211558054726e+02	1.490529249837023329e+01	1.083759879800605574e+01	-4.860119990876716543e+02	-4.726617440177157619e+02
5.207094958409224095e-01	1.690814416389768269e+02	-5.126324509244454930e+00	3.162027948080877948e+01	1.665948393757493875e+02	1.534688834313995187e+01	1.006483275701217828e+01	-5.279728669149707230e+02	-5.009453903598828219e+02
5.636475823923595696e-01	1.718946105691430262e+02	-5.190171056243439551e+00	3.455555301444968563e+01	1.667965923194652476e+02	1.615428247949810014e+01	8.979183708153266608e+00	-5.670099850020307031e+02	-5.247450804722921021e+02
6.064799409070058545e-01	1.754212375775702242e+02	-5.262625605472017298e+00	3.759116627147982115e+01	1.672199888500840359e+02	1.651785039204209937e+01	7.582794881842016110e+00	-6.001033037726452903e+02	-5.434198431861613017e+02
6.491920113272754422e-01	1.754656953053898292e+02	-5.270063304706840590e+00	4.074877042923941417e+01	1.680166638685921328e+02	1.624461995073411558e+01	5.908414920667762971e+00	-6.229323377876568202e+02	-5.562045342843017579e+02
6.917746479676473159e-01	1.798093471872837767e+02	-5.359352604791446595e+00	4.405310935246188819e+01	1.691716924247515976e+02	1.553614827314295255e+01	3.742988111957458397e+00	-6.307961643974724666e+02	-5.622190435845737966e+02
7.342205515088785495e-01	1.802274324386905278e+02	-5.378934119468949504e+00	4.754371215681664609e+01	1.708456264122680466e+02	1.553738973958991032e+01	1.450722726004755936e+00	-6.218079076990745762e+02	-5.601976236057566894e+02
7.764287379669208011e-01	1.814644729124167384e+02	-5.401700899281975943e+00	5.125114334042773123e+01	1.736704957792182427e+02	1.432291698540603164e+01	-1.631325569978668177e+00	-5.957765165734533639e+02	-5.487215676041349752e+02
8.181661095807374329e-01	1.836871310371076049e+02	-5.460019485117082461e+00	5.522488758201035353e+01	1.791776372546112555e+02	1.293670314329253479e+01	-5.137649020243230780e+00	-5.518436652119106611e+02	-5.258071082757712702e+02
8.593808636218190911e-01	1.789198646810509103e+02	-5.378883551478215175e+00	5.962894018530486306e+01	6.045646820403337784e+00	1.168408190342805675e+01	-4.268189512184030754e+00	-4.922024158169584211e+02	-5.110993600282251350e+02
8.997856606073461050e-01	1.756832837502178393e+02	-5.336413876398717449e+00	6.455735615883916978e+01	1.520187287407425814e+01	9.361666690349530029e+00	-4.757475436518847189e+00	-4.134959671006760686e+02	-4.561450572011561349e+02
9.388873327393415513e-01	1.628630514233372537e+02	-5.092003479099303398e+00	7.046197794107261814e+01	2.753139531544269403e+01	6.942456677630580941e+00	-2.481840057496836671e+00	-3.072085964523100756e+02	-3.722068146210876876e+02
9.754523290673976499e-01	1.183386831416749772e+02	-4.171783309970636289e+00	7.827590393005252167e+01	4.503160150405437179e+01	3.471013741795591745e+00	-2.459518448551339276e+00	-1.805333878623534929e+02	-2.370564216905965225e+02
