# time(us)	tip(nm)	Fts(nN)	Xb(nm)
1.630437173592529507e+04	-1.154171350527199458e+01	4.221076954181018550e+02	-1.154171340224926290e+01
1.630439347505572005e+04	-1.154171626920749816e+01	4.221082842530433936e+02	-1.154171585096486830e+01
1.630441521418614684e+04	-1.154172218532584893e+01	4.221092668112024739e+02	-1.154172145186815968e+01
1.630443695331657364e+04	-1.154173125350954265e+01	4.221106430530144280e+02	-1.154173020485418100e+01
1.630445869244700043e+04	-1.154174347351526997e+01	4.221124129233690496e+02	-1.154174210969223502e+01
1.630448043157742541e+04	-1.154175884497379201e+01	4.221145763515937688e+02	-1.154175716602570390e+01
1.630450217070785220e+04	-1.154177736738947324e+01	4.221171332513899870e+02	-1.154177537337156600e+01
1.630452390983827900e+04	-1.154179904014068292e+01	4.221200835208822468e+02	-1.154179673112076721e+01
1.630454564896870579e+04	-1.154182386248036352e+01	4.221234270426940611e+02	-1.154182123853881237e+01
1.630456738809913077e+04	-1.154185183353506083e+01	4.221271636838395125e+02	-1.154184889476490206e+01
1.630458912722955756e+04	-1.154188295230574646e+01	4.221312932957981161e+02	-1.154187969881253295e+01
1.630461086635998436e+04	-1.154191721766736300e+01	4.221358157144905476e+02	-1.154191364956927579e+01
1.630463260549041115e+04	-1.154195462836920427e+01	4.221407307603004142e+02	-1.154195074579695657e+01
1.630465434462083795e+04	-1.154199518303469851e+01	4.221460382380690248e+02	-1.154199098613161212e+01
1.630467608375126292e+04	-1.154203888016162161e+01	4.221517379371083507e+02	-1.154203436908358249e+01
1.630469782288168972e+04	-1.154208571812194428e+01	4.221578296311875533e+02	-1.154208089303739548e+01
1.630471956201211651e+04	-1.154213569516232951e+01	4.221643130785940343e+02	-1.154213055625225337e+01
1.630474130114254331e+04	-1.154218880940390335e+01	4.221711880221084812e+02	-1.154218335686183217e+01
1.630476304027296828e+04	-1.154224505884233309e+01	4.221784541890128253e+02	-1.154223929287433492e+01
1.630478477940339508e+04	-1.154230444134796230e+01	4.221861112911111604e+02	-1.154229836217265692e+01
1.630480651853382187e+04	-1.154236695466601326e+01	4.221941590247449767e+02	-1.154236056251450115e+01
1.630482825766424867e+04	-1.154243259641654440e+01	4.222025970708000955e+02	-1.154242589153244225e+01
1.630484999679467364e+04	-1.154250136409463501e+01	4.222114250947270762e+02	-1.154249434673406149e+01
1.630487173592510044e+04	-1.154257325507029286e+01	4.222206427465282559e+02	-1.154256592550186866e+01
1.630489347505552723e+04	-1.154264826658866028e+01	4.222302496607824764e+02	-1.154264062509347788e+01
1.630491521418595403e+04	-1.154272639577035520e+01	4.222402454566926053e+02	-1.154271844264198954e+01
1.630493695331637900e+04	-1.154280763961108391e+01	4.222506297380285787e+02	-1.154279937515553911e+01
1.630495869244680580e+04	-1.154289199498238538e+01	4.222614020932311973e+02	-1.154288341951811425e+01
1.630498043157723259e+04	-1.154297945863134167e+01	4.222725620953704606e+02	-1.154297057248922620e+01
1.630500217070765939e+04	-1.154307002718088349e+01	4.222841093021852430e+02	-1.154306083070422595e+01
1.630502390983808436e+04	-1.154316369712969781e+01	4.222960432560689128e+02	-1.154315419067418524e+01
1.630504564896851116e+04	-1.154326046485297397e+01	4.223083634841655112e+02	-1.154325064878666396e+01
1.630506738809893795e+04	-1.154336032660173217e+01	4.223210694982946052e+02	-1.154335020130511680e+01
1.630508912722936475e+04	-1.154346327850336174e+01	4.223341607949951140e+02	-1.154345284436922725e+01
1.630511086635978972e+04	-1.154356931656209362e+01	4.223476368556071634e+02	-1.154355857399558083e+01
1.630513260549021652e+04	-1.154367843665873217e+01	4.223614971462295102e+02	-1.154366738607730802e+01
1.630515434462064331e+04	-1.154379063455090204e+01	4.223757411177491008e+02	-1.154377927638433299e+01
1.630517608375107011e+04	-1.154390590587326493e+01	4.223903682058730737e+02	-1.154389424056361868e+01
1.630519782288149690e+04	-1.154402424613790146e+01	4.224053778311655378e+02	-1.154401227413947417e+01
1.630521956201192188e+04	-1.154414565073421706e+01	4.224207693990525172e+02	-1.154413337251358662e+01
1.630524130114234868e+04	-1.154427011492925992e+01	4.224365422998467920e+02	-1.154425753096521845e+01
1.630526304027277547e+04	-1.154439763386811180e+01	4.224526959088013882e+02	-1.154438474465164965e+01
1.630528477940320226e+04	-1.154452820257352919e+01	4.224692295860702984e+02	-1.154451500860785451e+01
1.630530651853362724e+04	-1.154466181594658813e+01	4.224861426767789681e+02	-1.154464831774706823e+01
1.630532825766405404e+04	-1.154479846876687610e+01	4.225034345110527170e+02	-1.154478466686101612e+01
1.630534999679448083e+04	-1.154493815569257364e+01	4.225211044040276533e+02	-1.154492405062001126e+01
1.630537173592490763e+04	-1.154508087126056104e+01	4.225391516558628382e+02	-1.154506646357304511e+01
1.630539347505533260e+04	-1.154522660988715010e+01	4.225575755518270284e+02	-1.154521190014848564e+01
1.630541521418575940e+04	-1.154537536586776625e+01	4.225763753622680952e+02	-1.154536035465384458e+01
1.630543695331618619e+04	-1.154552713337752401e+01	4.225955503426728797e+02	-1.154551182127624109e+01
1.630545869244661299e+04	-1.154568190647126436e+01	4.226150997336775959e+02	-1.154566629408251188e+01
1.630548043157703796e+04	-1.154583967908411779e+01	4.226350227611450237e+02	-1.154582376701981339e+01
1.630550217070746476e+04	-1.154600044503101586e+01	4.226553186360887366e+02	-1.154598423391503204e+01
1.630552390983789155e+04	-1.154616419800772320e+01	4.226759865548064568e+02	-1.154614768847584294e+01
1.630554564896831835e+04	-1.154633093159097079e+01	4.226970256988976757e+02	-1.154631412429087334e+01
1.630556738809874332e+04	-1.154650063923856962e+01	4.227184352352810492e+02	-1.154648353482982515e+01
1.630558912722917012e+04	-1.154667331428956167e+01	4.227402143162049128e+02	-1.154665591344357978e+01
