# amp_ratio	peakF(nN)	maxdepth(nm)	phase(deg)	Ediss(aJ)	Ediss_Tamayo(aJ)	Vts(aJ)	Vts_lozano(aJ)
3.321778266583815193e-04	4.989654288600005430e+02	-1.833352687995017383e-01	9.802951608436817343e-01	1.626781057049168089e+00	4.013249541007420096e-02	3.782782907969840744e+04	-3.806754278093396615e-01
3.460079874887808595e-04	4.420311272306768728e+02	-1.872770803117424776e-01	8.917005458961422271e-01	1.332146601474525571e+00	3.791646158515419446e-02	2.953149940534642883e+04	-3.965347943860544344e-01
3.619432162796415355e-04	3.851758006103481762e+02	-1.919201938695696275e-01	8.004424351452589237e-01	1.056191351951302204e+00	3.546998901614498156e-02	2.227035696789386202e+04	-4.148067673399640221e-01
3.819460127085893132e-04	3.288398365708129631e+02	-1.985546379428319019e-01	7.144621976331033686e-01	8.180047100563445639e-01	3.324790322466125714e-02	1.608438656779005760e+04	-4.377397531057262703e-01
4.064521636552947373e-04	2.727037896690364960e+02	-2.069679482114853142e-01	6.266844551764976234e-01	6.027140960548100779e-01	3.082536410810734692e-02	1.091935427226937827e+04	-4.658340555226528901e-01
4.387471554126014272e-04	2.170628845456380418e+02	-2.188422215206383969e-01	5.412153283066130083e-01	4.198502950073116913e-01	2.845948441919603916e-02	6.783856521681944287e+03	-5.028549297475298774e-01
4.842912429660347988e-04	1.620586610132775434e+02	-2.366370394128566312e-01	4.584665675712863986e-01	2.706979224012947549e-01	2.621805341095590630e-02	3.658524508123496616e+03	-5.550607094528058338e-01
5.554309107710855972e-04	1.078533001496886072e+02	-2.659474280121086331e-01	3.781626147313799091e-01	1.566247458218021638e-01	2.417868736641290428e-02	1.514992659563732559e+03	-6.366025293395652929e-01
6.979184008977251273e-04	5.506007950714851518e+01	-3.268842872178990833e-01	3.053573070248860599e-01	8.593357326094230864e-02	2.327867973239791666e-02	3.214327616667715120e+02	-7.999194467846431067e-01
8.507188429722242762e-03	6.379243175460258897e+01	-1.722433129455389844e+00	5.131676208493888502e+00	1.034756527141188931e+00	4.958666230786223927e+00	-1.250738681438756217e+01	-9.711572910827058536e+00
5.394317685615393487e-02	5.557412547968951344e+01	-1.626592889456535351e+00	2.886861859232664695e+00	2.496719775710159739e-01	-1.390451948647332792e+00	-5.477081340657814934e+01	-6.174940743882662275e+01
9.847420401139854451e-02	6.910773403987295183e+01	-1.884719280623293081e+00	5.408609563386908015e+00	3.156117303257224838e-01	-2.990067186165724866e+00	-1.040418798193664287e+02	-1.123653412939442973e+02
