# time(us)	tip(nm)	Fts(nN)	Xb(nm)
1.630437173592529507e+04	1.578916875556942898e+02	-1.328265882512162709e-05	-3.430750362068216708e-01
1.630439347505572005e+04	1.580859643946858739e+02	-1.325010231892441929e-05	-3.430614063015717807e-01
1.630441521418614684e+04	1.582778619416549191e+02	-1.321806098784018443e-05	-3.430477951826328420e-01
1.630443695331657364e+04	1.584673511648968542e+02	-1.318653470441534300e-05	-3.430342028163183010e-01
1.630445869244700043e+04	1.586543993833391539e+02	-1.315552397648965050e-05	-3.430206291690045539e-01
1.630448043157742541e+04	1.588389703702086706e+02	-1.312502992150631492e-05	-3.430070742071308909e-01
1.630450217070785220e+04	1.590210244955203791e+02	-1.309505423533662561e-05	-3.429935378971983861e-01
1.630452390983827900e+04	1.592005189059838699e+02	-1.306559915596968703e-05	-3.429800202057712855e-01
1.630454564896870579e+04	1.593774077404718810e+02	-1.303666742247619666e-05	-3.429665210994754521e-01
1.630456738809913077e+04	1.595516423787705662e+02	-1.300826222970713754e-05	-3.429530405449990327e-01
1.630458912722955756e+04	1.597231717209340900e+02	-1.298038717923424487e-05	-3.429395785090920135e-01
1.630461086635998436e+04	1.598919424941964564e+02	-1.295304622707921324e-05	-3.429261349585666085e-01
1.630463260549041115e+04	1.600578995840681387e+02	-1.292624362881100131e-05	-3.429127098602964274e-01
1.630465434462083795e+04	1.602209863859515622e+02	-1.289998388261665261e-05	-3.428993031812165859e-01
1.630467608375126292e+04	1.603811451733693332e+02	-1.287427167096895367e-05	-3.428859148883243169e-01
1.630469782288168972e+04	1.605383174786982750e+02	-1.284911180152537925e-05	-3.428725449486777488e-01
1.630471956201211651e+04	1.606924444821565601e+02	-1.282450914789601351e-05	-3.428591933293960725e-01
1.630474130114254331e+04	1.608434674046922055e+02	-1.280046859091445283e-05	-3.428458599976605958e-01
1.630476304027296828e+04	1.609913279003814921e+02	-1.277699496103392246e-05	-3.428325449207126341e-01
1.630478477940339508e+04	1.611359684439507589e+02	-1.275409298245350033e-05	-3.428192480658551755e-01
1.630480651853382187e+04	1.612773327090987721e+02	-1.273176721955418952e-05	-3.428059694004516600e-01
1.630482825766424867e+04	1.614153659334118345e+02	-1.271002202619396412e-05	-3.427927088919263676e-01
1.630484999679467364e+04	1.615500152658266870e+02	-1.268886149837415866e-05	-3.427794665077640857e-01
1.630487173592510044e+04	1.616812300928130242e+02	-1.266828943074796513e-05	-3.427662422155102195e-01
1.630489347505552723e+04	1.618089623397030721e+02	-1.264830927739506736e-05	-3.427530359827705153e-01
1.630491521418595403e+04	1.619331667439020919e+02	-1.262892411723607786e-05	-3.427398477772107821e-01
1.630493695331637900e+04	1.620538010970542757e+02	-1.261013662440603589e-05	-3.427266775665573362e-01
1.630495869244680580e+04	1.621708264536141826e+02	-1.259194904384948745e-05	-3.427135253185961128e-01
1.630498043157723259e+04	1.622842073036829902e+02	-1.257436317234047090e-05	-3.427003910011736654e-01
1.630500217070765939e+04	1.623939117084003385e+02	-1.255738034506967735e-05	-3.426872745821952226e-01
1.630502390983808436e+04	1.624999113966371169e+02	-1.254100142787928972e-05	-3.426741760296267425e-01
1.630504564896851116e+04	1.626021818221994693e+02	-1.252522681516424342e-05	-3.426610953114933578e-01
1.630506738809893795e+04	1.627007021812341065e+02	-1.251005643339622393e-05	-3.426480323958798202e-01
1.630508912722936475e+04	1.627954553900012797e+02	-1.249548975016646519e-05	-3.426349872509297234e-01
1.630511086635978972e+04	1.628864280236614377e+02	-1.248152578858352757e-05	-3.426219598448468351e-01
1.630513260549021652e+04	1.629736102171874847e+02	-1.246816314680515082e-05	-3.426089501458930986e-01
1.630515434462064331e+04	1.630569955299715446e+02	-1.245540002242871691e-05	-3.425959581223902428e-01
1.630517608375107011e+04	1.631365807761259248e+02	-1.244323424141312057e-05	-3.425829837427185609e-01
1.630519782288149690e+04	1.632123658228892964e+02	-1.243166329115765554e-05	-3.425700269753169658e-01
1.630521956201192188e+04	1.632843533599285877e+02	-1.242068435731902675e-05	-3.425570877886836563e-01
1.630524130114234868e+04	1.633525486426701150e+02	-1.241029436390951898e-05	-3.425441661513747293e-01
1.630526304027277547e+04	1.634169592130998865e+02	-1.240049001618478903e-05	-3.425312620320055679e-01
1.630528477940320226e+04	1.634775946017348360e+02	-1.239126784580131645e-05	-3.425183753992488978e-01
1.630530651853362724e+04	1.635344660146884621e+02	-1.238262425770018374e-05	-3.425055062218366198e-01
1.630532825766405404e+04	1.635875860099156966e+02	-1.237455557815745122e-05	-3.424926544685581442e-01
1.630534999679448083e+04	1.636369681668475948e+02	-1.236705810342984709e-05	-3.424798201082615567e-01
1.630537173592490763e+04	1.636826267536895045e+02	-1.236012814841982900e-05	-3.424670031098522860e-01
1.630539347505533260e+04	1.637245763966712957e+02	-1.235376209478603231e-05	-3.424542034422938808e-01
1.630541521418575940e+04	1.637628317554992634e+02	-1.234795643793283784e-05	-3.424414210746077325e-01
1.630543695331618619e+04	1.637974072091701601e+02	-1.234270783232706657e-05	-3.424286559758721871e-01
1.630545869244661299e+04	1.638283165561633439e+02	-1.233801313461050648e-05	-3.424159081152238771e-01
1.630548043157703796e+04	1.638555727328382545e+02	-1.233386944400322835e-05	-3.424031774618565560e-01
1.630550217070746476e+04	1.638791875536234386e+02	-1.233027413952501201e-05	-3.423904639850209874e-01
1.630552390983789155e+04	1.638991714763057530e+02	-1.232722491359941510e-05	-3.423777676540254999e-01
1.630554564896831835e+04	1.639155333954000753e+02	-1.232471980164819966e-05	-3.423650884382352655e-01
1.630556738809874332e+04	1.639282804662255160e+02	-1.232275720733016273e-05	-3.423524263070725770e-01
1.630558912722917012e+04	1.639374179619186975e+02	-1.232133592313018479e-05	-3.423397812300162935e-01
1.630561086635959691e+04	1.639429491652001047e+02	-1.232045514605819429e-05	-3.423271531766023390e-01
1.630563260549002371e+04	1.639448752962647688e+02	-1.232011448827545177e-05	-3.423145421164231483e-01
1.630565434462044868e+04	1.639431954777135729e+02	-1.232031398252472221e-05	-3.423019480191278330e-01
1.630567608375087548e+04	1.639379067369720246e+02	-1.232105408230166713e-05	-3.422893708544215152e-01
1.630569782288130227e+04	1.639290040461679325e+02	-1.232233565676660412e-05	-3.422768105920661053e-01
1.630571956201172907e+04	1.639164803989690142e+02	-1.232415998045682751e-05	-3.422642672018795240e-01
1.630574130114215404e+04	1.639003269234099491e+02	-1.232652871792095811e-05	-3.422517406537357587e-01
1.630576304027258084e+04	1.638805330292851465e+02	-1.232944390345585849e-05	-3.422392309175652514e-01
1.630578477940300763e+04	1.638570865882469150e+02	-1.233290791618378628e-05	-3.422267379633535112e-01
1.630580651853343443e+04	1.638299741443301230e+02	-1.233692345076204561e-05	-3.422142617611427240e-01
1.630582825766386122e+04	1.637991811522419994e+02	-1.234149348406806841e-05	-3.422018022810299209e-01
1.630584999679428620e+04	1.637646922403966414e+02	-1.234662123825042258e-05	-3.421893594931686433e-01
1.630587173592471299e+04	1.637264914953614721e+02	-1.235231014057778513e-05	-3.421769333677671665e-01
1.630589347505513979e+04	1.636845627641029921e+02	-1.235856378055617119e-05	-3.421645238750895546e-01
1.630591521418556658e+04	1.636388899701912010e+02	-1.236538586481638114e-05	-3.421521309854548831e-01
1.630593695331599156e+04	1.635894574399331702e+02	-1.237278017030011415e-05	-3.421397546692376834e-01
1.630595869244641835e+04	1.635362502342750020e+02	-1.238075049629347500e-05	-3.421273948968674983e-01
1.630598043157684515e+04	1.634792544822268496e+02	-1.238930061587095604e-05	-3.421150516388283269e-01
1.630600217070727194e+04	1.634184577115323407e+02	-1.239843422732072852e-05	-3.421027248656599573e-01
1.630602390983769692e+04	1.633538491723259369e+02	-1.240815490612409176e-05	-3.420904145479563563e-01
1.630604564896812371e+04	1.632854201495960922e+02	-1.241846605805655310e-05	-3.420781206563661136e-01
1.630606738809855051e+04	1.632131642603943646e+02	-1.242937087396783558e-05	-3.420658431615926087e-01
1.630608912722897730e+04	1.631370777319069703e+02	-1.244087228678074608e-05	-3.420535820343935662e-01
1.630611086635940228e+04	1.630571596567271513e+02	-1.245297293122607499e-05	-3.420413372455810563e-01
1.630613260548982907e+04	1.629734122219348649e+02	-1.246567510680202674e-05	-3.420291087660214946e-01
1.630615434462025587e+04	1.628858409088994392e+02	-1.247898074441344938e-05	-3.420168965666353644e-01
1.630617608375068266e+04	1.627944546610658847e+02	-1.249289137710720369e-05	-3.420047006183970506e-01
1.630619782288110764e+04	1.626992660173718832e+02	-1.250740811527649166e-05	-3.419925208923351168e-01
1.630621956201153444e+04	1.626002912093476596e+02	-1.252253162666032668e-05	-3.419803573595319723e-01
1.630624130114196123e+04	1.624975502203889164e+02	-1.253826212141277695e-05	-3.419682099911236506e-01
1.630626304027238803e+04	1.623910668061448632e+02	-1.255459934246298862e-05	-3.419560787583000305e-01
1.630628477940281300e+04	1.622808684754305091e+02	-1.257154256133023650e-05	-3.419439636323040599e-01
1.630630651853323980e+04	1.621669864315479401e+02	-1.258909057949923117e-05	-3.419318645844326987e-01
1.630632825766366659e+04	1.620494554743743549e+02	-1.260724173540152206e-05	-3.419197815860360312e-01
1.630634999679409339e+04	1.619283138640515460e+02	-1.262599391698685380e-05	-3.419077146085174324e-01
1.630637173592452018e+04	1.618036031475701577e+02	-1.264534457980782793e-05	-3.418956636233330126e-01
1.630639347505494516e+04	1.616753679499919372e+02	-1.266529077047965938e-05	-3.418836286019925619e-01
1.630641521418537195e+04	1.615436557324780722e+02	-1.268582915531730673e-05	-3.418716095160584945e-01
1.630643695331579875e+04	1.614085165196929381e+02	-1.270695605389349290e-05	-3.418596063371459604e-01
1.630645869244622554e+04	1.612700025995226270e+02	-1.272866747720511863e-05	-3.418476190369229561e-01
1.630648043157665052e+04	1.611281681983803082e+02	-1.275095917008237257e-05	-3.418356475871104361e-01
1.630650217070707731e+04	1.609830691356678187e+02	-1.277382665742458715e-05	-3.418236919594813128e-01
1.630652390983750411e+04	1.608347624612115112e+02	-1.279726529380161552e-05	-3.418117521258616232e-01
1.630654564896793090e+04	1.606833060796991788e+02	-1.282127031591767503e-05	-3.417998280581290849e-01
1.630656738809835588e+04	1.605287583662998827e+02	-1.284583689739902728e-05	-3.417879197282142623e-01
1.630658912722878267e+04	1.603711777777553493e+02	-1.287096020533624799e-05	-3.417760271080992895e-01
1.630661086635920947e+04	1.602106224632879616e+02	-1.289663545798723012e-05	-3.417641501698189255e-01
1.630663260548963626e+04	1.600471498796707124e+02	-1.292285798302952177e-05	-3.417522888854596652e-01
1.630665434462006124e+04	1.598808164147547188e+02	-1.294962327573943976e-05	-3.417404432271596848e-01
1.630667608375048803e+04	1.597116770236501395e+02	-1.297692705647087673e-05	-3.417286131671090077e-01
1.630669782288091483e+04	1.595397848816010651e+02	-1.300476532681024651e-05	-3.417167986775498378e-01
1.630671956201134162e+04	1.593651910573944122e+02	-1.303313442379455315e-05	-3.417049997307752829e-01
1.630674130114176660e+04	1.591879442108970011e+02	-1.306203107159661633e-05	-3.416932162991297983e-01
1.630676304027219339e+04	1.590080903180215159e+02	-1.309145243010724915e-05	-3.416814483550100756e-01
1.630678477940262019e+04	1.588256724260948261e+02	-1.312139613987521112e-05	-3.416696958708634324e-01
1.630680651853304698e+04	1.586407304422324387e+02	-1.315186036290546321e-05	-3.416579588191884786e-01
1.630682825766347196e+04	1.584533009569289845e+02	-1.318284381886015829e-05	-3.416462371725352276e-01
1.630684999679389875e+04	1.582634171046499318e+02	-1.321434581625843062e-05	-3.416345309035040967e-01
1.630687173592432555e+04	1.580711084627635046e+02	-1.324636627832717727e-05	-3.416228399847469621e-01
1.630689347505475234e+04	1.578764009896946163e+02	-1.327890576321564514e-05	-3.416111643889664928e-01
1.630691521418517732e+04	1.576793170027085580e+02	-1.331196547835179916e-05	-3.415995040889155399e-01
1.630693695331560411e+04	1.574798751952606892e+02	-1.334554728878655900e-05	-3.415878590573980245e-01
1.630695869244603091e+04	1.572780906933722065e+02	-1.337965371944232942e-05	-3.415762292672682165e-01
1.630698043157645770e+04	1.570739751500275645e+02	-1.341428795125451949e-05	-3.415646146914309567e-01
1.630700217070688450e+04	1.568675368761347784e+02	-1.344945381126736425e-05	-3.415530153028413229e-01
1.630702390983730947e+04	1.566587810061552091e+02	-1.348515575681772909e-05	-3.415414310745046311e-01
1.630704564896773627e+04	1.564477096960988831e+02	-1.352139885401198903e-05	-3.415298619794762125e-01
1.630706738809816306e+04	1.562343223511962549e+02	-1.355818875077046721e-05	-3.415183079908617469e-01
1.630708912722858986e+04	1.560186158802106320e+02	-1.359553164477998745e-05	-3.415067690818166524e-01
1.630711086635901484e+04	1.558005849730435273e+02	-1.363343424675805861e-05	-3.414952452255461957e-01
1.630713260548944163e+04	1.555802223980109886e+02	-1.367190373949031734e-05	-3.414837363953054927e-01
1.630715434461986843e+04	1.553575193149499967e+02	-1.371094773315574704e-05	-3.414722425643995085e-01
1.630717608375029522e+04	1.551324656001280005e+02	-1.375057421750152066e-05	-3.414607637061822798e-01
1.630719782288072020e+04	1.549050501788051122e+02	-1.379079151147005794e-05	-3.414492997940577479e-01
1.630721956201114699e+04	1.546752613612171956e+02	-1.383160821091480043e-05	-3.414378508014792590e-01
1.630724130114157379e+04	1.544430871777258574e+02	-1.387303313506740563e-05	-3.414264167019494534e-01
1.630726304027200058e+04	1.542085157089018992e+02	-1.391507527243889103e-05	-3.414149974690197653e-01
1.630728477940242556e+04	1.539715354063917516e+02	-1.395774372684774849e-05	-3.414035930762914228e-01
1.630730651853285235e+04	1.537321354005441094e+02	-1.400104766427148801e-05	-3.413922034974138930e-01
1.630732825766327915e+04	1.534903057909496056e+02	-1.404499626121362858e-05	-3.413808287060865476e-01
1.630734999679370594e+04	1.532460379162763218e+02	-1.408959865526492951e-05	-3.413694686760566643e-01
1.630737173592413092e+04	1.529993246000486806e+02	-1.413486389851777778e-05	-3.413581233811209814e-01
1.630739347505455771e+04	1.527501603693306436e+02	-1.418080091446419138e-05	-3.413467927951243652e-01
1.630741521418498451e+04	1.524985416436214791e+02	-1.422741845897242366e-05	-3.413354768919604210e-01
1.630743695331541130e+04	1.522444668916518253e+02	-1.427472508589496584e-05	-3.413241756455716036e-01
1.630745869244583628e+04	1.519879367541765873e+02	-1.432272911781203752e-05	-3.413128890299483853e-01
1.630748043157626307e+04	1.517289541312937331e+02	-1.437143862235908085e-05	-3.413016170191294774e-01
1.630750217070668987e+04	1.514675242332663458e+02	-1.442086139452701776e-05	-3.412903595872019413e-01
1.630752390983711666e+04	1.512036545942879116e+02	-1.447100494525838450e-05	-3.412791167083009114e-01
1.630754564896754346e+04	1.509373550490999776e+02	-1.452187649659258606e-05	-3.412678883566096499e-01
1.630756738809796843e+04	1.506686376728390826e+02	-1.457348298354116776e-05	-3.412566745063591589e-01
1.630758912722839523e+04	1.503975166849554341e+02	-1.462583106279707921e-05	-3.412454751318287904e-01
1.630761086635882202e+04	1.501240083184998753e+02	-1.467892712830530150e-05	-3.412342902073448592e-01
1.630763260548924882e+04	1.498481306565120974e+02	-1.473277733364148139e-05	-3.412231197072820299e-01
1.630765434461967379e+04	1.495699034376616225e+02	-1.478738762106741108e-05	-3.412119636060619299e-01
1.630767608375010059e+04	1.492893478336813189e+02	-1.484276375705157005e-05	-3.412008218781544255e-01
1.630769782288052738e+04	1.490064862014910716e+02	-1.489891137396662579e-05	-3.411896944980762347e-01
1.630771956201095418e+04	1.487213418132337495e+02	-1.495583601759951014e-05	-3.411785814403914263e-01
1.630774130114137915e+04	1.484339385677258747e+02	-1.501354320003787119e-05	-3.411674826797116422e-01
1.630776304027180595e+04	1.481443006870674708e+02	-1.507203845742801837e-05	-3.411563981906951537e-01
1.630778477940223274e+04	1.478524524023481206e+02	-1.513132741203609990e-05	-3.411453279480477496e-01
1.630780651853265954e+04	1.475584176325299950e+02	-1.519141583798656860e-05	-3.411342719265219592e-01
1.630782825766308451e+04	1.472622196606859859e+02	-1.525230973000011350e-05	-3.411232301009171075e-01
1.630784999679351131e+04	1.469638808118123166e+02	-1.531401537440903423e-05	-3.411122024460792046e-01
1.630787173592393810e+04	1.466634221364271013e+02	-1.537653942169172843e-05	-3.411011889369017225e-01
1.630789347505436490e+04	1.463608631041054480e+02	-1.543988895973921714e-05	-3.410901895483237634e-01
1.630791521418478987e+04	1.460562213109897982e+02	-1.550407158704775814e-05	-3.410792042553312808e-01
1.630793695331521667e+04	1.457495122051546446e+02	-1.556909548502104980e-05	-3.410682330329569134e-01
1.630795869244564346e+04	1.454407488334923357e+02	-1.563496948856508753e-05	-3.410572758562794848e-01
1.630798043157607026e+04	1.451299416135339868e+02	-1.570170315416811842e-05	-3.410463327004239487e-01
1.630800217070649524e+04	1.448170981333229577e+02	-1.576930682467670323e-05	-3.410354035405616657e-01
1.630802390983692203e+04	1.445022229821223618e+02	-1.583779169000711797e-05	-3.410244883519096826e-01
1.630804564896734882e+04	1.441853176143689268e+02	-1.590716984307043662e-05	-3.410135871097315641e-01
1.630806738809777562e+04	1.438663802488851502e+02	-1.597745433023556246e-05	-3.410026997893366718e-01
1.630808912722820060e+04	1.435454058049380990e+02	-1.604865919571140653e-05	-3.409918263660797755e-01
1.630811086635862739e+04	1.432223858762871487e+02	-1.612079951929273241e-05	-3.409809668153618856e-01
1.630813260548905419e+04	1.428973087439060805e+02	-1.619389144698587241e-05	-3.409701211126290876e-01
1.630815434461948098e+04	1.425701594275956836e+02	-1.626795221410832240e-05	-3.409592892333741521e-01
1.630817608374990778e+04	1.422409197762309532e+02	-1.634300016054045425e-05	-3.409484711531339252e-01
1.630819782288033275e+04	1.419095685959221100e+02	-1.641905473789518897e-05	-3.409376668474916050e-01
1.630821956201075955e+04	1.415760818149049101e+02	-1.649613650846405399e-05	-3.409268762920755758e-01
1.630824130114118634e+04	1.412404326835327026e+02	-1.657426713589274284e-05	-3.409160994625589636e-01
1.630826304027161314e+04	1.409025920073129612e+02	-1.665346936763501069e-05	-3.409053363346606358e-01
1.630828477940203811e+04	1.405625284105320532e+02	-1.673376700933026307e-05	-3.408945868841440907e-01
1.630830651853246491e+04	1.402202086276374189e+02	-1.681518489134543941e-05	-3.408838510868181793e-01
1.630832825766289170e+04	1.398755978192080818e+02	-1.689774882781533888e-05	-3.408731289185362723e-01
1.630834999679331850e+04	1.395286599090449045e+02	-1.698148556860552195e-05	-3.408624203551966492e-01
1.630837173592374347e+04	1.391793579386520889e+02	-1.706642274470818911e-05	-3.408517253727427199e-01
1.630839347505417027e+04	1.388276544351692792e+02	-1.715258880766190675e-05	-3.408410439471620812e-01
1.630841521418459706e+04	1.384735117886462774e+02	-1.724001296366112088e-05	-3.408303760544869609e-01
1.630843695331502386e+04	1.381168926344370220e+02	-1.732872510308871474e-05	-3.408197216707939958e-01
1.630845869244544883e+04	1.377577602364233087e+02	-1.741875572626499903e-05	-3.408090807722045090e-01
1.630848043157587563e+04	1.373960788667655777e+02	-1.751013586625834139e-05	-3.407984533348837886e-01
1.630850217070630242e+04	1.370318141779168855e+02	-1.760289700964473957e-05	-3.407878393350415869e-01
1.630852390983672922e+04	1.366649335627251958e+02	-1.769707101613723229e-05	-3.407772387489318433e-01
1.630854564896715419e+04	1.362954064985891591e+02	-1.779269003803003366e-05	-3.407666515528522955e-01
1.630856738809758099e+04	1.359232048718231169e+02	-1.788978644041467361e-05	-3.407560777231448124e-01
1.630858912722800778e+04	1.355483032786203239e+02	-1.798839272313010635e-05	-3.407455172361952278e-01
1.630861086635843458e+04	1.351706792992839326e+02	-1.808854144540097270e-05	-3.407349700684330074e-01
