# time(us)	tip(nm)	Fts(nN)	Xb(nm)
8.321201719796881662e+03	-1.766250631796433268e+00	2.103924797933051849e+01	-1.766251390905553054e+00
8.321205186962828520e+03	-1.766245239462072902e+00	2.103901651873792389e+01	-1.766245598793862115e+00
8.321208654128775379e+03	-1.766243844994014323e+00	2.103898087363625535e+01	-1.766243804533919048e+00
8.321212121294722238e+03	-1.766246448451505913e+00	2.103914104514396044e+01	-1.766246008200659690e+00
8.321215588460669096e+03	-1.766253049736942637e+00	2.103949702736166216e+01	-1.766252209712164234e+00
8.321219055626615955e+03	-1.766263648595876701e+00	2.104004880737268479e+01	-1.766262408829668118e+00
8.321222522792562813e+03	-1.766278244617006221e+00	2.104079636524269503e+01	-1.766276605157557800e+00
8.321225989958509672e+03	-1.766296837232180339e+00	2.104173967401916556e+01	-1.766294798143363876e+00
8.321229457124456530e+03	-1.766319425716428082e+00	2.104287869973257941e+01	-1.766316987077795719e+00
8.321232924290403389e+03	-1.766346009188018096e+00	2.104421340139878183e+01	-1.766343171094796993e+00
8.321236391456348429e+03	-1.766376586608457977e+00	2.104574373101834794e+01	-1.766373349171550755e+00
8.321239858622295287e+03	-1.766411156782545122e+00	2.104746963357819212e+01	-1.766407520128522979e+00
8.321243325788242146e+03	-1.766449718358402921e+00	2.104939104705226427e+01	-1.766445682629501412e+00
8.321246792954189004e+03	-1.766492269827566242e+00	2.105150790240478997e+01	-1.766487835181679067e+00
8.321250260120135863e+03	-1.766538809524977660e+00	2.105382012358881738e+01	-1.766533976135651773e+00
8.321253727286082722e+03	-1.766589335629130897e+00	2.105632762755191578e+01	-1.766584103685558960e+00
8.321257194452029580e+03	-1.766643846162053055e+00	2.105903032423380239e+01	-1.766638215869068773e+00
8.321260661617976439e+03	-1.766702338989450727e+00	2.106192811657169628e+01	-1.766696310567515527e+00
8.321264128783923297e+03	-1.766764811820772829e+00	2.106502090050202369e+01	-1.766758385505973195e+00
8.321267595949870156e+03	-1.766831262209275888e+00	2.106830856496136661e+01	-1.766824438253310481e+00
8.321271063115817014e+03	-1.766901687552138389e+00	2.107179099189016469e+01	-1.766894466222309612e+00
8.321274530281763873e+03	-1.766976085090567583e+00	2.107546805623589137e+01	-1.766968466669771365e+00
8.321277997447708913e+03	-1.767054451909888302e+00	2.107933962595500432e+01	-1.767046436696602774e+00
8.321281464613655771e+03	-1.767136784939661531e+00	2.108340556201650173e+01	-1.767128373247937922e+00
8.321284931779602630e+03	-1.767223080953797210e+00	2.108766571840460813e+01	-1.767214273113244527e+00
8.321288398945549488e+03	-1.767313336570690785e+00	2.109211994212309804e+01	-1.767304132926464932e+00
8.321291866111496347e+03	-1.767407548253327132e+00	2.109676807319742409e+01	-1.767397949166117366e+00
8.321295333277443206e+03	-1.767505712309455301e+00	2.110160994468039064e+01	-1.767495718155470241e+00
8.321298800443390064e+03	-1.767607824891702650e+00	2.110664538265469048e+01	-1.767597436062655847e+00
8.321302267609336923e+03	-1.767713881997708292e+00	2.111187420623631894e+01	-1.767703098900805125e+00
8.321305734775283781e+03	-1.767823879470318493e+00	2.111729622758054603e+01	-1.767812702528235969e+00
8.321309201941230640e+03	-1.767937812997718128e+00	2.112291125188532348e+01	-1.767926242648591995e+00
8.321312669107177499e+03	-1.768055678113601870e+00	2.112871907739598498e+01	-1.768043714811010858e+00
8.321316136273124357e+03	-1.768177470197366929e+00	2.113471949541055395e+01	-1.768165114410309213e+00
8.321319603439069397e+03	-1.768303184474253387e+00	2.114091229028371899e+01	-1.768290436687137479e+00
8.321323070605016255e+03	-1.768432816015532705e+00	2.114729723943126416e+01	-1.768419676728153922e+00
8.321326537770963114e+03	-1.768566359738727556e+00	2.115387411333703582e+01	-1.768552829466245813e+00
8.321330004936909972e+03	-1.768703810407791899e+00	2.116064267555795553e+01	-1.768689889680718830e+00
8.321333472102856831e+03	-1.768845162633299939e+00	2.116760268272840051e+01	-1.768830851997473363e+00
