# amp_ratio	peakF(nN)	maxdepth(nm)	phase(deg)	Ediss(aJ)	Ediss_Tamayo(aJ)	Vts(aJ)	Vts_lozano(aJ)
8.435663295635538114e-03	2.736504949632441139e+02	-1.102917635872904395e-01	3.585161023711905814e-01	1.264575432423380996e-01	-1.770271815356141455e-03	1.319691979743011179e+05	-1.293333191782704006e-01
8.553020992464369088e-03	2.623050832774197261e+02	-1.114352574701621412e-01	3.581100241814112461e-01	1.176949208542437952e-01	-1.897436002307441522e-03	1.213027175005422469e+05	-1.311326216113027077e-01
8.676154587323644737e-03	2.509673966750392538e+02	-1.126398136882899026e-01	3.579673041421014279e-01	1.091308139266407851e-01	-2.029750468126903431e-03	1.110890929267289175e+05	-1.330204749003724152e-01
8.809049776531940532e-03	2.396719789404902770e+02	-1.139725030867954209e-01	3.586498278681750085e-01	1.010575954504605994e-01	-2.163508359245498117e-03	1.013442044016531436e+05	-1.350579782330809386e-01
8.953312697964972006e-03	2.284244412564898710e+02	-1.154556404948280796e-01	3.602053003239430451e-01	9.344749912267606706e-02	-2.299952385526886529e-03	9.229090586405385693e+04	-1.372697551055295229e-01
9.100079235885381174e-03	2.171334612419240102e+02	-1.169270128460621894e-01	3.613639946419610061e-01	8.564444981168728432e-02	-2.448588522644097078e-03	8.342959122617469984e+04	-1.395199219794350243e-01
9.262192674131147427e-03	2.059097736889036980e+02	-1.186065914571727137e-01	3.638383535913517486e-01	7.846262060549649697e-02	-2.598324624493976876e-03	7.504225399931786524e+04	-1.420053619942362733e-01
9.430540580334748416e-03	1.946639155395946545e+02	-1.203294410650840862e-01	3.663030009336041837e-01	7.127003366484038760e-02	-2.759413628518750990e-03	6.709031098187546013e+04	-1.445863856400829150e-01
9.619311471683572590e-03	1.835009326898850190e+02	-1.223288658220088171e-01	3.704516627931062067e-01	6.474086307683987740e-02	-2.922479918320980419e-03	5.961324223727609933e+04	-1.474804989914720588e-01
9.818413411203963034e-03	1.723275198728281055e+02	-1.244242546445980258e-01	3.749247239139838483e-01	5.828497519804553412e-02	-3.097449432840253172e-03	5.257386559050423239e+04	-1.505329958504072196e-01
1.002967553771361500e-02	1.611489104665007517e+02	-1.266419806249023117e-01	3.798492509391909744e-01	5.195634781532048468e-02	-3.285176014903194025e-03	4.597465610515359003e+04	-1.537719169212025117e-01
1.026656452964370796e-02	1.500415233433658386e+02	-1.291880344807866676e-01	3.866019879190285558e-01	4.616467537645708996e-02	-3.480494997877306602e-03	3.983857217321665667e+04	-1.574037023904311106e-01
1.052357685476079142e-02	1.389488137489328778e+02	-1.319540264770159566e-01	3.943709942167788474e-01	4.058970226262412911e-02	-3.690719111032277847e-03	3.414539443301983556e+04	-1.613439845210924983e-01
1.081512064984310045e-02	1.279321395008540350e+02	-1.351566157764331755e-01	4.044849908859562415e-01	3.552902623247379543e-02	-3.912807252297334851e-03	2.890984930910498224e+04	-1.658136330863839436e-01
1.113103397231759474e-02	1.169091836773110913e+02	-1.386123801339797512e-01	4.156580787814289080e-01	3.058598300309289461e-02	-4.156754323407133890e-03	2.410784191972532062e+04	-1.706568670556253275e-01
1.149418049852568742e-02	1.059659104921538386e+02	-1.426529773401210843e-01	4.298700990494817575e-01	2.613166061751915140e-02	-4.419822558025957374e-03	1.975793638985743019e+04	-1.762241718006267166e-01
1.191589294914324054e-02	9.510500909726060570e+01	-1.474043290354463964e-01	4.476533176635721922e-01	2.210448128508624502e-02	-4.709796876116762072e-03	1.585554164149514327e+04	-1.826892639648942940e-01
1.238170166343390867e-02	8.422287134244426454e+01	-1.526279510500605785e-01	4.674948668700993348e-01	1.818027180809035984e-02	-5.036469538087296090e-03	1.237787270137173437e+04	-1.898303146245972073e-01
1.294138284441308934e-02	7.344932973260002029e+01	-1.589931744920001222e-01	4.930489829589009276e-01	1.475358696393610017e-02	-5.405870447953536363e-03	9.345426306433795617e+03	-1.984103364181405982e-01
1.361344102246932024e-02	6.275398174592977796e+01	-1.666943112784203818e-01	5.250952928983105839e-01	1.170209645703435865e-02	-5.834488740738396489e-03	6.747388102031030940e+03	-2.087129344980321044e-01
1.443387216255990341e-02	5.213027456786640812e+01	-1.761486131890578066e-01	5.655937039531315769e-01	9.006062284765472062e-03	-6.344114488950986994e-03	4.578078214632384515e+03	-2.212897931097215776e-01
1.467097231082310077e-02	4.949107663638546484e+01	-1.788931035447097750e-01	5.775635210597201974e-01	8.398081385771867524e-03	-6.488179390670889904e-03	4.102749388398683550e+03	-2.249243740347712794e-01
1.492627963508620474e-02	4.686444012054703734e+01	-1.818581413470082286e-01	5.906036354138548550e-01	7.824868974846924119e-03	-6.640955800193683485e-03	3.654557590599841660e+03	-2.288380240168471358e-01
1.519339293071910423e-02	4.423400640299180253e+01	-1.849564893497620266e-01	6.042726534604969668e-01	7.261596349977573334e-03	-6.801596070294871517e-03	3.231855491913672267e+03	-2.329326163004989403e-01
1.548630610235448603e-02	4.162362773162082163e+01	-1.883699427277785998e-01	6.194799896008951201e-01	6.743976217629635284e-03	-6.973765263627321187e-03	2.836687464911450661e+03	-2.374226473736071041e-01
1.579981571141938004e-02	3.901851131283078900e+01	-1.920267366757519578e-01	6.358522457636738290e-01	6.249227500440583498e-03	-7.157222553244446325e-03	2.467579198601627013e+03	-2.422283471814186684e-01
1.613636112001754983e-02	3.641869090237253914e+01	-1.959555121031545388e-01	6.535313548755550261e-01	5.778319047835105311e-03	-7.353210825797332206e-03	2.124451933007074786e+03	-2.473870951348012270e-01
1.650301955097887435e-02	3.383059562293241385e+01	-2.002447410796534544e-01	6.729497464828642084e-01	5.340033284884465950e-03	-7.564437008068221682e-03	1.807653905410595598e+03	-2.530073552321473462e-01
1.690693147534753915e-02	3.125828323153297816e+01	-2.049819292221486677e-01	6.945263656193992885e-01	4.938207672359907346e-03	-7.794131396939194337e-03	1.517249188239218256e+03	-2.591985533543997855e-01
1.734892215989931874e-02	2.869520931978418332e+01	-2.101718781327233110e-01	7.182776343429068122e-01	4.565147961220200092e-03	-8.043824391992332457e-03	1.252617640904837572e+03	-2.659733109457171896e-01
1.783963299130272850e-02	2.614701294542780730e+01	-2.159448670216513877e-01	7.448301985763406963e-01	4.227098441277566884e-03	-8.318291693197600242e-03	1.013902745083714422e+03	-2.734946950489854367e-01
1.838682267448345925e-02	2.361276436474888030e+01	-2.223924247675560795e-01	7.746222260425004169e-01	3.923461504449683897e-03	-8.621732517550858080e-03	8.008263641549084468e+02	-2.818815717635835272e-01
1.900426539448667532e-02	2.109556082107442876e+01	-2.296802319266549874e-01	8.084464945394840285e-01	3.657425691539096559e-03	-8.960969243781353663e-03	6.132956223301466707e+02	-2.913449812937906058e-01
1.970830060715572651e-02	1.859684797165999370e+01	-2.380036138352408515e-01	8.472373491407904078e-01	3.431039512144214067e-03	-9.344348092544602774e-03	4.510943318010010898e+02	-3.021352407470453416e-01
2.052473882704302505e-02	1.612121197937462469e+01	-2.476727232716607885e-01	8.924772943931992275e-01	3.248782455867082770e-03	-9.784721055682864266e-03	3.140723036753483939e+02	-3.146477562078021650e-01
2.148319484512403038e-02	1.366870089038647507e+01	-2.590423163658284733e-01	9.458552907876919269e-01	3.113129118809363459e-03	-1.029742730664656367e-02	2.018734696020781314e+02	-3.293361283132086870e-01
2.263666660135614517e-02	1.124614708562590693e+01	-2.727460751697771690e-01	1.010410440400049570e+00	3.031937426847681940e-03	-1.090905387891885278e-02	1.142778968712738106e+02	-3.470121079358761684e-01
2.406911372419833287e-02	8.862053281318424069e+00	-2.897915133197626059e-01	1.090951951127105746e+00	3.015956902853725568e-03	-1.166191066503387275e-02	5.095702936395997540e+01	-3.689615044570825897e-01
2.591894786666071662e-02	6.526014568922223980e+00	-3.118356835040835828e-01	1.195399191066107702e+00	3.081241573275308055e-03	-1.262622534037824429e-02	1.143579725769941469e+01	-3.973036249550083721e-01
2.846118953711066282e-02	4.258324964472279817e+00	-3.421767269359973218e-01	1.339485391914755130e+00	3.259566558427512330e-03	-1.394164613033075165e-02	-4.867681608263260351e+00	-4.362485970698642412e-01
2.429561398201266764e-01	1.777482409020083765e+01	-8.711926818841556619e-01	1.377533456454611738e+01	6.059941077863717322e-03	-1.132979273230383249e-01	-2.945029781683893511e+00	-3.617868115547096863e+00
3.337214088185736505e-01	1.939419037685695812e+01	-9.188752781823775750e-01	1.918512073934360629e+01	1.699871867276326861e-03	-1.639590996830089242e-01	-1.193439251350662644e+01	-4.832458438113080845e+00
4.191401023330497133e-01	2.032754112837104188e+01	-9.481167266305641217e-01	2.445618211151262855e+01	-5.034153203760557450e-03	-2.076566762432259239e-01	-2.284685897266844989e+01	-5.849692283742699672e+00
5.015840628046323024e-01	2.082023606232499446e+01	-9.657203792823890742e-01	2.977071667184382164e+01	-7.409339934715854226e-03	-2.441914492266815118e-01	-3.271719878055660757e+01	-6.675331203583620976e+00
5.816402914869798213e-01	2.094393167229727482e+01	-9.743202902024903356e-01	3.522451718328665038e+01	-1.692493865590806792e-02	-2.722227272932226660e-01	-4.106112057853021469e+01	-7.284874805266976061e+00
6.593903550372449685e-01	2.071662126362771161e+01	-9.746510999889170801e-01	4.090595545411288469e+01	-1.277844024643240428e-02	-2.903564260387448415e-01	-4.742068993778972441e+01	-7.640834321308188848e+00
7.346297448324633494e-01	2.021725236340500942e+01	-9.683215235357299777e-01	4.692407548416376528e+01	-1.749744818219923365e-02	-2.958477982414778884e-01	-5.122323286391906549e+01	-7.692506194942904330e+00
