# time(us)	tip(nm)	Fts(nN)	Xb(nm)
8.321201719796881662e+03	6.612477188971563891e+00	-6.807188633191579505e-03	-1.876693007630894638e-01
8.321205186962828520e+03	6.636855654026441620e+00	-6.759988116959793174e-03	-1.876674591870531039e-01
8.321208654128775379e+03	6.661123187629161890e+00	-6.713488020517072510e-03	-1.876656180274076935e-01
8.321212121294722238e+03	6.685278811884165506e+00	-6.667676947439924243e-03	-1.876637772840335228e-01
8.321215588460669096e+03	6.709321552276852785e+00	-6.622543742294887716e-03	-1.876619369568110207e-01
8.321219055626615955e+03	6.733250437719322967e+00	-6.578077484884729473e-03	-1.876600970456202833e-01
8.321222522792562813e+03	6.757064500596310808e+00	-6.534267484654217653e-03	-1.876582575503419337e-01
8.321225989958509672e+03	6.780762776811261716e+00	-6.491103275250617241e-03	-1.876564184708564842e-01
8.321229457124456530e+03	6.804344305832620066e+00	-6.448574609234036803e-03	-1.876545798070443916e-01
8.321232924290403389e+03	6.827808130740252501e+00	-6.406671452933122499e-03	-1.876527415587860015e-01
8.321236391456348429e+03	6.851153298272040892e+00	-6.365383981441613374e-03	-1.876509037259620760e-01
8.321239858622295287e+03	6.874378858870639597e+00	-6.324702573751446281e-03	-1.876490663084532107e-01
8.321243325788242146e+03	6.897483866730378388e+00	-6.284617808018311269e-03	-1.876472293061397789e-01
8.321246792954189004e+03	6.920467379844295941e+00	-6.245120456955659781e-03	-1.876453927189027093e-01
8.321250260120135863e+03	6.943328460051353623e+00	-6.206201483353209619e-03	-1.876435565466225697e-01
8.321253727286082722e+03	6.966066173083746094e+00	-6.167852035716316766e-03	-1.876417207891801775e-01
8.321257194452029580e+03	6.988679588614377991e+00	-6.130063444022507829e-03	-1.876398854464563781e-01
8.321260661617976439e+03	7.011167780304440988e+00	-6.092827215591753963e-03	-1.876380505183317671e-01
8.321264128783923297e+03	7.033529825851131179e+00	-6.056135031067068006e-03	-1.876362160046873839e-01
8.321267595949870156e+03	7.055764807035461494e+00	-6.019978740502176552e-03	-1.876343819054039908e-01
8.321271063115817014e+03	7.077871809770207356e+00	-5.984350359553070736e-03	-1.876325482203624051e-01
8.321274530281763873e+03	7.099849924147950020e+00	-5.949242065770462412e-03	-1.876307149494438886e-01
8.321277997447708913e+03	7.121698244489196306e+00	-5.914646194990109095e-03	-1.876288820925291201e-01
8.321281464613655771e+03	7.143415869390638662e+00	-5.880555237818191339e-03	-1.876270496494992224e-01
8.321284931779602630e+03	7.165001901773471182e+00	-5.846961836208995622e-03	-1.876252176202352628e-01
8.321288398945549488e+03	7.186455448931769574e+00	-5.813858780132206971e-03	-1.876233860046183921e-01
8.321291866111496347e+03	7.207775622580997243e+00	-5.781239004327216185e-03	-1.876215548025297053e-01
8.321295333277443206e+03	7.228961538906551354e+00	-5.749095585141963602e-03	-1.876197240138502975e-01
8.321298800443390064e+03	7.250012318612356843e+00	-5.717421737453917685e-03	-1.876178936384614304e-01
8.321302267609336923e+03	7.270927086969564357e+00	-5.686210811670729462e-03	-1.876160636762442546e-01
8.321305734775283781e+03	7.291704973865250849e+00	-5.655456290808502824e-03	-1.876142341270801706e-01
8.321309201941230640e+03	7.312345113851204559e+00	-5.625151787645251214e-03	-1.876124049908503288e-01
