# amp_ratio	peakF(nN)	maxdepth(nm)	phase1(deg)	phase2(deg)	Ediss(aJ)	Ediss_Tamayo(aJ)	Vts(aJ)	Vts_lozano(aJ)
7.030588767025715453e-04	5.268160131273855313e+02	-2.474604399892360862e-01	1.413141471695486429e+00	1.036436354276667942e+02	-9.705502480279500910e-01	2.792884263935888622e-01	4.144044662036102818e+04	-3.208048248763425980e-01
6.827540479378052442e-04	4.698188165779753831e+02	-2.543233318246381769e-01	1.324980531522436111e+00	1.006368304621827576e+02	-1.064008377502004166e+00	2.612839735883450976e-01	3.272346885450467016e+04	-3.513436701956321739e-01
6.646969208879802311e-04	4.130063161824554072e+02	-2.631174179543884217e-01	1.236409556514170172e+00	9.673681324161231032e+01	-1.124882488272152647e+00	2.427321770703317894e-01	2.505797195416876639e+04	-3.853846813381607284e-01
6.502206027715743721e-04	3.564072304314813664e+02	-2.737874747820471799e-01	1.147507816869353547e+00	9.154595847037286660e+01	-1.149884056644165486e+00	2.235712186317082295e-01	1.843710689721162271e+04	-4.240143910060060750e-01
6.416090435034273306e-04	3.001327427358039017e+02	-2.872923680909851840e-01	1.059688063930984470e+00	8.437524740580290938e+01	-1.134050027791110082e+00	2.036260072911515173e-01	1.285946920780547407e+04	-4.694067965695837286e-01
6.436373062832839633e-04	2.443105648925119624e+02	-3.055096527154598229e-01	9.741119521604287845e-01	7.417661182801909092e+01	-1.073101847694983624e+00	1.827141156624667029e-01	8.317090664555325930e+03	-5.251636786875091278e-01
6.659499593551920652e-04	1.889875692877732263e+02	-3.309625231224528896e-01	8.902722141420507107e-01	5.994324986609061767e+01	-9.626320788722702027e-01	1.608131635059213971e-01	4.788927386769132681e+03	-5.969071652571759090e-01
7.280909936277573605e-04	1.342802426331475090e+02	-3.695518136745234439e-01	8.097098326807912194e-01	4.173146180360024715e+01	-8.030332107457653912e-01	1.379270727700818988e-01	2.255290673477149994e+03	-6.977803258980864731e-01
8.739967159471543571e-04	8.214181390482265499e+01	-4.384567468326294182e-01	7.360103012617040807e-01	2.249433182026011835e+01	-3.753872126850792967e-01	1.145042778969050934e-01	6.876000990114505385e+02	-8.642407335168978966e-01
1.333984684756626482e-03	3.043754545842300629e+01	-6.410765433014518067e-01	6.722372617183571819e-01	6.312071737681232975e+00	1.508200955131355639e-03	9.624777248955457276e-02	3.382178149554421509e+01	-1.318616262108696757e+00
3.621086143448278005e-02	9.004800255287406685e+01	-2.233083427127285692e+00	1.791930996272299126e+02	6.592673279368571393e+00	3.669511171999982335e-01	-4.871209105639864312e+00	-3.380368196797319058e+01	3.702879639695883185e+01
8.028677951692993198e-02	1.256910147044340107e+02	-2.810113724062078155e+00	5.351533725630297056e+00	3.181316041512138426e+00	4.983365380224339392e-01	7.828587394026629731e+00	-8.521959467037675040e+01	-9.235379852585191429e+01
1.252722859700000912e-01	1.227293253343070916e+02	-2.775774939228238480e+00	7.104410244724191692e+00	1.633395328938368039e+02	4.384083458940402633e-01	-7.873717685266483357e-02	-1.315737612638274356e+02	-1.386591086249757154e+02
1.691376696409264968e-01	1.284319238436141291e+02	-2.867936491834042645e+00	9.670554775148863413e+00	1.625237245835179749e+02	4.028414121880632970e-01	2.545880236676837383e-01	-1.767759780680820256e+02	-1.867245371521061088e+02
2.128553710442172009e-01	1.391262935868101067e+02	-3.030753006442107989e+00	1.223333365195336775e+01	1.619621152429076858e+02	4.522737245946328311e-01	3.093895036113573638e-01	-2.209569861292337123e+02	-2.336151677315261566e+02
2.564872513954871702e-01	1.534815664310800400e+02	-3.243762852377692241e+00	1.487191222845170202e+01	1.615894012617791873e+02	4.251264813889590877e-01	1.998654671997916132e+00	-2.655513602959169361e+02	-2.789839223049233397e+02
2.999772203267089266e-01	1.619502873704386730e+02	-3.368486299741246803e+00	1.751399480640580464e+01	1.611756216868724891e+02	4.017582270548530343e-01	3.379517875999873855e+00	-3.090957457626697646e+02	-3.225303797443870053e+02
3.433647204008125620e-01	1.695572776160847468e+02	-3.475638114383411192e+00	2.016879208938673784e+01	1.607080082238541934e+02	4.609377682639982377e-01	4.158306474763084459e+00	-3.524681008133085811e+02	-3.639359969824180325e+02
3.866614031004033669e-01	1.753418551341289344e+02	-3.560604498963360953e+00	2.285207062808527922e+01	1.603622903974012104e+02	5.743986854501267336e-01	4.421432727926529971e+00	-3.959854992033361327e+02	-4.028030720719285114e+02
4.298609683509260204e-01	1.825036038186162557e+02	-3.662814176610595052e+00	2.557343220361232738e+01	1.601535135810260613e+02	3.725230362599311618e-01	4.021964833273280249e+00	-4.406291028504379597e+02	-4.387798798816310182e+02
4.729767059964353759e-01	1.876594535114949451e+02	-3.738548529586358971e+00	2.835219935317061868e+01	1.600921132794667869e+02	5.642383308466852876e-01	3.345735226702743148e+00	-4.852875319956929729e+02	-4.713911971643866536e+02
5.160087881197252813e-01	1.934143964359899712e+02	-3.820193718331344801e+00	3.119857163140233069e+01	1.600793132989518597e+02	3.855794064334356480e-02	2.295440835868090446e+00	-5.289839208189946476e+02	-5.001800849594135343e+02
5.589617398097852519e-01	1.968278026398887164e+02	-3.872652947706493265e+00	3.412742253814266036e+01	1.602084105001302134e+02	1.087873069480451982e-01	9.803380672640150673e-01	-5.697346198450554766e+02	-5.245576794643712901e+02
6.018188578532425170e-01	2.024145109182097997e+02	-3.949776084468885173e+00	3.715362530514885719e+01	1.606271902590716820e+02	-6.399051410791600780e-02	-6.693193077046053485e-01	-6.031191080676921956e+02	-5.438894353997932285e+02
6.445796132831953518e-01	2.030777917056307729e+02	-3.965387947499404930e+00	4.030767994606721061e+01	1.613900126980111907e+02	5.053177361163577880e-02	-2.079096835206156069e+00	-6.254368521824439995e+02	-5.573543841981972946e+02
6.872322988758514661e-01	2.098150271150700519e+02	-4.063299639432000454e+00	4.360696914757190257e+01	1.625631456372569232e+02	1.210340023938208387e-01	-3.842882136686511352e+00	-6.339083133454105337e+02	-5.641096074463595187e+02
7.297539483767316870e-01	2.123685196726212894e+02	-4.107054302571775395e+00	4.708476311659980240e+01	1.645846022707891620e+02	-1.354378255899143235e-01	-5.690967209728520437e+00	-6.286049617150235918e+02	-5.628793828843423626e+02
7.719786346216255257e-01	2.157090421314262585e+02	-4.157650668703165131e+00	5.076856791296260951e+01	1.687843486065669651e+02	2.865877897169544219e-01	-7.632075749046597579e+00	-6.038184798831355238e+02	-5.521211797200826368e+02
8.138476381857059350e-01	2.198938352231644444e+02	-4.225680533025423458e+00	5.473488223324049784e+01	1.742306018945547237e+02	-5.566483846419192916e-02	-9.760935316872844325e+00	-5.611855694365252702e+02	-5.301882430469217979e+02
8.552351206166624031e-01	2.189271623773206272e+02	-4.228172204475768581e+00	5.907471142580357082e+01	1.485704523350017903e+00	2.155427503998118624e-02	-1.149855261086592151e+01	-5.044776274631431079e+02	-5.168787554026073394e+02
8.957586175538119200e-01	2.172430942470878961e+02	-4.225078142655362079e+00	6.395196616156503211e+01	1.162248012093616900e+01	1.129487892362383006e-01	-9.366232756431310591e+00	-4.161556630418359077e+02	-4.640758584037869809e+02
9.351043673877725837e-01	2.039635455190119444e+02	-4.073427351039329736e+00	6.969329176333910425e+01	2.442792861973842022e+01	7.035335048193785967e-02	-8.049513081057106945e+00	-3.074212617151482050e+02	-3.845726596564438751e+02
9.723696716819242303e-01	1.429833080174352062e+02	-3.259870931082484713e+00	7.732278495125858342e+01	4.232529607870274191e+01	1.273648554514647535e-01	-4.724099974470519214e+00	-1.916880404699114422e+02	-2.549431116930728933e+02
9.949766331930364194e-01	-1.495129583070894267e-06	-6.408619546694649556e-10	9.001454558440558174e+01	7.338134879603769889e+01	2.428275788393414059e-03	6.882587984966752614e-01	2.012122799368648352e+00	-3.197181642454165473e+00
