# time(us)	tip(nm)	Fts(nN)	Xb(nm)
1.630437173592529507e+04	-8.894890074864652263e+01	-5.415563684828633484e+00	-8.894920556107628329e+01
1.630439347505572005e+04	-8.894585990612054616e+01	-5.415071760339207785e+00	-8.894616339278685757e+01
1.630441521418614684e+04	-8.894283238731206609e+01	-5.414189056780723597e+00	-8.894313453620758025e+01
1.630443695331657364e+04	-8.893981831201024590e+01	-5.412915603686088595e+00	-8.894011911117937075e+01
1.630445869244700043e+04	-8.893681779948347810e+01	-5.411251445802536253e+00	-8.893711723702296013e+01
1.630448043157742541e+04	-8.893383096847473723e+01	-5.409196643093989287e+00	-8.893412903253405943e+01
1.630450217070785220e+04	-8.893085793719674825e+01	-5.406751270718198832e+00	-8.893115461597862748e+01
1.630452390983827900e+04	-8.892789882332732532e+01	-5.403915419051454450e+00	-8.892819410508819544e+01
1.630454564896870579e+04	-8.892495374400463959e+01	-5.400689193687508549e+00	-8.892524761705506364e+01
1.630456738809913077e+04	-8.892202281582255807e+01	-5.397072715395748510e+00	-8.892231526852782508e+01
1.630458912722955756e+04	-8.891910615482611036e+01	-5.393066120157960164e+00	-8.891939717560654799e+01
1.630461086635998436e+04	-8.891620387650661428e+01	-5.388669559160716993e+00	-8.891649345383811465e+01
1.630463260549041115e+04	-8.891331609579729900e+01	-5.383883198761214572e+00	-8.891360421821178761e+01
1.630465434462083795e+04	-8.891044292706855856e+01	-5.378707220508672115e+00	-8.891072958315444907e+01
1.630467608375126292e+04	-8.890758448412346127e+01	-5.373141821121707018e+00	-8.890786966252612444e+01
1.630469782288168972e+04	-8.890474088019317378e+01	-5.367187212502713578e+00	-8.890502456961533539e+01
1.630471956201211651e+04	-8.890191222793239945e+01	-5.360843621711746998e+00	-8.890219441713468029e+01
1.630474130114254331e+04	-8.889909863941495871e+01	-5.354111290959710168e+00	-8.889937931721624409e+01
1.630476304027296828e+04	-8.889630022612919902e+01	-5.346990477616755832e+00	-8.889657938140712190e+01
1.630478477940339508e+04	-8.889351709897363207e+01	-5.339481454181940201e+00	-8.889379472066498522e+01
1.630480651853382187e+04	-8.889074936825235795e+01	-5.331584508292034563e+00	-8.889102544535361972e+01
1.630482825766424867e+04	-8.888799714367077343e+01	-5.323299942683329178e+00	-8.888827166523850565e+01
1.630484999679467364e+04	-8.888526053433113816e+01	-5.314628075232775473e+00	-8.888553348948234145e+01
1.630487173592510044e+04	-8.888253964872818358e+01	-5.305569238887760442e+00	-8.888281102664086575e+01
1.630489347505552723e+04	-8.887983459474469328e+01	-5.296123781695846411e+00	-8.888010438465822460e+01
1.630491521418595403e+04	-8.887714547964729661e+01	-5.286292066778115917e+00	-8.887741367086286459e+01
1.630493695331637900e+04	-8.887447241008212018e+01	-5.276074472301822915e+00	-8.887473899196315585e+01
1.630495869244680580e+04	-8.887181549207041087e+01	-5.265471391497038134e+00	-8.887208045404305778e+01
1.630498043157723259e+04	-8.886917483100441473e+01	-5.254483232630228429e+00	-8.886943816255784157e+01
1.630500217070765939e+04	-8.886655053164304263e+01	-5.243110418969070707e+00	-8.886681222233001165e+01
1.630502390983808436e+04	-8.886394269810773494e+01	-5.231353388799456106e+00	-8.886420273754485777e+01
1.630504564896851116e+04	-8.886135143387808455e+01	-5.219212595392289877e+00	-8.886160981174644746e+01
1.630506738809893795e+04	-8.885877684178797153e+01	-5.206688506983663700e+00	-8.885903354783337704e+01
1.630508912722936475e+04	-8.885621902402117200e+01	-5.193781606781024074e+00	-8.885647404805456517e+01
1.630511086635978972e+04	-8.885367808210733642e+01	-5.180492392910482025e+00	-8.885393141400531647e+01
1.630513260549021652e+04	-8.885115411691788267e+01	-5.166821378426661227e+00	-8.885140574662307245e+01
1.630515434462064331e+04	-8.884864722866193176e+01	-5.152769091293648351e+00	-8.884889714618331880e+01
1.630517608375107011e+04	-8.884615751688227192e+01	-5.138336074341774307e+00	-8.884640571229566319e+01
1.630519782288149690e+04	-8.884368508045132273e+01	-5.123522885274340410e+00	-8.884393154389977099e+01
1.630521956201192188e+04	-8.884123001756712767e+01	-5.108330096634662532e+00	-8.884147473926130090e+01
1.630524130114234868e+04	-8.883879242574944612e+01	-5.092758295788878620e+00	-8.883903539596798282e+01
1.630526304027277547e+04	-8.883637240183571748e+01	-5.076808084909312235e+00	-8.883661361092570985e+01
1.630528477940320226e+04	-8.883397004197723845e+01	-5.060480080936092584e+00	-8.883420948035454501e+01
1.630530651853362724e+04	-8.883158544163525505e+01	-5.043774915571229478e+00	-8.883182309978489855e+01
1.630532825766405404e+04	-8.882921869557701200e+01	-5.026693235248720804e+00	-8.882945456405360574e+01
1.630534999679448083e+04	-8.882686989787200105e+01	-5.009235701116661055e+00	-8.882710396730011837e+01
1.630537173592490763e+04	-8.882453914188813826e+01	-4.991402989011930025e+00	-8.882477140296265361e+01
1.630539347505533260e+04	-8.882222652028795551e+01	-4.973195789416029911e+00	-8.882245696377448496e+01
1.630541521418575940e+04	-8.881993212502487722e+01	-4.954614807466033000e+00	-8.882016074176004850e+01
1.630543695331618619e+04	-8.881765604733939767e+01	-4.935660762890849540e+00	-8.881788282823139014e+01
1.630545869244661299e+04	-8.881539837775548563e+01	-4.916334390029836854e+00	-8.881562331378422925e+01
1.630548043157703796e+04	-8.881315920607684689e+01	-4.896636437749050330e+00	-8.881338228829451964e+01
1.630550217070746476e+04	-8.881093862138332895e+01	-4.876567669468503397e+00	-8.881115984091459836e+01
1.630552390983789155e+04	-8.880873671202721198e+01	-4.856128863096933479e+00	-8.880895606006968990e+01
1.630554564896831835e+04	-8.880655356562967029e+01	-4.835320811026118548e+00	-8.880677103345425394e+01
1.630556738809874332e+04	-8.880438926907720543e+01	-4.814144320079072337e+00	-8.880460484802840426e+01
1.630558912722917012e+04	-8.880224390851812188e+01	-4.792600211505630980e+00	-8.880245759001442707e+01
1.630561086635959691e+04	-8.880011756935894596e+01	-4.770689320934296873e+00	-8.880032934489317142e+01
1.630563260549002371e+04	-8.879801033626101514e+01	-4.748412498347986066e+00	-8.879822019740066708e+01
1.630565434462044868e+04	-8.879592229313699647e+01	-4.725770608062298095e+00	-8.879613023152458595e+01
1.630567608375087548e+04	-8.879385352314747593e+01	-4.702764528663647248e+00	-8.879405953050088840e+01
1.630569782288130227e+04	-8.879180410869750517e+01	-4.679395153016568720e+00	-8.879200817681035574e+01
1.630571956201172907e+04	-8.878977413143336150e+01	-4.655663388202599506e+00	-8.878997625217523648e+01
1.630574130114215404e+04	-8.878776367223905197e+01	-4.631570155496112839e+00	-8.878796383755596366e+01
1.630576304027258084e+04	-8.878577281123310172e+01	-4.607116390336629230e+00	-8.878597101314772999e+01
1.630578477940300763e+04	-8.878380162776528550e+01	-4.582303042282275918e+00	-8.878399785837730462e+01
1.630580651853343443e+04	-8.878185020041328812e+01	-4.557131074966366491e+00	-8.878204445189982152e+01
1.630582825766386122e+04	-8.877991860697960647e+01	-4.531601466104024034e+00	-8.878011087159535464e+01
