# time(us)	tip(nm)	Fts(nN)	Xb(nm)
1.630437173592529507e+04	2.141111697889697609e+02	-5.527136157535375395e-06	-3.132910795013881966e+01
1.630439347505572005e+04	2.147329484557081400e+02	-5.499332958053572644e-06	-3.132698148013207273e+01
1.630441521418614684e+04	2.153511553654280704e+02	-5.471896945110428855e-06	-3.132485956763112966e+01
1.630443695331657364e+04	2.159657340795766629e+02	-5.444824962020404674e-06	-3.132274218866374937e+01
1.630445869244700043e+04	2.165766251427169493e+02	-5.418114030160119849e-06	-3.132062931943733020e+01
1.630448043157742541e+04	2.171837666942468559e+02	-5.391761317699026599e-06	-3.131852093633687062e+01
1.630450217070785220e+04	2.177870951064105611e+02	-5.365764108532832189e-06	-3.131641701592298688e+01
1.630452390983827900e+04	2.183865456405387135e+02	-5.340119771751779599e-06	-3.131431753492969960e+01
1.630454564896870579e+04	2.189820531132472468e+02	-5.314825731964261227e-06	-3.131222247026257577e+01
1.630456738809913077e+04	2.195735525642059542e+02	-5.289879440781538578e-06	-3.131013179899680310e+01
1.630458912722955756e+04	2.201609799170853137e+02	-5.265278349751085643e-06	-3.130804549837511885e+01
1.630461086635998436e+04	2.207442726253806597e+02	-5.241019885005111330e-06	-3.130596354580606899e+01
1.630463260549041115e+04	2.213233702950131203e+02	-5.217101423867030724e-06	-3.130388591886200800e+01
1.630465434462083795e+04	2.218982152758982807e+02	-5.193520273632773923e-06	-3.130181259527736870e+01
1.630467608375126292e+04	2.224687532150675793e+02	-5.170273652715903777e-06	-3.129974355294681843e+01
1.630469782288168972e+04	2.230349335644091866e+02	-5.147358674315949917e-06	-3.129767876992351816e+01
1.630471956201211651e+04	2.235967100366598572e+02	-5.124772332738744496e-06	-3.129561822441732488e+01
1.630474130114254331e+04	2.241540410039275457e+02	-5.102511492465787263e-06	-3.129356189479309691e+01
1.630476304027296828e+04	2.247068898337361702e+02	-5.080572880037698885e-06	-3.129150975956903835e+01
1.630478477940339508e+04	2.252552251583623502e+02	-5.058953078784335161e-06	-3.128946179741504352e+01
1.630480651853382187e+04	2.257990210740606472e+02	-5.037648526402174534e-06	-3.128741798715106626e+01
1.630482825766424867e+04	2.263382572676432858e+02	-5.016655515347805559e-06	-3.128537830774537198e+01
1.630484999679467364e+04	2.268729190687814423e+02	-4.995970195985541986e-06	-3.128334273831321610e+01
