# time(us)	tip(nm)	Fts(nN)	Xb(nm)
2.608696032510011719e+04	-2.368622094433982639e+01	-1.272571725366816731e-02	-2.860588680860859512e+01
2.608696379226604404e+04	-2.366936599328306556e+01	-1.264501833669404510e-02	-2.860532891531942923e+01
2.608696725943197453e+04	-2.365259252936254342e+01	-1.256547693651482306e-02	-2.860477202827070542e+01
2.608697072659790501e+04	-2.363590127989735734e+01	-1.248707589891676767e-02	-2.860421614222252629e+01
2.608697419376383550e+04	-2.361929296904934006e+01	-1.240979840413133223e-02	-2.860366125198900633e+01
2.608697766092976235e+04	-2.360276831777346018e+01	-1.233362795966879734e-02	-2.860310735243748681e+01
2.608698112809569284e+04	-2.358632804376837555e+01	-1.225854839333051678e-02	-2.860255443848772572e+01
2.608698459526162333e+04	-2.356997286142706827e+01	-1.218454384639458890e-02	-2.860200250511115172e+01
2.608698806242755018e+04	-2.355370348178760054e+01	-1.211159876697062883e-02	-2.860145154733012163e+01
2.608699152959348066e+04	-2.353752061248408367e+01	-1.203969790351911220e-02	-2.860090156021715302e+01
2.608699499675941115e+04	-2.352142495769771102e+01	-1.196882629853039323e-02	-2.860035253889421369e+01
2.608699846392533800e+04	-2.350541721810800411e+01	-1.189896928235941245e-02	-2.859980447853198626e+01
2.608700193109126849e+04	-2.348949809084419726e+01	-1.183011246721193434e-02	-2.859925737434917536e+01
2.608700539825719898e+04	-2.347366826943680351e+01	-1.176224174127788076e-02	-2.859871122161179358e+01
2.608700886542312583e+04	-2.345792844376936159e+01	-1.169534326300848692e-02	-2.859816601563249350e+01
2.608701233258905631e+04	-2.344227930003038907e+01	-1.162940345553249016e-02	-2.859762175176990695e+01
2.608701579975498680e+04	-2.342672152066549174e+01	-1.156440900120872875e-02	-2.859707842542794509e+01
2.608701926692091365e+04	-2.341125578432973597e+01	-1.150034683631077914e-02	-2.859653603205520156e+01
2.608702273408684414e+04	-2.339588276584022353e+01	-1.143720414584047627e-02	-2.859599456714423837e+01
2.608702620125277463e+04	-2.338060313612881913e+01	-1.137496835846667394e-02	-2.859545402623101396e+01
2.608702966841870511e+04	-2.336541756219524402e+01	-1.131362714158625979e-02	-2.859491440489423297e+01
2.608703313558463196e+04	-2.335032670706027247e+01	-1.125316839650394342e-02	-2.859437569875477081e+01
2.608703660275056245e+04	-2.333533122971927654e+01	-1.119358025372802108e-02	-2.859383790347504117e+01
2.608704006991649294e+04	-2.332043178509598036e+01	-1.113485106837889052e-02	-2.859330101475840991e+01
2.608704353708241979e+04	-2.330562902399650227e+01	-1.107696941570744664e-02	-2.859276502834860523e+01
2.608704700424835028e+04	-2.329092359306360649e+01	-1.101992408672031361e-02	-2.859222994002916352e+01
2.608705047141428076e+04	-2.327631613473136696e+01	-1.096370408390956799e-02	-2.859169574562288574e+01
2.608705393858020761e+04	-2.326180728717998392e+01	-1.090829861708422603e-02	-2.859116244099123350e+01
2.608705740574613810e+04	-2.324739768429098774e+01	-1.085369709930039499e-02	-2.859063002203380677e+01
2.608706087291206859e+04	-2.323308795560268081e+01	-1.079988914288797577e-02	-2.859009848468784298e+01
2.608706434007799544e+04	-2.321887872626595950e+01	-1.074686455557171544e-02	-2.858956782492763438e+01
2.608706780724392593e+04	-2.320477061700042398e+01	-1.069461333668368479e-02	-2.858903803876399863e+01
2.608707127440985641e+04	-2.319076424405076509e+01	-1.064312567346459466e-02	-2.858850912224388452e+01
2.608707474157578690e+04	-2.317686021914363081e+01	-1.059239193745347904e-02	-2.858798107144972178e+01
2.608707820874171375e+04	-2.316305914944465272e+01	-1.054240268096095536e-02	-2.858745388249901609e+01
2.608708167590764424e+04	-2.314936163751596609e+01	-1.049314863362612281e-02	-2.858692755154382681e+01
2.608708514307357473e+04	-2.313576828127402152e+01	-1.044462069905357365e-02	-2.858640207477034068e+01
2.608708861023950158e+04	-2.312227967394779071e+01	-1.039680995153002135e-02	-2.858587744839830336e+01
2.608709207740543206e+04	-2.310889640403730638e+01	-1.034970763281667198e-02	-2.858535366868064642e+01
2.608709554457136255e+04	-2.309561905527264614e+01	-1.030330514901718619e-02	-2.858483073190298995e+01
2.608709901173728940e+04	-2.308244820657323970e+01	-1.025759406751837292e-02	-2.858430863438322689e+01
2.608710247890321989e+04	-2.306938443200761313e+01	-1.021256611400244568e-02	-2.858378737247102563e+01
2.608710594606915038e+04	-2.305642830075352023e+01	-1.016821316952851162e-02	-2.858326694254744282e+01
2.608710941323507723e+04	-2.304358037705847551e+01	-1.012452726768202534e-02	-2.858274734102448988e+01
2.608711288040100771e+04	-2.303084122020070978e+01	-1.008150059179056812e-02	-2.858222856434466408e+01
2.608711634756693820e+04	-2.301821138445055581e+01	-1.003912547220393511e-02	-2.858171060898061810e+01
2.608711981473286505e+04	-2.300569141903223880e+01	-9.997394383637638743e-03	-2.858119347143470179e+01
2.608712328189879554e+04	-2.299328186808617147e+01	-9.956299942577708645e-03	-2.858067714823856420e+01
2.608712674906472603e+04	-2.298098327063155466e+01	-9.915834904746000447e-03	-2.858016163595272019e+01
2.608713021623065652e+04	-2.296879616052957829e+01	-9.875992162623246570e-03	-2.857964693116628396e+01
2.608713368339658336e+04	-2.295672106644698474e+01	-9.836764743030681699e-03	-2.857913303049643972e+01
2.608713715056251385e+04	-2.294475851182011539e+01	-9.798145804766442146e-03	-2.857861993058817518e+01
2.608714061772844434e+04	-2.293290901481944033e+01	-9.760128636297370555e-03	-2.857810762811385885e+01
2.608714408489437119e+04	-2.292117308831454281e+01	-9.722706653503826804e-03	-2.857759611977287761e+01
2.608714755206030168e+04	-2.290955123983957264e+01	-9.685873397476646440e-03	-2.857708540229129923e+01
2.608715101922623217e+04	-2.289804397155921123e+01	-9.649622532365056612e-03	-2.857657547242151708e+01
2.608715448639215901e+04	-2.288665178023511970e+01	-9.613947843274423671e-03	-2.857606632694186999e+01
2.608715795355808950e+04	-2.287537515719285963e+01	-9.578843234212475882e-03	-2.857555796265633674e+01
2.608716142072401999e+04	-2.286421458828936082e+01	-9.544302726082982968e-03	-2.857505037639420564e+01
2.608716488788994684e+04	-2.285317055388084384e+01	-9.510320454726150022e-03	-2.857454356500971215e+01
2.608716835505587733e+04	-2.284224352879129682e+01	-9.476890669004157594e-03	-2.857403752538171204e+01
2.608717182222180782e+04	-2.283143398228145315e+01	-9.444007728930848763e-03	-2.857353225441341849e+01
2.608717528938773830e+04	-2.282074237801827721e+01	-9.411666103845507669e-03	-2.857302774903198994e+01
2.608717875655366515e+04	-2.281016917404500788e+01	-9.379860370628070182e-03	-2.857252400618833121e+01
2.608718222371959564e+04	-2.279971482275169947e+01	-9.348585211956606314e-03	-2.857202102285669554e+01
2.608718569088552613e+04	-2.278937977084633104e+01	-9.317835414605025665e-03	-2.857151879603444300e+01
2.608718915805145298e+04	-2.277916445932644152e+01	-9.287605867780473340e-03	-2.857101732274168882e+01
2.608719262521738347e+04	-2.276906932345130130e+01	-9.257891561499564589e-03	-2.857051660002105464e+01
2.608719609238331395e+04	-2.275909479271467362e+01	-9.228687585002493671e-03	-2.857001662493739857e+01
2.608719955954924080e+04	-2.274924129081806612e+01	-9.199989125204550283e-03	-2.856951739457747763e+01
2.608720302671517129e+04	-2.273950923564460780e+01	-9.171791465183718253e-03	-2.856901890604970262e+01
2.608720649388110178e+04	-2.272989903923343036e+01	-9.144089982704014727e-03	-2.856852115648386814e+01
2.608720996104702863e+04	-2.272041110775465711e+01	-9.116880148773697304e-03	-2.856802414303087190e+01
2.608721342821295912e+04	-2.271104584148496031e+01	-9.090157526237567162e-03	-2.856752786286243051e+01
2.608721689537888960e+04	-2.270180363478363716e+01	-9.063917768402481728e-03	-2.856703231317087699e+01
2.608722036254482009e+04	-2.269268487606936446e+01	-9.038156617695971076e-03	-2.856653749116883034e+01
2.608722382971074694e+04	-2.268368994779742565e+01	-9.012869904356429762e-03	-2.856604339408903215e+01
2.608722729687667743e+04	-2.267481922643757741e+01	-8.988053545155288288e-03	-2.856555001918397707e+01
