# time(us)	tip(nm)	Fts(nN)	Xb(nm)
5.200752721010105233e+03	-1.861427261351963347e-01	-1.567241269074235582e-02	-4.601549787720955464e+00
5.200756188176042997e+03	-1.501479163346941814e-01	-1.543170203782648006e-02	-4.601389428023824557e+00
5.200759655341981670e+03	-1.141030960583827858e-01	-1.519616472493593752e-02	-4.601229757268593623e+00
5.200763122507919434e+03	-7.800970650663695272e-02	-1.496566585704012589e-02	-4.601070767435123443e+00
5.200766589673857197e+03	-4.186919086707606430e-02	-1.474007465941749168e-02	-4.600912450626776007e+00
5.200770056839795870e+03	-5.682994252434530984e-03	-1.451926433433982019e-02	-4.600754799068361933e+00
5.200773524005733634e+03	3.054743636166838000e-02	-1.430311192333114968e-02	-4.600597805104154503e+00
5.200776991171671398e+03	6.682065219904641251e-02	-1.409149817476239124e-02	-4.600441461195921455e+00
5.200780458337609161e+03	1.031352027453506792e-01	-1.388430741655374313e-02	-4.600285759920987871e+00
5.200783925503547835e+03	1.394896358105505996e-01	-1.368142743376755087e-02	-4.600130693970326590e+00
5.200787392669485598e+03	1.758824975915043165e-01	-1.348274935088415033e-02	-4.599976256146712572e+00
5.200790859835423362e+03	2.123123327345955991e-01	-1.328816751856353069e-02	-4.599822439362862170e+00
5.200794327001362035e+03	2.487776843984447206e-01	-1.309757940470381368e-02	-4.599669236639631897e+00
5.200797794167299799e+03	2.852770943166808015e-01	-1.291088548961679371e-02	-4.599516641104258063e+00
5.200801261333237562e+03	3.218091028607808490e-01	-1.272798916514910478e-02	-4.599364645988582190e+00
5.200804728499175326e+03	3.583722491029652790e-01	-1.254879663758467004e-02	-4.599213244627358144e+00
5.200808195665113999e+03	3.949650708791482834e-01	-1.237321683417240935e-02	-4.599062430456553052e+00
5.200811662831051763e+03	4.315861048519354926e-01	-1.220116131312969608e-02	-4.598912197011677527e+00
5.200815129996989526e+03	4.682338865736714872e-01	-1.203254417697871732e-02	-4.598762537926174510e+00
5.200818597162928199e+03	5.049069505495258348e-01	-1.186728198907986871e-02	-4.598613446929787685e+00
5.200822064328865963e+03	5.416038303006216470e-01	-1.170529369323151068e-02	-4.598464917847016054e+00
5.200825531494803727e+03	5.783230584271874530e-01	-1.154650053621230146e-02	-4.598316944595517874e+00
5.200828998660742400e+03	6.150631666717540913e-01	-1.139082599314642993e-02	-4.598169521184635400e+00
5.200832465826680163e+03	6.518226859823652575e-01	-1.123819569557904519e-02	-4.598022641713843228e+00
5.200835932992617927e+03	6.886001465758122553e-01	-1.108853736215230194e-02	-4.597876300371317448e+00
5.200839400158555691e+03	7.253940780008883982e-01	-1.094178073177896719e-02	-4.597730491432449718e+00
5.200842867324494364e+03	7.622030092016552905e-01	-1.079785749921359159e-02	-4.597585209258439498e+00
5.200846334490432127e+03	7.990254685807189894e-01	-1.065670125292658352e-02	-4.597440448294888071e+00
5.200849801656369891e+03	8.358599840625129396e-01	-1.051824741519017010e-02	-4.597296203070418308e+00
5.200853268822308564e+03	8.727050831565763556e-01	-1.038243318428921230e-02	-4.597152468195309538e+00
5.200856735988246328e+03	9.095592930208352689e-01	-1.024919747877361953e-02	-4.597009238360183048e+00
5.200860203154184092e+03	9.464211405248754705e-01	-1.011848088367276258e-02	-4.596866508334662704e+00
5.200863670320122765e+03	9.832891523132031297e-01	-9.990225598595407763e-03	-4.596724272966113745e+00
5.200867137486060528e+03	1.020161854868491869e+00	-9.864375387642326104e-03	-4.596582527178357580e+00
5.200870604651998292e+03	1.057037774574809852e+00	-9.740875531061496395e-03	-4.596441265970426571e+00
