# amp_ratio	peakF(nN)	maxdepth(nm)	phase(deg)	Ediss(aJ)	Ediss_Tamayo(aJ)	Vts(aJ)	Vts_lozano(aJ)
2.057852955484632679e-02	2.004125851194729524e+00	-2.470369872076359774e-01	5.345696489032390275e+01	1.559360499205581396e+00	1.551894144716073232e+00	-1.356479416873766695e+03	-1.878633720974447474e-01
2.098132810064379933e-02	1.697557075793810988e+00	-2.518651245018470042e-01	5.347080739935147164e+01	1.589339243025666981e+00	1.581747067876810631e+00	-1.433188726410015761e+03	-1.914781132341744907e-01
2.140910814861623698e-02	1.396828518464146018e+00	-2.569922603896186986e-01	5.348551179406676681e+01	1.621156025553189384e+00	1.613429425053334310e+00	-1.496445504894739315e+03	-1.953143867019566660e-01
2.186457028027442503e-02	1.102060682845370954e+00	-2.624516818487317993e-01	5.350117110308447366e+01	1.655007534690839277e+00	1.647137014176088599e+00	-1.546520574939947210e+03	-1.993959053507088353e-01
2.235084302840468010e-02	8.133826201785665511e-01	-2.682809294299791092e-01	5.351789310262142152e+01	1.691121350842645921e+00	1.683096384692045921e+00	-1.587898052382732203e+03	-2.037501066592364019e-01
2.287157424362027541e-02	5.309312019209279088e-01	-2.745237740297758466e-01	5.353580346027961667e+01	1.729762488295735201e+00	1.721571348494949527e+00	-1.612726145763604791e+03	-2.084089414496772541e-01
2.343104758854660033e-02	2.548518566702318022e-01	-2.812316149231740559e-01	5.355504974877882773e+01	1.771241720820699861e+00	1.762871267759160476e+00	-1.625215898207106648e+03	-2.134098778332217672e-01
2.250477415397838521e-01	1.957010102303616605e+01	-5.849528361970594004e-01	4.744315937820920936e+01	1.116824815141031380e+01	1.109047005612326586e+01	5.748920264162742342e+02	-2.333605340382293392e+00
2.807991903611831153e-01	2.091069263493005437e+01	-5.950206062001782703e-01	4.594254192907501988e+01	1.194930719114598361e+01	1.184389194238872278e+01	5.608913184564452195e+02	-2.993762608741231013e+00
3.447453369211933571e-01	2.197183977587324932e+01	-6.012435711510948355e-01	4.583338216526480835e+01	1.250020415208395974e+01	1.237335286557981284e+01	5.268092021866428922e+02	-3.682759670538242158e+00
4.146650279229809333e-01	2.270170867708795370e+01	-6.028188977215531708e-01	4.699092681287785211e+01	1.279422962728991386e+01	1.264623808531395177e+01	4.798622815180186763e+02	-4.336647948115736284e+00
4.877268423184977775e-01	2.306240194948322042e+01	-6.009588746315501773e-01	4.917954789789429526e+01	1.281846204336359563e+01	1.264051803625089221e+01	4.256509447510032942e+02	-4.888197041654617436e+00
5.609801602322050940e-01	2.303165860415479926e+01	-5.948795208871701101e-01	5.214032953683194904e+01	1.254306465876640253e+01	1.235042486246034699e+01	3.675833994760581049e+02	-5.278667150628706395e+00
6.318329572270370287e-01	2.260850298144430326e+01	-5.844229138112539967e-01	5.564542935338808860e+01	1.199306684548371749e+01	1.179165499821605501e+01	3.092742100511164836e+02	-5.466655568940583798e+00
6.982616394787707348e-01	2.181083900456143709e+01	-5.698993519401600594e-01	5.951276370948567518e+01	1.120529658791215688e+01	1.099673770194127265e+01	2.521408285923900223e+02	-5.431533481022315257e+00
7.588267520931734067e-01	2.066557327704532554e+01	-5.512819973077256464e-01	6.360680382601791649e+01	1.019415702119455069e+01	1.001026426442803618e+01	1.983624528915476617e+02	-5.171806122659581284e+00
7.355962044165526015e-01	3.898169065855083204e+01	-1.170632588145747111e+00	6.998368099706841861e+01	1.221556020199488835e+01	1.445596201956461080e+01	1.598431690675690220e+02	-3.860384419821652813e+00
7.633296900182310329e-01	3.891486740190565996e+01	-1.216165293648001189e+00	7.180335390372025017e+01	1.191958478068157312e+01	1.372601500032736332e+01	1.268681368845180231e+02	-3.654727947397695242e+00
8.211326521171297133e-01	3.493868844410832253e+01	-1.091057180945968819e+00	7.520675034018397298e+01	1.026930214486571558e+01	1.152695244127344054e+01	8.933454412172275738e+01	-3.214533835122147298e+00
8.829540252837151382e-01	1.889244911845542774e+01	-5.888960466817487749e-01	7.519327589165823156e+01	7.187975833420952476e+00	7.131250562523662850e+00	7.099299629435245151e+01	-3.459627449339852667e+00
8.737303497533330798e-01	3.046950022395962066e+01	-9.976251348188622803e-01	7.928536880832459133e+01	8.342329677216573813e+00	9.160634805157080507e+00	5.409659657211329176e+01	-2.490562560717439755e+00
8.740239303693384532e-01	2.905168656221190204e+01	-9.650067111190374636e-01	7.919687780193693527e+01	7.114428117127792994e+00	9.114718379021066852e+00	3.534940166451652743e+01	-2.511732216645840676e+00
9.154814257837515790e-01	2.532244407254767182e+01	-8.853529822883170475e-01	8.368468750729053340e+01	6.358859757940434676e+00	6.918675606733247996e+00	2.658480668123075930e+01	-1.543980106868094948e+00
9.142202542336625992e-01	2.475996095658044283e+01	-9.236229048561849231e-01	8.373864644302737759e+01	5.661024046282147282e+00	7.029301123576319199e+00	1.505406856952880545e+01	-1.528732009905333200e+00
9.510097339544238970e-01	1.869428215097849133e+01	-6.919247320307491123e-01	8.826976146638322973e+01	3.741043137804033414e+00	4.446451505197386744e+00	1.338345111763909800e+00	-4.402526590908638071e-01
9.339044504874469688e-01	2.035318494540126721e+01	-7.648779900485139782e-01	8.602593859047473757e+01	5.006184924637929079e+00	5.730078829133833374e+00	9.483312939281853815e+00	-9.923521081590600534e-01
9.598011772283286946e-01	1.564842107306171393e+01	-6.723692351339782824e-01	8.845185145850038566e+01	3.681565232541751609e+00	3.683091775007860669e+00	3.369227517136977212e+00	-3.975741280305555847e-01
9.791673294680395268e-01	6.007850481177093194e+00	-3.303051116905600937e-01	9.254976065497533000e+01	1.844963430321763465e+00	1.871697928571243841e+00	-7.468699926314096516e+00	6.678670695793653689e-01
9.743163093199374014e-01	7.464844237687191963e+00	-3.768777296343192584e-01	9.069598838118916717e+01	2.354113967026500998e+00	2.403740811897511875e+00	-3.708605283433522803e+00	1.814547484590477433e-01
9.790073309173621396e-01	5.736885797800199249e+00	-3.410633873858049392e-01	9.272647299460672343e+01	1.825477722153143079e+00	1.873093457276083562e+00	-6.443573414232599106e+00	7.140034067272830187e-01
9.831908404237464927e-01	3.418802379964427374e+00	-2.871891006453152762e-01	9.606124344315202279e+01	9.969956523524382552e-01	1.062581127319528695e+00	-9.456308206550268380e+00	1.591718471581971661e+00
9.819138514660155082e-01	4.357347468872149854e+00	-3.171218967629788055e-01	9.467419835711325504e+01	1.341815332293686991e+00	1.396204724339048076e+00	-7.480683351029710160e+00	1.226805589670834751e+00
9.832238719576217312e-01	2.971645481130637201e+00	-2.925880999110457292e-01	9.652478244153923015e+01	9.048752932353029133e-01	9.754924806326866760e-01	-6.857885623471776881e+00	1.712996260710147656e+00
9.825011552905287271e-01	8.264918418345650331e-01	-2.410310469528050281e-01	9.918224266769750841e+01	3.432246891045960258e-01	4.433904971167978437e-01	-5.546713446556379878e+00	2.403799677264263579e+00
9.831359258432584847e-01	1.583622197417214661e+00	-2.668933665238640840e-01	9.825952096406879832e+01	5.326215029918426325e-01	6.148158633276530338e-01	-4.685836620613160086e+00	2.165410643763661547e+00
9.818866369304593000e-01	2.000787186265907402e-01	-2.401673665850494466e-01	9.985446674021054037e+01	2.212287193162796595e-01	3.177257003922395739e-01	-1.135947445529249311e+00	2.576488653503519632e+00
9.786540304302815407e-01	-2.416822824544604363e-03	-1.919201819541875853e-01	1.017601498301711587e+02	-9.485677698809186209e-02	3.350174872392951836e-02	3.182798374319075752e+00	3.058196681403600792e+00
9.790044802422631642e-01	-2.420245825141421024e-03	-2.039654184435512607e-01	1.016679352537553740e+02	-8.525061573244509250e-02	3.127969745682757791e-02	4.114882018924308937e+00	3.035636923341206383e+00
9.782276265359031164e-01	-2.420800548827746999e-03	-1.956357757957955801e-01	1.020302317740347604e+02	-1.384668894468217837e-01	-1.789225642318243228e-02	5.780839116645232423e+00	3.126044859756690997e+00
9.774109364121350563e-01	-2.421427653535727139e-03	-1.870205811013237185e-01	1.023766556082607764e+02	-1.860845900582799584e-01	-6.132015513701460224e-02	7.520275560433481665e+00	3.211994517308718766e+00
9.771330036429461963e-01	-2.421645422027836770e-03	-1.841559037595899007e-01	1.024878922980548879e+02	-2.012226532989163097e-01	-7.448411840302562870e-02	8.708385999678952771e+00	3.239484789401528175e+00
9.765784037184728206e-01	-2.422072995680766509e-03	-1.782839066361924518e-01	1.027011513470241226e+02	-2.273958308863412714e-01	-9.861955405419511878e-02	9.323572961829688310e+00	3.292035423834027696e+00
9.757416615297905826e-01	-2.422687760385885958e-03	-1.694383783753047878e-01	1.030019959246860566e+02	-2.622794791534682757e-01	-1.296627441300761130e-01	1.118185063293248582e+01	3.365798366696356680e+00
9.749089996313911044e-01	-2.423195737639269494e-03	-1.603848162526528009e-01	1.032787231899308438e+02	-2.911435644326069161e-01	-1.544711804382541687e-01	1.308448941876922689e+01	3.433228429794529912e+00
9.737601387642871309e-01	-2.419922425252872978e-03	-1.387773639301473072e-01	1.035618480809693409e+02	-3.036794940364442308e-01	-1.541027680737226402e-01	1.446603775700818950e+01	3.500942674253888498e+00
9.743656975342909199e-01	-2.423434352474794929e-03	-1.542077868954037090e-01	1.034480418226743694e+02	-3.067515682462039761e-01	-1.674993044819575727e-01	1.500563483766787876e+01	3.474267051214754431e+00
9.733254922155891720e-01	-2.423588059521400787e-03	-1.417622421659147092e-01	1.037478400959845715e+02	-3.294353247659263517e-01	-1.851341952024435356e-01	1.698054939671437680e+01	3.546453587229205784e+00
9.726041321602520995e-01	-2.423307023467938508e-03	-1.323408894583137652e-01	1.039358110870421399e+02	-3.390383724204779625e-01	-1.909489417664621547e-01	1.894898504754443280e+01	3.591326462627732141e+00
9.719901108973533210e-01	-2.421434756832341242e-03	-1.264765844769796532e-01	1.040880039684037541e+02	-3.409643949119607886e-01	-1.935553722218384676e-01	2.090516797847100605e+01	3.627466581395642375e+00
9.719901109062787370e-01	-2.421434756791289878e-03	-1.264765844420283614e-01	1.040880039687852303e+02	-3.409643949036994526e-01	-1.935553732111143788e-01	2.156430160256713080e+01	3.627466581525188971e+00
9.708192010558194252e-01	-2.379536251542115934e-03	-2.472805065371940503e-01	1.038895698594125605e+02	-2.649863015778495812e-01	-5.518259930346688762e-03	2.199808955337865513e+01	3.573075233567235554e+00
9.922497445160364249e-01	-1.930039290092303841e-03	-3.898062220935590294e-01	9.585436586777242951e+01	-4.753423610391810383e-02	2.422784315901845287e-01	7.094874922452240718e+00	1.551750708347963137e+00
9.923217656006018128e-01	-1.915970946710312921e-03	-4.252613369757929362e-01	9.571853698571155178e+01	-1.242371608368194741e-01	2.582594442107112864e-01	1.404969123006992682e+01	1.515979159986733826e+00
9.942880808585081720e-01	-1.962493397436964465e-03	-3.575931065357851879e-01	9.617029800378476523e+01	-1.237099357717154902e-01	-7.783756524467870357e-03	1.245317057292479923e+01	1.638534703960029759e+00
9.889379132591948895e-01	-1.898928991720118817e-03	-4.349702621208423881e-01	9.576788649804863951e+01	-1.155715935522865223e-01	5.715414258040630857e-01	1.257037947990843740e+01	1.523803635058406991e+00
9.986546336186956641e-01	-1.960418984294113025e-03	-3.673981985792437177e-01	9.603733279177004079e+01	-1.909548446823510770e-01	-4.041602143085435417e-01	1.633289430125581632e+01	1.610399122999912169e+00
9.911293710586298600e-01	-1.954664729702379304e-03	-3.360010685529282726e-01	9.629660060978309843e+01	-9.491470282794181590e-02	2.709795786470421408e-01	1.051361647861159909e+01	1.666629324172894222e+00
9.965770619498889316e-01	-1.971388607589284574e-03	-2.972794572264939039e-01	9.634876693524887514e+01	-9.499739047833349881e-02	-2.601586604529453894e-01	1.203835627604348169e+01	1.689616881877797683e+00
9.888585373151846936e-01	-1.980135551532085248e-03	-2.539384844971863120e-01	9.640866155394445514e+01	-1.310728683127455885e-01	4.660647791222605751e-01	1.426858597855190069e+01	1.692281518669892071e+00
9.895704440345851616e-01	-2.025916355316109002e-03	-1.994448562069495723e-01	9.649056319170001927e+01	-1.103186383473581805e-01	3.832277803246367798e-01	1.702656467659488371e+01	1.715050418361988571e+00
9.902247704524402838e-01	-2.084799607282953986e-03	-1.134273527000750764e-01	9.666928924037499371e+01	-6.771021191571503783e-02	2.869660365418436054e-01	1.587122746458635270e+01	1.763231059908483944e+00
9.846093373797731862e-01	-2.302083652245101586e-03	7.936130479863096276e-09	9.965238308012683888e+01	1.016809328860540304e-02	1.170293099682114674e-01	2.740084169606381792e+01	2.531158504255814456e+00
