# time(us)	tip(nm)	Fts(nN)	Xb(nm)
1.666668892092886381e+04	4.053685371295809432e+02	-1.821551031681970138e-06	-2.224085272415298675e+01
1.666671142092885202e+04	4.073278563589646524e+02	-1.804993901857952983e-06	-2.223897579527554669e+01
1.666673356378598328e+04	4.092514836637463986e+02	-1.788957018291146488e-06	-2.223713391559495278e+01
1.666675570664311454e+04	4.111705339785256683e+02	-1.773170305049649455e-06	-2.223529721498194434e+01
1.666677784950024579e+04	4.130849867370259858e+02	-1.757628705867482398e-06	-2.223346565846701495e+01
1.666680034950023401e+04	4.150255878129682401e+02	-1.742082432509224800e-06	-2.223160979432575601e+01
1.666682249235736526e+04	4.169307103510689103e+02	-1.727020147380047450e-06	-2.222978850421852925e+01
1.666684463521449652e+04	4.188311735909344975e+02	-1.712188485373957573e-06	-2.222797225505003738e+01
1.666686677807162778e+04	4.207269544573211419e+02	-1.697582901805329253e-06	-2.222616101336371486e+01
1.666688892092875903e+04	4.226180272869144687e+02	-1.683198984108769994e-06	-2.222435474606425387e+01
1.666691142092874725e+04	4.245347488867387824e+02	-1.668805718601655553e-06	-2.222252440708820842e+01
1.666693356378587850e+04	4.264162375212579263e+02	-1.654855833116630304e-06	-2.222072806961073255e+01
1.666695570664300976e+04	4.282929180059865644e+02	-1.641115110307671394e-06	-2.221893660882989607e+01
1.666697784950014102e+04	4.301647475613432903e+02	-1.627579670744757571e-06	-2.221714999304347771e+01
1.666700034950012923e+04	4.320617491104271721e+02	-1.614032333840814243e-06	-2.221533949141189623e+01
1.666702249235726049e+04	4.339236451426415897e+02	-1.600899505394255085e-06	-2.221356254871982117e+01
1.666704463521439175e+04	4.357805255288922694e+02	-1.587961040396095476e-06	-2.221179035739901764e+01
1.666706677807152300e+04	4.376323227522743196e+02	-1.575213568506236713e-06	-2.221002288705259176e+01
1.666708892092865426e+04	4.394789625523013683e+02	-1.562653838222480965e-06	-2.220826010759583014e+01
1.666711142092864247e+04	4.413500204902567248e+02	-1.550080609879612435e-06	-2.220647367053699739e+01
1.666713356378577373e+04	4.431860088442188044e+02	-1.537889966938416100e-06	-2.220472025829371177e+01
1.666715570664290499e+04	4.450165748718025043e+02	-1.525877934236357634e-06	-2.220297144804231948e+01
1.666717784950003625e+04	4.468416176096156960e+02	-1.514041691621885201e-06	-2.220122721090337592e+01
1.666720034950002446e+04	4.486903286024798376e+02	-1.502191800871461481e-06	-2.219945949581186895e+01
1.666722249235715572e+04	4.505039042742459969e+02	-1.490701776461749488e-06	-2.219772439202093750e+01
1.666724463521428333e+04	4.523116168623695330e+02	-1.479379582607611907e-06	-2.219599377596773238e+01
1.666726677807141459e+04	4.541133435876246836e+02	-1.468222741384944490e-06	-2.219426761990484920e+01
1.666728892092854585e+04	4.559089575960900333e+02	-1.457228844798236460e-06	-2.219254589635611552e+01
1.666731142092853406e+04	4.577271375655155907e+02	-1.446222121392867334e-06	-2.219080091538184618e+01
1.666733356378566532e+04	4.595100287475392520e+02	-1.435549673897628705e-06	-2.218908804589606376e+01
1.666735570664279658e+04	4.612864069735813359e+02	-1.425033269349107166e-06	-2.218737952765351196e+01
1.666737784949992783e+04	4.630561362578663420e+02	-1.414670719006252336e-06	-2.218567533422630689e+01
1.666740034949991605e+04	4.648474585622837481e+02	-1.404296414467853311e-06	-2.218394805686242677e+01
1.666742249235704730e+04	4.666033689747280846e+02	-1.394237556138824251e-06	-2.218225250348723065e+01
1.666744463521417856e+04	4.683522219839605327e+02	-1.384326170463815216e-06	-2.218056119672434789e+01
